Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)	V1/X/E(cm/s)_clean	V1/X/E(cm/s)_is_spike	V2/Y/N(cm/s)_clean	V2/Y/N(cm/s)_is_spike	V3/Z/U(cm/s)_clean	V3/Z/U(cm/s)_is_spike
8731	17-10-2025 22:45:55	4.93	-3.45	0.56	13.0	79.0	72.0	6.01726	124.98422	0.68	54.66667	4.93	False	-3.45	False	0.56	False
8732	17-10-2025 22:45:55	44.79	-1.76	5.66	8.0	87.0	73.0	44.82457	92.25025	16.23	56.0	44.79	False	-1.76	False	5.66	False
8733	17-10-2025 22:45:55	42.39	-1.8	5.32	20.0	82.0	75.0	42.4282	92.43148	15.30333	59.0	42.39	False	-1.8	False	5.32	False
8734	17-10-2025 22:45:55	37.6	2.27	5.05	17.0	81.0	72.0	37.66846	86.54511	14.97333	56.66667	37.6	False	2.27	False	5.05	False
8735	17-10-2025 22:45:55	16.53	3.86	1.93	5.0	84.0	84.0	16.9747	76.85612	7.44	57.66667	16.53	False	3.86	False	1.93	False
8736	17-10-2025 22:45:55	6.66	8.01	1.18	16.0	62.0	71.0	10.41709	39.74219	5.28333	49.66667	6.66	False	8.01	False	1.18	False
8737	17-10-2025 22:45:55	25.57	3.29	4.55	6.0	79.0	63.0	25.78079	82.66824	11.13667	49.33333	25.57	False	3.29	False	4.55	False
8738	17-10-2025 22:45:55	45.79	2.76	6.99	31.0	89.0	78.0	45.8731	86.55066	18.51333	66.0	45.79	False	2.76	False	6.99	False
8739	17-10-2025 22:45:55	19.14	-0.85	3.36	43.0	86.0	72.0	19.15887	92.54281	7.21667	67.0	19.14	False	-0.85	False	3.36	False
8740	17-10-2025 22:45:55	49.87	-2.6	6.86	22.0	87.0	68.0	49.93773	92.98445	18.04333	59.0	49.87	False	-2.6	False	6.86	False
8741	17-10-2025 22:45:56	20.17	-1.81	3.11	40.0	84.0	69.0	20.25105	95.12783	7.15667	64.33333	20.17	False	-1.81	False	3.11	False
8742	17-10-2025 22:45:56	20.89	-2.01	2.82	47.0	86.0	84.0	20.98648	95.49598	7.23333	72.33333	20.89	False	-2.01	False	2.82	False
8743	17-10-2025 22:45:56	48.07	-0.95	5.53	10.0	89.0	81.0	48.07939	91.13218	17.55	60.0	48.07	False	-0.95	False	5.53	False
8744	17-10-2025 22:45:56	24.95	-0.41	2.05	46.0	87.0	80.0	24.95337	90.94145	8.86333	71.0	24.95	False	-0.41	False	2.05	False
8745	17-10-2025 22:45:56	51.71	7.19	5.49	24.0	79.0	71.0	52.20747	82.08408	21.46333	58.0	51.71	False	7.19	False	5.49	False
8746	17-10-2025 22:45:56	13.13	2.21	1.04	18.0	81.0	65.0	13.31469	80.44571	5.46	54.66667	13.13	False	2.21	False	1.04	False
8747	17-10-2025 22:45:56	52.16	3.24	5.68	16.0	81.0	63.0	52.26053	86.44555	20.36	53.33333	52.16	False	3.24	False	5.68	False
