Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)	V1/X/E(cm/s)_clean	V1/X/E(cm/s)_is_spike	V2/Y/N(cm/s)_clean	V2/Y/N(cm/s)_is_spike	V3/Z/U(cm/s)_clean	V3/Z/U(cm/s)_is_spike
103	17-10-2025 21:38:59	16.49	-1.52	0.74	91.0	83.0	97.0	16.55991	95.26648	5.23667	90.33333	16.49	False	-1.52	False	0.74	False
104	17-10-2025 21:38:59	17.35	-0.99	1.09	93.0	93.0	98.0	17.37822	93.26579	5.81667	94.66667	17.35	False	-0.99	False	1.09	False
105	17-10-2025 21:38:59	17.14	-0.71	1.22	90.0	86.0	98.0	17.1547	92.37204	5.88333	91.33333	17.14	False	-0.71	False	1.22	False
106	17-10-2025 21:38:59	17.81	-0.11	1.31	94.0	80.0	97.0	17.81034	90.35387	6.33667	90.33333	17.81	False	-0.11	False	1.31	False
107	17-10-2025 21:38:59	18.41	-1.57	0.9	91.0	85.0	97.0	18.47682	94.87438	5.91333	91.0	18.41	False	-1.57	False	0.9	False
108	17-10-2025 21:38:59	17.77	-0.38	0.57	95.0	91.0	97.0	17.77406	91.22505	5.98667	94.33333	17.77	False	-0.38	False	0.57	False
109	17-10-2025 21:38:59	15.09	-1.36	1.19	94.0	92.0	95.0	15.15116	95.14992	4.97333	93.66667	15.09	False	-1.36	False	1.19	False
110	17-10-2025 21:38:59	17.45	-2.02	1.75	95.0	86.0	97.0	17.56653	96.60313	5.72667	92.66667	17.45	False	-2.02	False	1.75	False
111	17-10-2025 21:38:59	17.33	-1.52	1.36	89.0	91.0	96.0	17.39653	95.01254	5.72333	92.0	17.33	False	-1.52	False	1.36	False
112	17-10-2025 21:38:59	18.51	-1.0	1.29	93.0	91.0	98.0	18.53699	93.09239	6.26667	94.0	18.51	False	-1.0	False	1.29	False
113	17-10-2025 21:38:59	19.38	-1.86	1.38	92.0	94.0	96.0	19.46905	95.48218	6.3	94.0	19.38	False	-1.86	False	1.38	False
114	17-10-2025 21:38:59	18.98	-1.28	0.91	93.0	82.0	98.0	19.02311	93.85815	6.20333	91.0	18.98	False	-1.28	False	0.91	False
115	17-10-2025 21:38:59	18.65	1.14	1.01	91.0	83.0	93.0	18.68481	86.50209	6.93333	89.0	18.65	False	1.14	False	1.01	False
116	17-10-2025 21:38:59	18.23	0.55	1.57	96.0	84.0	92.0	18.2383	88.27191	6.78333	90.66667	18.23	False	0.55	False	1.57	False
117	17-10-2025 21:38:59	16.29	-1.77	2.86	92.0	88.0	95.0	16.38588	96.20118	5.79333	91.66667	16.29	False	-1.77	False	2.86	False
118	17-10-2025 21:38:59	17.16	-1.93	2.4	89.0	87.0	94.0	17.26819	96.41714	5.87667	90.0	17.16	False	-1.93	False	2.4	False
119	17-10-2025 21:38:59	18.48	-3.02	1.78	93.0	92.0	96.0	18.72514	99.28123	5.74667	93.66667	18.48	False	-3.02	False	1.78	False
120	17-10-2025 21:38:59	19.77	-3.9	1.22	92.0	89.0	98.0	20.151	101.15938	5.69667	93.0	19.77	False	-3.9	False	1.22	False
121	17-10-2025 21:38:59	19.34	-3.24	-0.42	90.0	89.0	94.0	19.60952	99.51036	5.22667	91.0	19.34	False	-3.24	False	-0.42	False
122	17-10-2025 21:38:59	13.81	2.36	-0.8	92.0	78.0	95.0	14.0102	80.30236	5.12333	88.33333	13.81	False	2.36	False	-0.8	False
