Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)	V1/X/E(cm/s)_clean	V1/X/E(cm/s)_is_spike	V2/Y/N(cm/s)_clean	V2/Y/N(cm/s)_is_spike	V3/Z/U(cm/s)_clean	V3/Z/U(cm/s)_is_spike
92	17-10-2025 23:03:22	19.11	2.54	2.07	91.0	88.0	98.0	19.27806	82.42892	7.90667	92.33333	19.11	False	2.54	False	2.07	False
93	17-10-2025 23:03:22	18.93	2.49	1.82	90.0	96.0	94.0	19.09306	82.50649	7.74667	93.33333	18.93	False	2.49	False	1.82	False
94	17-10-2025 23:03:22	17.74	1.37	1.54	91.0	93.0	97.0	17.79282	85.58401	6.88333	93.66667	17.74	False	1.37	False	1.54	False
95	17-10-2025 23:03:22	17.85	2.76	1.07	96.0	84.0	95.0	18.06212	81.21043	7.22667	91.66667	17.85	False	2.76	False	1.07	False
96	17-10-2025 23:03:22	18.28	1.25	0.96	90.0	91.0	93.0	18.32269	86.08816	6.83	91.33333	18.28	False	1.25	False	0.96	False
97	17-10-2025 23:03:22	17.17	2.18	1.45	94.0	94.0	94.0	17.30784	82.76412	6.93333	94.0	17.17	False	2.18	False	1.45	False
98	17-10-2025 23:03:22	15.92	4.01	0.91	93.0	87.0	96.0	16.41726	75.86218	6.94667	92.0	15.92	False	4.01	False	0.91	False
99	17-10-2025 23:03:22	16.49	3.38	0.78	95.0	91.0	97.0	16.83284	78.41638	6.88333	94.33333	16.49	False	3.38	False	0.78	False
100	17-10-2025 23:03:22	15.84	2.64	1.45	95.0	91.0	95.0	16.05849	80.53768	6.64333	93.66667	15.84	False	2.64	False	1.45	False
101	17-10-2025 23:03:23	16.3	2.81	1.16	89.0	93.0	93.0	16.54044	80.21877	6.75667	91.66667	16.3	False	2.81	False	1.16	False
102	17-10-2025 23:03:23	16.71	2.06	1.5	92.0	95.0	97.0	16.8365	82.97207	6.75667	94.66667	16.71	False	2.06	False	1.5	False
103	17-10-2025 23:03:23	18.27	3.05	1.19	94.0	91.0	98.0	18.52283	80.52242	7.50333	94.33333	18.27	False	3.05	False	1.19	False
104	17-10-2025 23:03:23	18.52	4.63	0.62	93.0	84.0	97.0	19.08998	75.96376	7.92333	91.33333	18.52	False	4.63	False	0.6199999999999999	False
105	17-10-2025 23:03:23	19.16	3.78	0.41	94.0	89.0	95.0	19.52931	78.83966	7.78333	92.66667	19.16	False	3.78	False	0.4099999999999999	False
106	17-10-2025 23:03:23	19.3	4.21	1.1	92.0	87.0	94.0	19.75384	77.69456	8.20333	91.0	19.3	False	4.21	False	1.1	False
107	17-10-2025 23:03:23	20.43	5.35	2.46	88.0	89.0	95.0	21.11889	75.32548	9.41333	90.66667	20.43	False	5.35	False	2.46	False
108	17-10-2025 23:03:23	20.12	2.71	3.68	88.0	87.0	96.0	20.30169	82.32889	8.83667	90.33333	20.12	False	2.71	False	3.6800000000000006	False
109	17-10-2025 23:03:23	20.77	5.33	3.14	90.0	90.0	91.0	21.44299	75.60732	9.74667	90.33333	20.77	False	5.33	False	3.14	False
110	17-10-2025 23:03:23	19.96	4.13	1.84	92.0	94.0	90.0	20.3828	78.30968	8.64333	92.0	19.96	False	4.13	False	1.84	False
111	17-10-2025 23:03:23	20.49	4.61	1.51	90.0	95.0	97.0	21.00219	77.32028	8.87	94.0	20.49	False	4.61	False	1.51	False
112	17-10-2025 23:03:23	19.9	3.12	2.39	89.0	95.0	96.0	20.1431	81.08948	8.47	93.33333	19.9	False	3.12	False	2.39	False
113	17-10-2025 23:03:23	19.76	4.68	2.03	87.0	93.0	97.0	20.30665	76.67547	8.82333	92.33333	19.76	False	4.68	False	2.03	False
114	17-10-2025 23:03:23	21.7	3.05	1.68	89.0	94.0	95.0	21.91329	81.99932	8.81	92.66667	21.7	False	3.05	False	1.68	False
115	17-10-2025 23:03:23	21.31	2.87	1.05	96.0	93.0	93.0	21.5024	82.32964	8.41	94.0	21.31	False	2.87	False	1.05	False
116	17-10-2025 23:03:23	20.76	3.68	2.0	91.0	92.0	96.0	21.08364	79.94794	8.81333	93.0	20.76	False	3.68	False	2.0	False
117	17-10-2025 23:03:23	21.5	1.52	2.4	91.0	88.0	97.0	21.55366	85.95605	8.47333	92.0	21.5	False	1.52	False	2.4	False
118	17-10-2025 23:03:23	20.24	4.35	0.68	90.0	84.0	89.0	20.70218	77.87045	8.42333	87.66667	20.24	False	4.35	False	0.68	False
119	17-10-2025 23:03:23	20.03	6.71	0.59	88.0	77.0	94.0	21.12404	71.47928	9.11	86.33333	20.03	False	6.71	False	0.5900000000000001	False
120	17-10-2025 23:03:23	19.54	6.15	1.37	83.0	83.0	90.0	20.48497	72.52918	9.02	85.33333	19.54	False	6.15	False	1.37	False
121	17-10-2025 23:03:23	21.82	0.45	2.6	89.0	88.0	95.0	21.82464	88.81854	8.29	90.66667	21.82	False	0.4500000000000002	False	2.6	False
122	17-10-2025 23:03:23	22.49	1.88	1.69	88.0	86.0	91.0	22.56844	85.2216	8.68667	88.33333	22.49	False	1.88	False	1.69	False
123	17-10-2025 23:03:23	19.94	3.97	1.94	89.0	81.0	90.0	20.33137	78.73981	8.61667	86.66667	19.94	False	3.97	False	1.94	False
124	17-10-2025 23:03:23	20.99	2.39	2.46	89.0	86.0	96.0	21.12563	83.50406	8.61333	90.33333	20.99	False	2.39	False	2.46	False
125	17-10-2025 23:03:23	20.54	2.22	1.65	86.0	91.0	82.0	20.65962	83.83132	8.13667	86.33333	20.54	False	2.22	False	1.65	False
126	17-10-2025 23:03:23	23.37	0.93	0.92	81.0	95.0	95.0	23.3885	87.72114	8.40667	90.33333	23.37	False	0.9300000000000002	False	0.92	False
