Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)	V1/X/E(cm/s)_clean	V1/X/E(cm/s)_is_spike	V2/Y/N(cm/s)_clean	V2/Y/N(cm/s)_is_spike	V3/Z/U(cm/s)_clean	V3/Z/U(cm/s)_is_spike
2640	17-10-2025 23:30:26	18.75	4.52	0.82	81.0	65.0	87.0	19.28712	76.44649	8.03	77.66667	18.75	False	4.52	False	0.82	False
2641	17-10-2025 23:30:26	17.51	5.87	1.28	89.0	64.0	83.0	18.46773	71.46694	8.22	78.66667	17.51	False	5.87	False	1.28	False
2642	17-10-2025 23:30:26	18.16	6.53	0.98	83.0	63.0	84.0	19.29836	70.22235	8.55667	76.66667	18.16	False	6.53	False	0.98	False
2643	17-10-2025 23:30:26	15.89	11.1	0.38	87.0	68.0	87.0	19.38304	55.06368	9.12333	80.66667	15.89	False	11.1	False	0.38	False
2644	17-10-2025 23:30:26	17.5	6.77	0.64	85.0	59.0	83.0	18.76387	68.85068	8.30333	75.66667	17.5	False	6.77	False	0.64	False
2645	17-10-2025 23:30:26	19.99	4.6	1.14	89.0	66.0	86.0	20.51244	77.04097	8.57667	80.33333	19.99	False	4.6	False	1.14	False
2646	17-10-2025 23:30:26	19.11	7.66	0.93	86.0	64.0	92.0	20.58805	68.15725	9.23333	80.66667	19.11	False	7.66	False	0.93	False
2647	17-10-2025 23:30:26	16.83	8.38	0.48	75.0	59.0	85.0	18.80089	63.53035	8.56333	73.0	16.83	False	8.38	False	0.48	False
2648	17-10-2025 23:30:26	20.42	4.81	0.54	83.0	65.0	87.0	20.97886	76.74541	8.59	78.33333	20.42	False	4.81	False	0.54	False
2649	17-10-2025 23:30:26	20.32	7.51	0.59	83.0	65.0	81.0	21.66339	69.71636	9.47333	76.33333	20.32	False	7.51	False	0.59	False
2650	17-10-2025 23:30:26	18.74	7.85	0.95	81.0	71.0	84.0	20.31773	67.27167	9.18	78.66667	18.74	False	7.85	False	0.95	False
2651	17-10-2025 23:30:26	19.08	7.53	0.34	78.0	46.0	83.0	20.51213	68.46313	8.98333	69.0	19.08	False	7.53	False	0.34	False
2652	17-10-2025 23:30:26	20.32	7.7	0.74	89.0	68.0	90.0	21.72999	69.24645	9.58667	82.33333	20.32	False	7.7	False	0.74	False
2653	17-10-2025 23:30:26	20.53	10.56	0.69	83.0	77.0	88.0	23.08667	62.78011	10.59333	82.66667	20.53	False	10.56	False	0.69	False
2654	17-10-2025 23:30:26	19.88	9.99	0.18	80.0	61.0	81.0	22.24892	63.31978	10.01667	74.0	19.88	False	9.99	False	0.18	False
2655	17-10-2025 23:30:26	21.95	10.06	0.6	84.0	72.0	60.0	24.14552	65.37734	10.87	72.0	21.95	False	10.06	False	0.6	False
2656	17-10-2025 23:30:26	21.57	11.03	0.98	78.0	73.0	89.0	24.22655	62.91669	11.19333	80.0	21.57	False	11.03	False	0.98	False
2657	17-10-2025 23:30:26	24.78	9.92	1.43	85.0	65.0	84.0	26.69185	68.18265	12.04333	78.0	24.78	False	9.92	False	1.43	False
2658	17-10-2025 23:30:26	24.51	6.44	0.74	83.0	59.0	87.0	25.34194	75.2783	10.56333	76.33333	24.51	False	6.44	False	0.74	False
2659	17-10-2025 23:30:26	25.48	7.32	0.91	83.0	69.0	80.0	26.51062	73.97148	11.23667	77.33333	25.48	False	7.32	False	0.91	False
