Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)	V1/X/E(cm/s)_clean	V1/X/E(cm/s)_is_spike	V2/Y/N(cm/s)_clean	V2/Y/N(cm/s)_is_spike	V3/Z/U(cm/s)_clean	V3/Z/U(cm/s)_is_spike
1928	17-10-2025 19:06:50	21.7	8.52	-0.52	94.0	85.0	93.0	23.31267	68.5637	9.9	90.66667	21.7	False	8.52	False	-0.52	False
1929	17-10-2025 19:06:50	20.71	11.84	0.11	89.0	71.0	90.0	23.8556	60.2432	10.88667	83.33333	20.71	False	11.84	False	0.10999999999999999	False
1930	17-10-2025 19:06:50	19.58	10.5	0.37	91.0	63.0	95.0	22.21771	61.79706	10.15	83.0	19.58	False	10.5	False	0.37	False
1931	17-10-2025 19:06:50	21.82	6.22	0.27	90.0	78.0	94.0	22.68922	74.08929	9.43667	87.33333	21.82	False	6.22	False	0.27	False
1932	17-10-2025 19:06:50	20.65	9.08	0.57	98.0	80.0	95.0	22.55812	66.26445	10.1	91.0	20.65	False	9.08	False	0.57	False
1933	17-10-2025 19:06:50	19.84	8.65	1.69	91.0	70.0	93.0	21.64366	66.44338	10.06	84.66667	19.84	False	8.65	False	1.69	False
1934	17-10-2025 19:06:50	20.58	7.79	2.37	87.0	70.0	90.0	22.00501	69.2672	10.24667	82.33333	20.58	False	7.79	False	2.37	False
1935	17-10-2025 19:06:50	18.37	9.23	1.56	87.0	78.0	87.0	20.55845	63.32278	9.72	84.0	18.37	False	9.23	False	1.56	False
1936	17-10-2025 19:06:50	18.52	4.6	2.49	75.0	86.0	90.0	19.08273	76.05114	8.53667	83.66667	18.52	False	4.6	False	2.49	False
1937	17-10-2025 19:06:50	20.13	7.08	2.71	88.0	89.0	97.0	21.33877	70.62252	9.97333	91.33333	20.13	False	7.08	False	2.71	False
1938	17-10-2025 19:06:50	24.43	6.03	2.38	92.0	77.0	95.0	25.16318	76.13495	10.94667	88.0	24.43	False	6.03	False	2.38	False
1939	17-10-2025 19:06:50	22.77	6.11	2.53	89.0	77.0	96.0	23.57552	74.97935	10.47	87.33333	22.77	False	6.11	False	2.53	False
1940	17-10-2025 19:06:50	20.61	6.22	2.67	91.0	84.0	96.0	21.52813	73.20644	9.83333	90.33333	20.61	False	6.22	False	2.67	False
1941	17-10-2025 19:06:51	20.24	5.51	2.3	92.0	84.0	95.0	20.9766	74.77123	9.35	90.33333	20.24	False	5.51	False	2.3	False
1942	17-10-2025 19:06:51	20.89	5.43	1.77	91.0	91.0	95.0	21.58418	75.42938	9.36333	92.33333	20.89	False	5.43	False	1.77	False
1943	17-10-2025 19:06:51	21.45	8.23	1.56	88.0	85.0	96.0	22.97467	69.00904	10.41333	89.66667	21.45	False	8.23	False	1.56	False
1944	17-10-2025 19:06:51	21.13	7.4	1.86	92.0	72.0	95.0	22.38832	70.69908	10.13	86.33333	21.13	False	7.4	False	1.86	False
1945	17-10-2025 19:06:51	22.62	6.03	2.62	88.0	70.0	94.0	23.40994	75.07331	10.42333	84.0	22.62	False	6.03	False	2.62	False
1946	17-10-2025 19:06:51	23.81	1.19	1.96	87.0	75.0	95.0	23.83972	87.13879	8.98667	85.66667	23.81	False	1.19	False	1.96	False
1947	17-10-2025 19:06:51	24.05	2.13	1.09	85.0	81.0	93.0	24.14414	84.93878	9.09	86.33333	24.05	False	2.13	False	1.09	False
1948	17-10-2025 19:06:51	21.7	4.03	-0.57	91.0	72.0	92.0	22.07104	79.47922	8.38667	85.0	21.7	False	4.03	False	-0.5700000000000001	False
1949	17-10-2025 19:06:51	18.37	4.64	0.15	92.0	77.0	90.0	18.94694	75.8244	7.72	86.33333	18.37	False	4.64	False	0.15000000000000002	False
1950	17-10-2025 19:06:51	17.46	4.81	0.31	89.0	75.0	94.0	18.11043	74.59782	7.52667	86.0	17.46	False	4.81	False	0.31	False
1951	17-10-2025 19:06:51	19.27	5.8	1.38	88.0	78.0	93.0	20.12394	73.24894	8.81667	86.33333	19.27	False	5.8	False	1.38	False
1952	17-10-2025 19:06:51	23.47	-1.17	2.86	84.0	69.0	93.0	23.49914	92.85388	8.38667	82.0	23.47	False	-1.17	False	2.8600000000000003	False
1953	17-10-2025 19:06:51	20.35	1.11	1.77	80.0	81.0	90.0	20.38025	86.87787	7.74333	83.66667	20.35	False	1.11	False	1.77	False
1954	17-10-2025 19:06:51	20.83	3.15	0.25	90.0	91.0	86.0	21.06683	81.40065	8.07667	89.0	20.83	False	3.15	False	0.25	False
1955	17-10-2025 19:06:51	18.48	3.26	0.57	89.0	76.0	95.0	18.76534	79.99556	7.43667	86.66667	18.48	False	3.26	False	0.57	False
1956	17-10-2025 19:06:51	19.72	3.58	0.58	91.0	87.0	94.0	20.04233	79.7105	7.96	90.66667	19.72	False	3.58	False	0.58	False
1957	17-10-2025 19:06:51	18.48	3.6	1.15	93.0	69.0	98.0	18.82738	78.97654	7.74333	86.66667	18.48	False	3.6	False	1.15	False
1958	17-10-2025 19:06:51	18.88	3.49	1.01	91.0	82.0	95.0	19.19986	79.527	7.79333	89.33333	18.88	False	3.49	False	1.01	False
1959	17-10-2025 19:06:51	17.38	5.78	0.4	94.0	84.0	95.0	18.31592	71.60462	7.85333	91.0	17.38	False	5.78	False	0.4	False
1960	17-10-2025 19:06:51	19.08	4.54	2.48	86.0	74.0	91.0	19.6127	76.61562	8.7	83.66667	19.08	False	4.54	False	2.48	False
1961	17-10-2025 19:06:51	20.23	2.74	3.32	86.0	83.0	97.0	20.41471	82.28666	8.76333	88.66667	20.23	False	2.74	False	3.3200000000000003	False
1962	17-10-2025 19:06:51	19.91	1.56	2.63	91.0	79.0	97.0	19.97102	85.51988	8.03333	89.0	19.91	False	1.56	False	2.63	False
1963	17-10-2025 19:06:51	17.78	3.6	1.8	90.0	84.0	97.0	18.14079	78.5538	7.72667	90.33333	17.78	False	3.6	False	1.8	False
1964	17-10-2025 19:06:51	18.06	1.41	2.41	88.0	79.0	97.0	18.11496	85.5358	7.29333	88.0	18.06	False	1.41	False	2.41	False
1965	17-10-2025 19:06:51	20.45	-1.0	1.95	89.0	83.0	96.0	20.47444	92.79952	7.13333	89.33333	20.45	False	-1.0	False	1.95	False
1966	17-10-2025 19:06:51	19.92	2.03	0.4	92.0	82.0	97.0	20.02317	84.18121	7.45	90.33333	19.92	False	2.03	False	0.4	False
1967	17-10-2025 19:06:51	17.74	2.19	-0.12	88.0	77.0	93.0	17.87467	82.96245	6.60333	86.0	17.74	False	2.19	False	-0.12	False
1968	17-10-2025 19:06:51	16.41	4.39	-0.42	93.0	68.0	88.0	16.98706	75.02296	6.79333	83.0	16.41	False	4.39	False	-0.41999999999999993	False
1969	17-10-2025 19:06:51	17.18	1.37	0.14	90.0	70.0	93.0	17.23454	85.44066	6.23	84.33333	17.18	False	1.37	False	0.14	False
1970	17-10-2025 19:06:51	19.34	1.27	0.69	92.0	82.0	94.0	19.38165	86.24295	7.1	89.33333	19.34	False	1.27	False	0.69	False
1971	17-10-2025 19:06:51	19.31	-1.22	0.98	86.0	73.0	95.0	19.3485	93.61512	6.35667	84.66667	19.31	False	-1.2199999999999998	False	0.98	False
1972	17-10-2025 19:06:51	18.39	1.27	0.83	93.0	75.0	96.0	18.4338	86.04947	6.83	88.0	18.39	False	1.27	False	0.83	False
1973	17-10-2025 19:06:51	17.86	1.24	1.25	86.0	77.0	96.0	17.90299	86.02839	6.78333	86.33333	17.86	False	1.24	False	1.25	False
1974	17-10-2025 19:06:51	20.38	-0.67	1.74	92.0	74.0	93.0	20.39101	91.88294	7.15	86.33333	20.38	False	-0.6699999999999999	False	1.74	False
1975	17-10-2025 19:06:51	19.17	2.18	0.74	94.0	61.0	97.0	19.29356	83.51223	7.36333	84.0	19.17	False	2.18	False	0.74	False
1976	17-10-2025 19:06:51	21.14	-1.96	0.23	88.0	66.0	94.0	21.23067	95.29705	6.47	82.66667	21.14	False	-1.96	False	0.22999999999999998	False
1977	17-10-2025 19:06:51	19.57	0.93	-0.62	87.0	63.0	88.0	19.59209	87.27925	6.62667	79.33333	19.57	False	0.9300000000000002	False	-0.6199999999999999	False
1978	17-10-2025 19:06:51	19.52	-0.09	0.93	91.0	75.0	90.0	19.52021	90.26417	6.78667	85.33333	19.52	False	-0.08999999999999986	False	0.93	False
