Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)	V1/X/E(cm/s)_clean	V1/X/E(cm/s)_is_spike	V2/Y/N(cm/s)_clean	V2/Y/N(cm/s)_is_spike	V3/Z/U(cm/s)_clean	V3/Z/U(cm/s)_is_spike
167	17-10-2025 23:21:22	22.23	-1.87	0.5	93.0	84.0	96.0	22.30851	94.80843	6.95333	91.0	22.23	False	-1.87	False	0.5	False
168	17-10-2025 23:21:22	20.33	0.7	0.46	91.0	80.0	92.0	20.34205	88.02798	7.16333	87.66667	20.33	False	0.7	False	0.46	False
169	17-10-2025 23:21:22	18.74	2.89	0.86	93.0	88.0	94.0	18.96153	81.23316	7.49667	91.66667	18.74	False	2.89	False	0.86	False
170	17-10-2025 23:21:22	20.11	1.97	1.23	92.0	85.0	94.0	20.20626	84.40509	7.77	90.33333	20.11	False	1.97	False	1.23	False
171	17-10-2025 23:21:22	22.22	1.53	2.11	87.0	91.0	89.0	22.27261	86.06101	8.62	89.0	22.22	False	1.53	False	2.11	False
172	17-10-2025 23:21:22	21.5	0.5	1.63	88.0	88.0	96.0	21.50581	88.66778	7.87667	90.66667	21.5	False	0.5	False	1.63	False
173	17-10-2025 23:21:22	21.85	0.91	0.1	87.0	70.0	95.0	21.86894	87.61515	7.62	84.0	21.85	False	0.91	False	0.1	False
174	17-10-2025 23:21:22	19.43	5.0	-0.39	86.0	75.0	93.0	20.06302	75.56895	8.01333	84.66667	19.43	False	5.0	False	-0.39	False
175	17-10-2025 23:21:22	20.01	2.07	2.04	83.0	89.0	85.0	20.11678	84.09386	8.04	85.66667	20.01	False	2.07	False	2.04	False
176	17-10-2025 23:21:22	20.17	3.6	1.99	90.0	87.0	97.0	20.48875	79.88024	8.58667	91.33333	20.17	False	3.6	False	1.99	False
177	17-10-2025 23:21:22	18.72	2.65	1.98	92.0	84.0	97.0	18.90664	81.94275	7.78333	91.0	18.72	False	2.65	False	1.98	False
178	17-10-2025 23:21:22	20.49	1.5	2.1	93.0	94.0	97.0	20.54483	85.81305	8.03	94.66667	20.49	False	1.5	False	2.1	False
179	17-10-2025 23:21:22	19.73	3.33	2.28	88.0	87.0	95.0	20.00904	80.41999	8.44667	90.0	19.73	False	3.33	False	2.28	False
180	17-10-2025 23:21:22	21.31	2.73	2.51	88.0	90.0	99.0	21.48416	82.69967	8.85	92.33333	21.31	False	2.73	False	2.51	False
181	17-10-2025 23:21:23	20.34	1.77	1.96	92.0	88.0	92.0	20.41687	85.02661	8.02333	90.66667	20.34	False	1.77	False	1.96	False
182	17-10-2025 23:21:23	20.24	2.74	2.73	83.0	92.0	97.0	20.42462	82.29042	8.57	90.66667	20.24	False	2.74	False	2.73	False
183	17-10-2025 23:21:23	22.85	2.02	3.54	92.0	76.0	97.0	22.93911	84.94804	9.47	88.33333	22.85	False	2.02	False	3.54	False
184	17-10-2025 23:21:23	20.24	3.65	2.97	91.0	74.0	97.0	20.56648	79.77738	8.95333	87.33333	20.24	False	3.65	False	2.97	False
185	17-10-2025 23:21:23	20.67	3.2	2.85	92.0	91.0	99.0	20.91624	81.19969	8.90667	94.0	20.67	False	3.2	False	2.85	False
186	17-10-2025 23:21:23	19.91	2.53	2.74	89.0	85.0	98.0	20.0701	82.75813	8.39333	90.66667	19.91	False	2.53	False	2.74	False
187	17-10-2025 23:21:23	21.24	2.3	3.76	83.0	89.0	95.0	21.36417	83.81974	9.1	89.0	21.24	False	2.3	False	3.76	False
188	17-10-2025 23:21:23	21.99	0.75	3.78	94.0	90.0	97.0	22.00279	88.0466	8.84	93.66667	21.99	False	0.75	False	3.78	False
189	17-10-2025 23:21:23	20.64	2.52	3.96	91.0	81.0	97.0	20.79327	83.03904	9.04	89.66667	20.64	False	2.52	False	3.96	False
190	17-10-2025 23:21:23	19.24	3.36	3.83	88.0	82.0	97.0	19.53118	80.09398	8.81	89.0	19.24	False	3.36	False	3.83	False
191	17-10-2025 23:21:23	20.1	1.86	3.67	88.0	89.0	94.0	20.18588	84.71306	8.54333	90.33333	20.1	False	1.86	False	3.67	False
192	17-10-2025 23:21:23	20.83	3.21	2.72	90.0	88.0	93.0	21.07589	81.23937	8.92	90.33333	20.83	False	3.21	False	2.72	False
193	17-10-2025 23:21:23	21.39	3.27	2.05	92.0	78.0	96.0	21.63851	81.30819	8.90333	88.66667	21.39	False	3.27	False	2.05	False
194	17-10-2025 23:21:23	21.81	0.71	3.26	86.0	91.0	92.0	21.82155	88.13546	8.59333	89.66667	21.81	False	0.71	False	3.26	False
195	17-10-2025 23:21:23	21.81	-0.8	2.82	83.0	91.0	93.0	21.82467	92.10069	7.94333	89.0	21.81	False	-0.8	False	2.82	False
196	17-10-2025 23:21:23	20.74	-0.78	2.45	81.0	87.0	95.0	20.75466	92.15379	7.47	87.66667	20.74	False	-0.78	False	2.45	False
197	17-10-2025 23:21:23	20.35	2.42	1.87	93.0	93.0	95.0	20.49339	83.2183	8.21333	93.66667	20.35	False	2.42	False	1.87	False
198	17-10-2025 23:21:23	19.91	2.82	1.47	91.0	88.0	97.0	20.10872	81.9384	8.06667	92.0	19.91	False	2.82	False	1.47	False
199	17-10-2025 23:21:23	20.95	0.03	1.04	92.0	64.0	95.0	20.95002	89.91795	7.34	83.66667	20.95	False	0.03	False	1.04	False
200	17-10-2025 23:21:23	20.38	4.19	1.73	90.0	68.0	96.0	20.80626	78.38223	8.76667	84.66667	20.38	False	4.19	False	1.73	False
201	17-10-2025 23:21:23	20.79	4.77	2.9	86.0	85.0	96.0	21.33019	77.07786	9.48667	89.0	20.79	False	4.77	False	2.9	False
202	17-10-2025 23:21:23	20.82	4.92	3.74	90.0	84.0	94.0	21.39343	76.70427	9.82667	89.33333	20.82	False	4.92	False	3.74	False
203	17-10-2025 23:21:23	22.45	5.09	3.09	87.0	91.0	95.0	23.01979	77.22552	10.21	91.0	22.45	False	5.09	False	3.09	False
204	17-10-2025 23:21:23	22.36	1.85	4.03	86.0	95.0	95.0	22.4364	85.27029	9.41333	92.0	22.36	False	1.85	False	4.03	False
205	17-10-2025 23:21:23	23.51	2.21	3.3	93.0	87.0	96.0	23.61364	84.62983	9.67333	92.0	23.51	False	2.21	False	3.3	False
206	17-10-2025 23:21:23	21.7	5.08	3.78	93.0	88.0	95.0	22.28669	76.82425	10.18667	92.0	21.7	False	5.08	False	3.78	False
207	17-10-2025 23:21:23	23.33	1.84	4.13	85.0	90.0	95.0	23.40245	85.49051	9.76667	90.0	23.33	False	1.84	False	4.13	False
208	17-10-2025 23:21:23	25.49	2.29	2.86	90.0	91.0	91.0	25.59266	84.86638	10.21333	90.66667	25.49	False	2.29	False	2.86	False
209	17-10-2025 23:21:23	24.94	3.56	2.37	87.0	86.0	90.0	25.1928	81.87633	10.29	87.66667	24.94	False	3.56	False	2.37	False
210	17-10-2025 23:21:23	21.86	6.52	2.5	94.0	88.0	93.0	22.81162	73.39217	10.29333	91.66667	21.86	False	6.52	False	2.5	False
211	17-10-2025 23:21:23	23.4	3.82	2.65	88.0	93.0	90.0	23.70975	80.72837	9.95667	90.33333	23.4	False	3.82	False	2.65	False
212	17-10-2025 23:21:23	21.46	3.72	2.57	88.0	90.0	95.0	21.78004	80.16574	9.25	91.0	21.46	False	3.72	False	2.57	False
213	17-10-2025 23:21:23	20.74	4.48	1.87	91.0	94.0	93.0	21.21834	77.81094	9.03	92.66667	20.74	False	4.48	False	1.87	False
214	17-10-2025 23:21:23	21.86	3.58	2.72	86.0	78.0	91.0	22.15121	80.69927	9.38667	85.0	21.86	False	3.58	False	2.72	False
215	17-10-2025 23:21:23	22.9	2.39	3.46	86.0	93.0	88.0	23.02438	84.04179	9.58333	89.0	22.9	False	2.39	False	3.46	False
216	17-10-2025 23:21:23	21.33	4.18	2.86	89.0	94.0	97.0	21.73572	78.91236	9.45667	93.33333	21.33	False	4.18	False	2.86	False
217	17-10-2025 23:21:23	19.38	5.31	2.41	88.0	86.0	93.0	20.09429	74.67736	9.03333	89.0	19.38	False	5.31	False	2.41	False
218	17-10-2025 23:21:23	20.38	4.74	2.19	90.0	61.0	95.0	20.92396	76.90687	9.10333	82.0	20.38	False	4.74	False	2.19	False
219	17-10-2025 23:21:23	20.36	6.43	2.61	84.0	91.0	94.0	21.35122	72.47309	9.8	89.66667	20.36	False	6.43	False	2.61	False
220	17-10-2025 23:21:23	20.94	5.82	2.37	85.0	88.0	93.0	21.73375	74.46742	9.71	88.66667	20.94	False	5.82	False	2.37	False
221	17-10-2025 23:21:24	20.61	7.93	1.05	87.0	82.0	91.0	22.08296	68.95504	9.86333	86.66667	20.61	False	7.93	False	1.05	False
222	17-10-2025 23:21:24	19.76	8.27	1.49	84.0	75.0	86.0	21.4208	67.28961	9.84	81.66667	19.76	False	8.27	False	1.49	False
223	17-10-2025 23:21:24	22.49	6.21	3.45	84.0	87.0	98.0	23.33161	74.56396	10.71667	89.66667	22.49	False	6.21	False	3.45	False
224	17-10-2025 23:21:24	22.13	6.6	3.83	85.0	82.0	96.0	23.09322	73.39344	10.85333	87.66667	22.13	False	6.6	False	3.83	False
225	17-10-2025 23:21:24	22.46	4.76	3.56	82.0	89.0	90.0	22.95886	78.03422	10.26	87.0	22.46	False	4.76	False	3.56	False
226	17-10-2025 23:21:24	21.29	3.09	3.29	85.0	92.0	93.0	21.51307	81.74184	9.22333	90.0	21.29	False	3.09	False	3.29	False
227	17-10-2025 23:21:24	21.26	3.63	3.03	93.0	89.0	92.0	21.56767	80.31057	9.30667	91.33333	21.26	False	3.63	False	3.03	False
228	17-10-2025 23:21:24	21.68	4.07	1.87	92.0	93.0	93.0	22.05872	79.36758	9.20667	92.66667	21.68	False	4.07	False	1.87	False
229	17-10-2025 23:21:24	21.0	5.63	1.25	97.0	88.0	96.0	21.74159	74.99219	9.29333	93.66667	21.0	False	5.63	False	1.25	False
230	17-10-2025 23:21:24	20.48	4.4	1.44	94.0	90.0	96.0	20.94732	77.87468	8.77333	93.33333	20.48	False	4.4	False	1.44	False
231	17-10-2025 23:21:24	20.66	6.47	1.6	92.0	78.0	97.0	21.6494	72.61124	9.57667	89.0	20.66	False	6.47	False	1.6	False
232	17-10-2025 23:21:24	20.72	5.54	1.9	88.0	72.0	95.0	21.44784	75.03073	9.38667	85.0	20.72	False	5.54	False	1.9	False
233	17-10-2025 23:21:24	22.47	3.58	3.04	92.0	89.0	98.0	22.7534	80.94752	9.69667	93.0	22.47	False	3.58	False	3.04	False
234	17-10-2025 23:21:24	23.47	1.97	2.78	91.0	96.0	98.0	23.55253	85.20201	9.40667	95.0	23.47	False	1.97	False	2.78	False
235	17-10-2025 23:21:24	23.83	2.73	2.17	86.0	94.0	96.0	23.98587	83.4646	9.57667	92.0	23.83	False	2.73	False	2.17	False
236	17-10-2025 23:21:24	22.45	2.49	2.01	96.0	94.0	97.0	22.58766	83.67101	8.98333	95.66667	22.45	False	2.49	False	2.01	False
237	17-10-2025 23:21:24	21.59	3.8	1.32	91.0	89.0	96.0	21.92186	80.01776	8.90333	92.0	21.59	False	3.8	False	1.32	False
238	17-10-2025 23:21:24	20.96	4.71	0.88	95.0	82.0	97.0	21.48268	77.33523	8.85	91.33333	20.96	False	4.71	False	0.88	False
239	17-10-2025 23:21:24	21.15	5.71	1.04	93.0	92.0	95.0	21.90723	74.89169	9.3	93.33333	21.15	False	5.71	False	1.04	False
240	17-10-2025 23:21:24	22.8	2.65	0.6	91.0	86.0	89.0	22.95349	83.37037	8.68333	88.66667	22.8	False	2.65	False	0.6	False
241	17-10-2025 23:21:24	18.46	10.34	1.72	84.0	53.0	83.0	21.15862	60.7455	10.17333	73.33333	18.46	False	10.34	True	1.72	False
242	17-10-2025 23:21:24	22.16	1.68	3.48	83.0	91.0	96.0	22.22359	85.66457	9.10667	90.0	22.16	False	1.68	True	3.48	False
243	17-10-2025 23:21:24	22.53	-0.2	2.57	84.0	75.0	96.0	22.53089	90.5086	8.3	85.0	22.53	False	-0.2	True	2.57	False
244	17-10-2025 23:21:24	19.63	4.75	1.6	90.0	87.0	93.0	20.19652	76.39723	8.66	90.0	19.63	False	4.75	False	1.6	False
245	17-10-2025 23:21:24	19.91	3.19	1.73	92.0	92.0	96.0	20.16393	80.89738	8.27667	93.33333	19.91	False	3.19	False	1.73	False
246	17-10-2025 23:21:24	19.98	2.42	2.08	89.0	87.0	90.0	20.12602	83.09391	8.16	88.66667	19.98	False	2.42	False	2.08	False
247	17-10-2025 23:21:24	20.71	2.63	2.59	87.0	82.0	99.0	20.87633	82.76265	8.64333	89.33333	20.71	False	2.63	False	2.59	False
248	17-10-2025 23:21:24	20.95	1.26	4.09	80.0	88.0	90.0	20.98786	86.55819	8.76667	86.0	20.95	False	1.26	False	4.09	False
249	17-10-2025 23:21:24	21.98	1.6	4.74	87.0	88.0	95.0	22.03816	85.83659	9.44	90.0	21.98	False	1.6	False	4.74	False
250	17-10-2025 23:21:24	20.9	2.28	4.59	88.0	90.0	95.0	21.024	83.77417	9.25667	91.0	20.9	False	2.28	False	4.59	False
251	17-10-2025 23:21:24	21.05	1.57	4.21	91.0	86.0	98.0	21.10847	85.73453	8.94333	91.66667	21.05	False	1.57	False	4.21	False
252	17-10-2025 23:21:24	21.35	1.62	4.41	92.0	86.0	95.0	21.41137	85.66081	9.12667	91.0	21.35	False	1.62	False	4.41	False
253	17-10-2025 23:21:24	20.85	2.04	4.72	89.0	84.0	94.0	20.94956	84.41187	9.20333	89.0	20.85	False	2.04	False	4.72	False
254	17-10-2025 23:21:24	21.58	0.75	5.17	83.0	87.0	96.0	21.59303	88.00952	9.16667	88.66667	21.58	False	0.75	False	5.17	False
255	17-10-2025 23:21:24	22.36	-1.07	4.44	81.0	88.0	91.0	22.38559	92.7397	8.57667	86.66667	22.36	False	-1.07	False	4.44	False
256	17-10-2025 23:21:24	20.25	2.97	2.89	91.0	88.0	94.0	20.46664	81.65611	8.70333	91.0	20.25	False	2.97	False	2.89	False
257	17-10-2025 23:21:24	21.44	1.14	2.82	87.0	92.0	97.0	21.47029	86.95636	8.46667	92.0	21.44	False	1.14	False	2.82	False
258	17-10-2025 23:21:24	18.99	0.18	2.85	89.0	89.0	95.0	18.99085	89.45693	7.34	91.0	18.99	False	0.18	False	2.85	False
259	17-10-2025 23:21:24	19.58	1.32	2.53	91.0	95.0	96.0	19.62444	86.1432	7.81	94.0	19.58	False	1.32	False	2.53	False
260	17-10-2025 23:21:24	20.55	3.5	2.09	91.0	91.0	95.0	20.84592	80.33434	8.71333	92.33333	20.55	False	3.5	False	2.09	False
261	17-10-2025 23:21:25	20.58	2.63	1.45	90.0	93.0	96.0	20.74737	82.71742	8.22	93.0	20.58	False	2.63	False	1.45	False
262	17-10-2025 23:21:25	20.66	3.01	1.48	94.0	90.0	92.0	20.87811	81.71078	8.38333	92.0	20.66	False	3.01	False	1.48	False
263	17-10-2025 23:21:25	20.4	1.23	1.81	84.0	90.0	92.0	20.43705	86.54958	7.81333	88.66667	20.4	False	1.23	False	1.81	False
264	17-10-2025 23:21:25	20.5	1.96	1.75	88.0	84.0	97.0	20.59348	84.53857	8.07	89.66667	20.5	False	1.96	False	1.75	False
265	17-10-2025 23:21:25	20.53	2.2	2.07	93.0	91.0	95.0	20.64754	83.88351	8.26667	93.0	20.53	False	2.2	False	2.07	False
266	17-10-2025 23:21:25	20.06	3.43	2.46	90.0	89.0	98.0	20.35113	80.297	8.65	92.33333	20.06	False	3.43	False	2.46	False
267	17-10-2025 23:21:25	19.04	2.22	3.1	91.0	94.0	96.0	19.16899	83.34953	8.12	93.66667	19.04	False	2.22	False	3.1	False
268	17-10-2025 23:21:25	20.58	1.5	3.76	90.0	96.0	91.0	20.63459	85.83129	8.61333	92.33333	20.58	False	1.5	False	3.76	False
269	17-10-2025 23:21:25	21.9	1.25	2.29	81.0	89.0	88.0	21.93564	86.73324	8.48	86.0	21.9	False	1.25	False	2.29	False
270	17-10-2025 23:21:25	19.73	2.85	0.88	91.0	83.0	94.0	19.93478	81.78047	7.82	89.33333	19.73	False	2.85	False	0.88	False
271	17-10-2025 23:21:25	18.99	4.97	1.4	91.0	76.0	94.0	19.62959	75.33369	8.45333	87.0	18.99	False	4.97	False	1.4	False
272	17-10-2025 23:21:25	18.1	4.97	3.33	85.0	80.0	90.0	18.76995	74.64582	8.8	85.0	18.1	False	4.97	False	3.33	False
273	17-10-2025 23:21:25	19.99	1.66	3.68	87.0	82.0	96.0	20.05881	85.25296	8.44333	88.33333	19.99	False	1.66	False	3.68	False
274	17-10-2025 23:21:25	20.4	1.74	2.76	90.0	71.0	97.0	20.47407	85.12481	8.3	86.0	20.4	False	1.74	False	2.76	False
275	17-10-2025 23:21:25	21.12	-0.64	2.09	91.0	90.0	97.0	21.12969	91.7357	7.52333	92.66667	21.12	False	-0.64	False	2.09	False
276	17-10-2025 23:21:25	19.69	1.64	1.83	89.0	90.0	96.0	19.75818	85.23877	7.72	91.66667	19.69	False	1.64	False	1.83	False
277	17-10-2025 23:21:25	23.26	2.75	2.45	85.0	91.0	95.0	23.422	83.25729	9.48667	90.33333	23.26	False	2.75	False	2.45	False
278	17-10-2025 23:21:25	24.05	4.89	1.31	87.0	90.0	95.0	24.5421	78.50693	10.08333	90.66667	24.05	False	4.89	False	1.31	False
279	17-10-2025 23:21:25	23.93	4.86	1.59	85.0	91.0	90.0	24.41853	78.51981	10.12667	88.66667	23.93	False	4.86	False	1.59	False
280	17-10-2025 23:21:25	24.47	3.41	2.73	90.0	93.0	96.0	24.70646	82.06668	10.20333	93.0	24.47	False	3.41	False	2.73	False
281	17-10-2025 23:21:25	23.83	4.64	1.86	89.0	85.0	97.0	24.27753	78.98166	10.11	90.33333	23.83	False	4.64	False	1.86	False
282	17-10-2025 23:21:25	22.6	5.19	1.45	87.0	83.0	95.0	23.18827	77.0665	9.74667	88.33333	22.6	False	5.19	False	1.45	False
283	17-10-2025 23:21:25	24.68	3.92	2.01	90.0	93.0	95.0	24.98937	80.97493	10.20333	92.66667	24.68	False	3.92	False	2.01	False
284	17-10-2025 23:21:25	24.6	1.92	2.6	84.0	87.0	96.0	24.67481	85.53718	9.70667	89.0	24.6	False	1.92	False	2.6	False
285	17-10-2025 23:21:25	23.15	1.77	1.91	91.0	83.0	91.0	23.21757	85.62779	8.94333	88.33333	23.15	False	1.77	False	1.91	False
286	17-10-2025 23:21:25	21.71	3.32	1.59	91.0	91.0	96.0	21.96239	81.30541	8.87333	92.66667	21.71	False	3.32	False	1.59	False
287	17-10-2025 23:21:25	20.96	3.52	1.37	93.0	80.0	96.0	21.25352	80.46677	8.61667	89.66667	20.96	False	3.52	False	1.37	False
288	17-10-2025 23:21:25	19.98	5.08	1.66	94.0	90.0	97.0	20.61569	75.73457	8.90667	93.66667	19.98	False	5.08	False	1.66	False
289	17-10-2025 23:21:25	20.66	4.74	1.66	89.0	88.0	97.0	21.19677	77.07832	9.02	91.33333	20.66	False	4.74	False	1.66	False
290	17-10-2025 23:21:25	22.1	3.91	0.98	93.0	88.0	96.0	22.44322	79.96688	8.99667	92.33333	22.1	False	3.91	False	0.98	False
291	17-10-2025 23:21:25	23.22	2.66	1.38	85.0	86.0	94.0	23.37186	83.46489	9.08667	88.33333	23.22	False	2.66	False	1.38	False
292	17-10-2025 23:21:25	21.78	3.86	1.45	89.0	91.0	96.0	22.1194	79.95001	9.03	92.0	21.78	False	3.86	False	1.45	False
