Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)	V1/X/E(cm/s)_clean	V1/X/E(cm/s)_is_spike	V2/Y/N(cm/s)_clean	V2/Y/N(cm/s)_is_spike	V3/Z/U(cm/s)_clean	V3/Z/U(cm/s)_is_spike
1	18-10-2025 2:41:40	14.47	-7.61	0.68	54.0	76.0	90.0	16.3491	117.74059	2.51333	73.33333	14.47	False	-7.61	False	0.68	False
2	18-10-2025 2:41:40	11.32	-4.63	0.73	50.0	65.0	91.0	12.23026	112.24508	2.47333	68.66667	11.32	False	-4.63	False	0.73	False
3	18-10-2025 2:41:40	9.08	-3.29	0.74	52.0	62.0	92.0	9.65767	109.91721	2.17667	68.66667	9.08	False	-3.29	False	0.74	False
4	18-10-2025 2:41:40	6.33	-3.66	0.23	29.0	56.0	89.0	7.31194	120.03646	0.96667	58.0	6.33	False	-3.66	False	0.22999999999999998	False
5	18-10-2025 2:41:40	15.47	-4.41	0.87	38.0	56.0	84.0	16.0863	105.91115	3.97667	59.33333	15.47	False	-4.41	False	0.87	False
6	18-10-2025 2:41:40	15.36	-5.54	1.24	36.0	75.0	88.0	16.32854	109.83321	3.68667	66.33333	15.36	False	-5.54	False	1.24	False
7	18-10-2025 2:41:40	14.86	-4.4	1.17	40.0	63.0	87.0	15.49773	106.49386	3.87667	63.33333	14.86	False	-4.4	False	1.17	False
8	18-10-2025 2:41:41	14.95	-7.98	1.15	46.0	46.0	84.0	16.94647	118.09238	2.70667	58.66667	14.95	False	-7.98	False	1.15	False
9	18-10-2025 2:41:41	16.33	-6.77	1.06	40.0	60.0	88.0	17.67772	112.51765	3.54	62.66667	16.33	False	-6.77	False	1.06	False
10	18-10-2025 2:41:41	11.62	-5.73	1.06	57.0	61.0	90.0	12.95598	116.24861	2.31667	69.33333	11.62	False	-5.73	False	1.06	False
11	18-10-2025 2:41:41	13.0	-3.05	1.1	41.0	60.0	82.0	13.353	103.20367	3.68333	61.0	13.0	False	-3.05	False	1.1	False
12	18-10-2025 2:41:41	10.21	-3.2	0.26	49.0	61.0	79.0	10.69972	107.40194	2.42333	63.0	10.21	False	-3.2	False	0.26	False
13	18-10-2025 2:41:41	13.25	-4.67	0.38	40.0	71.0	91.0	14.04889	109.41515	2.98667	67.33333	13.25	False	-4.67	False	0.38	False
14	18-10-2025 2:41:41	18.02	-4.77	1.05	52.0	62.0	82.0	18.64064	104.82648	4.76667	65.33333	18.02	False	-4.77	False	1.05	False
15	18-10-2025 2:41:41	15.43	-3.63	1.12	44.0	72.0	90.0	15.85124	103.23845	4.30667	68.66667	15.43	False	-3.63	False	1.12	False
16	18-10-2025 2:41:41	12.61	-4.04	1.62	58.0	67.0	86.0	13.24136	107.76445	3.39667	70.33333	12.61	False	-4.04	False	1.62	False
17	18-10-2025 2:41:41	12.64	-5.02	1.04	39.0	71.0	95.0	13.60037	111.6606	2.88667	68.33333	12.64	False	-5.02	False	1.04	False
18	18-10-2025 2:41:41	14.79	-4.87	0.81	39.0	79.0	84.0	15.57116	108.2255	3.57667	67.33333	14.79	False	-4.87	False	0.81	False
19	18-10-2025 2:41:41	13.74	-6.67	1.12	59.0	75.0	84.0	15.27339	115.89397	2.73	72.66667	13.74	False	-6.67	False	1.12	False
20	18-10-2025 2:41:41	14.76	-6.04	0.78	55.0	73.0	77.0	15.94802	112.25507	3.16667	68.33333	14.76	False	-6.04	False	0.78	False
21	18-10-2025 2:41:41	14.63	-5.88	0.8	38.0	57.0	90.0	15.76741	111.89588	3.18333	61.66667	14.63	False	-5.88	False	0.8	False
22	18-10-2025 2:41:41	15.42	-5.32	1.12	48.0	66.0	86.0	16.31192	109.03477	3.74	66.66667	15.42	False	-5.32	False	1.12	False
23	18-10-2025 2:41:41	11.97	-5.45	1.34	50.0	55.0	82.0	13.15232	114.48001	2.62	62.33333	11.97	False	-5.45	False	1.34	False
24	18-10-2025 2:41:41	12.84	-5.96	0.76	71.0	65.0	90.0	14.15582	114.89952	2.54667	75.33333	12.84	False	-5.96	False	0.76	False
25	18-10-2025 2:41:41	13.94	-5.91	0.66	57.0	72.0	87.0	15.14106	112.97499	2.89667	72.0	13.94	False	-5.91	False	0.66	False
26	18-10-2025 2:41:41	12.26	-5.94	0.13	63.0	56.0	74.0	13.62319	115.8503	2.15	64.33333	12.26	False	-5.94	False	0.13	False
27	18-10-2025 2:41:41	10.19	-1.66	0.83	53.0	66.0	87.0	10.32433	99.25248	3.12	68.66667	10.19	False	-1.6600000000000001	False	0.83	False
28	18-10-2025 2:41:41	14.72	-4.63	0.75	55.0	75.0	89.0	15.43099	107.46035	3.61333	73.0	14.72	False	-4.63	False	0.75	False
29	18-10-2025 2:41:41	13.8	-3.27	1.34	69.0	57.0	93.0	14.18213	103.33074	3.95667	73.0	13.8	False	-3.27	False	1.34	False
30	18-10-2025 2:41:41	13.1	-4.17	0.77	62.0	74.0	90.0	13.74769	107.65735	3.23333	75.33333	13.1	False	-4.17	False	0.77	False
31	18-10-2025 2:41:41	14.15	-3.29	0.85	56.0	72.0	85.0	14.52744	103.08921	3.90333	71.0	14.15	False	-3.29	False	0.85	False
32	18-10-2025 2:41:41	12.73	-4.47	0.52	67.0	64.0	86.0	13.49199	109.34817	2.92667	72.33333	12.73	False	-4.47	False	0.52	False
33	18-10-2025 2:41:41	16.48	-4.71	0.97	59.0	74.0	85.0	17.13985	105.94999	4.24667	72.66667	16.48	False	-4.71	False	0.97	False
34	18-10-2025 2:41:41	12.73	-4.48	0.85	47.0	75.0	84.0	13.49531	109.38822	3.03333	68.66667	12.73	False	-4.48	False	0.85	False
35	18-10-2025 2:41:41	11.91	-1.65	1.18	57.0	64.0	91.0	12.02375	97.8875	3.81333	70.66667	11.91	False	-1.6499999999999995	False	1.18	False
36	18-10-2025 2:41:41	11.26	-4.83	0.74	56.0	67.0	93.0	12.2522	113.21701	2.39	72.0	11.26	False	-4.83	False	0.74	False
37	18-10-2025 2:41:41	13.75	-4.11	0.84	61.0	69.0	89.0	14.35112	106.64188	3.49333	73.0	13.75	False	-4.11	False	0.84	False
38	18-10-2025 2:41:41	12.02	-2.37	1.22	56.0	72.0	86.0	12.25142	101.15401	3.62333	71.33333	12.02	False	-2.37	False	1.22	False
39	18-10-2025 2:41:41	13.47	-4.45	0.94	41.0	53.0	88.0	14.18603	108.28168	3.32	60.66667	13.47	False	-4.45	False	0.94	False
40	18-10-2025 2:41:41	13.2	-4.42	0.9	63.0	49.0	85.0	13.92036	108.51304	3.22667	65.66667	13.2	False	-4.42	False	0.9	False
41	18-10-2025 2:41:41	14.68	-3.58	1.05	72.0	67.0	80.0	15.11022	103.70516	4.05	73.0	14.68	False	-3.58	False	1.05	False
42	18-10-2025 2:41:41	13.78	-3.86	0.4	59.0	75.0	87.0	14.31042	105.64842	3.44	73.66667	13.78	False	-3.86	False	0.4	False
43	18-10-2025 2:41:41	13.39	-4.36	1.02	43.0	67.0	89.0	14.08196	108.03608	3.35	66.33333	13.39	False	-4.36	False	1.02	False
44	18-10-2025 2:41:41	13.86	-3.98	0.91	60.0	71.0	91.0	14.42013	106.0218	3.59667	74.0	13.86	False	-3.98	False	0.91	False
45	18-10-2025 2:41:41	12.74	-4.62	0.53	57.0	73.0	91.0	13.55183	109.93254	2.88333	73.66667	12.74	False	-4.62	False	0.53	False
46	18-10-2025 2:41:41	9.96	-3.89	-0.12	68.0	71.0	85.0	10.69269	111.33374	1.98333	74.66667	9.96	False	-3.89	False	-0.11999999999999988	False
47	18-10-2025 2:41:41	13.63	-3.75	0.48	60.0	72.0	82.0	14.13646	105.38309	3.45333	71.33333	13.63	False	-3.75	False	0.48	False
48	18-10-2025 2:41:41	13.76	-2.17	0.5	64.0	69.0	85.0	13.93006	98.96193	4.03	72.66667	13.76	False	-2.17	False	0.5	False
