Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)	V1/X/E(cm/s)_clean	V1/X/E(cm/s)_is_spike	V2/Y/N(cm/s)_clean	V2/Y/N(cm/s)_is_spike	V3/Z/U(cm/s)_clean	V3/Z/U(cm/s)_is_spike
194	17-10-2025 2:36:22	19.83	-0.29	0.35	93.0	84.0	97.0	19.83212	90.83785	6.63	91.33333	19.83	False	-0.2899999999999999	False	0.35	False
195	17-10-2025 2:36:22	18.48	0.19	0.73	94.0	93.0	97.0	18.48098	89.41094	6.46667	94.66667	18.48	False	0.19000000000000006	False	0.73	False
196	17-10-2025 2:36:22	18.33	-0.15	0.65	96.0	92.0	99.0	18.33061	90.46886	6.27667	95.66667	18.33	False	-0.15000000000000002	False	0.65	False
197	17-10-2025 2:36:22	17.6	-0.71	0.75	94.0	89.0	97.0	17.61432	92.31011	5.88	93.33333	17.6	False	-0.7100000000000001	False	0.75	False
198	17-10-2025 2:36:22	19.01	-0.88	0.82	88.0	94.0	98.0	19.03036	92.65041	6.31667	93.33333	19.01	False	-0.88	False	0.82	False
199	17-10-2025 2:36:22	20.07	-1.5	0.39	93.0	91.0	97.0	20.12598	94.27425	6.32	93.66667	20.07	False	-1.5	False	0.39	False
200	17-10-2025 2:36:22	19.8	-2.09	-0.58	93.0	81.0	95.0	19.91	96.02558	5.71	89.66667	19.8	False	-2.09	False	-0.5799999999999998	False
201	17-10-2025 2:36:22	17.1	2.33	-0.34	92.0	73.0	94.0	17.25801	82.24082	6.36333	86.33333	17.1	False	2.33	False	-0.3400000000000001	False
202	17-10-2025 2:36:22	17.79	-0.35	0.52	86.0	85.0	89.0	17.79344	91.12709	5.98667	86.66667	17.79	False	-0.35	False	0.52	False
203	17-10-2025 2:36:22	19.48	-3.74	1.5	92.0	93.0	98.0	19.83578	100.86807	5.74667	94.33333	19.48	False	-3.74	False	1.5	False
204	17-10-2025 2:36:22	19.34	-4.24	0.1	90.0	88.0	92.0	19.79932	102.36559	5.06667	90.0	19.34	False	-4.24	False	0.09999999999999998	False
205	17-10-2025 2:36:22	17.31	1.7	-0.97	95.0	63.0	97.0	17.39328	84.39102	6.01333	85.0	17.31	False	1.7	False	-0.97	False
206	17-10-2025 2:36:22	16.31	1.13	-0.71	90.0	81.0	91.0	16.3491	86.03673	5.57667	87.33333	16.31	False	1.13	False	-0.71	False
207	17-10-2025 2:36:22	17.47	-2.69	1.05	89.0	78.0	94.0	17.67589	98.75356	5.27667	87.0	17.47	False	-2.69	False	1.05	False
208	17-10-2025 2:36:22	18.69	-3.38	1.88	88.0	87.0	96.0	18.99317	100.25088	5.73	90.33333	18.69	False	-3.38	False	1.88	False
209	17-10-2025 2:36:22	17.21	-4.86	1.34	88.0	92.0	97.0	17.88306	105.76936	4.56333	92.33333	17.21	False	-4.86	False	1.34	False
210	17-10-2025 2:36:22	17.46	-3.83	0.87	96.0	90.0	98.0	17.87514	102.37236	4.83333	94.66667	17.46	False	-3.83	False	0.87	False
