Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)	V1/X/E(cm/s)_clean	V1/X/E(cm/s)_is_spike	V2/Y/N(cm/s)_clean	V2/Y/N(cm/s)_is_spike	V3/Z/U(cm/s)_clean	V3/Z/U(cm/s)_is_spike
12727	17-10-2025 2:52:54	18.68	1.45	-2.37	92.0	91.0	87.0	18.73619	85.56142	5.92	90.0	18.68	False	1.45	False	-2.37	False
12728	17-10-2025 2:52:54	16.1	6.39	-2.88	91.0	73.0	95.0	17.32172	68.35215	6.53667	86.33333	16.1	False	6.39	False	-2.88	False
12729	17-10-2025 2:52:54	15.14	6.24	-2.2	85.0	79.0	88.0	16.37551	67.60083	6.39333	84.0	15.14	False	6.24	False	-2.2	False
12730	17-10-2025 2:52:54	17.34	4.51	-2.0	94.0	73.0	90.0	17.91691	75.42083	6.61667	85.66667	17.34	False	4.51	False	-2.0	False
12731	17-10-2025 2:52:54	17.7	5.08	-1.13	92.0	86.0	97.0	18.41457	73.98622	7.21667	91.66667	17.7	False	5.08	False	-1.13	False
12732	17-10-2025 2:52:54	18.32	2.79	-0.83	94.0	85.0	90.0	18.53123	81.34081	6.76	89.66667	18.32	False	2.79	False	-0.8300000000000001	False
12733	17-10-2025 2:52:54	17.61	3.3	-0.69	94.0	87.0	96.0	17.91653	79.38624	6.74	92.33333	17.61	False	3.3	False	-0.69	False
12734	17-10-2025 2:52:54	15.56	6.91	0.12	96.0	69.0	98.0	17.02532	66.0546	7.53	87.66667	15.56	False	6.91	False	0.12	False
12735	17-10-2025 2:52:54	16.66	3.32	0.16	93.0	84.0	96.0	16.98758	78.72976	6.71333	91.0	16.66	False	3.32	False	0.16	False
12736	17-10-2025 2:52:54	17.65	2.3	1.36	87.0	95.0	94.0	17.79923	82.57553	7.10333	92.0	17.65	False	2.3	False	1.36	False
12737	17-10-2025 2:52:54	16.28	2.59	1.57	94.0	91.0	98.0	16.48474	80.96052	6.81333	94.33333	16.28	False	2.59	False	1.57	False
12738	17-10-2025 2:52:54	16.94	1.77	1.82	94.0	89.0	98.0	17.03222	84.03501	6.84333	93.66667	16.94	False	1.77	False	1.82	False
12739	17-10-2025 2:52:54	17.85	-0.17	2.31	92.0	94.0	98.0	17.85081	90.54566	6.66333	94.66667	17.85	False	-0.16999999999999993	False	2.31	False
12740	17-10-2025 2:52:54	16.97	-0.77	2.27	94.0	95.0	95.0	16.98746	92.59797	6.15667	94.66667	16.97	False	-0.77	False	2.27	False
12741	17-10-2025 2:52:55	18.36	-0.79	1.63	92.0	95.0	95.0	18.37699	92.46382	6.4	94.0	18.36	False	-0.79	False	1.63	False
