Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)	V1/X/E(cm/s)_clean	V1/X/E(cm/s)_is_spike	V2/Y/N(cm/s)_clean	V2/Y/N(cm/s)_is_spike	V3/Z/U(cm/s)_clean	V3/Z/U(cm/s)_is_spike
277	17-10-2025 19:14:24	24.92	-0.73	5.23	81.0	69.0	87.0	24.93069	91.67793	9.80667	79.0	24.92	False	-0.73	False	5.23	False
278	17-10-2025 19:14:24	24.18	-2.4	4.86	83.0	53.0	95.0	24.29881	95.66836	8.88	77.0	24.18	False	-2.4	False	4.86	False
279	17-10-2025 19:14:24	24.28	-2.59	5.33	76.0	78.0	92.0	24.41775	96.08884	9.00667	82.0	24.28	False	-2.59	False	5.33	False
280	17-10-2025 19:14:24	23.11	-6.14	3.8	85.0	64.0	91.0	23.91175	104.87894	6.92333	80.0	23.11	False	-6.14	False	3.8	False
281	17-10-2025 19:14:24	22.14	-4.19	1.52	92.0	61.0	91.0	22.53299	100.7165	6.49	81.33333	22.14	False	-4.19	False	1.52	False
282	17-10-2025 19:14:24	19.82	1.79	0.48	88.0	77.0	93.0	19.90067	84.83946	7.36333	86.0	19.82	False	1.79	False	0.48	False
283	17-10-2025 19:14:24	19.84	2.93	-0.06	89.0	72.0	88.0	20.05519	81.5992	7.57	83.0	19.84	False	2.93	False	-0.06	False
284	17-10-2025 19:14:24	21.06	-0.37	1.15	92.0	63.0	91.0	21.06325	91.00652	7.28	82.0	21.06	False	-0.37	False	1.15	False
285	17-10-2025 19:14:24	20.5	-0.59	1.06	88.0	79.0	95.0	20.50849	91.64855	6.99	87.33333	20.5	False	-0.59	False	1.06	False
286	17-10-2025 19:14:24	19.83	1.98	2.94	88.0	80.0	92.0	19.92861	84.29799	8.25	86.66667	19.83	False	1.98	False	2.94	False
287	17-10-2025 19:14:24	20.58	-0.18	3.44	95.0	69.0	93.0	20.58079	90.50112	7.94667	85.66667	20.58	False	-0.18	False	3.44	False
288	17-10-2025 19:14:24	18.93	-0.48	4.22	85.0	78.0	97.0	18.93608	91.45251	7.55667	86.66667	18.93	False	-0.48	False	4.22	False
289	17-10-2025 19:14:24	20.16	-0.47	3.86	91.0	71.0	96.0	20.16548	91.33552	7.85	86.0	20.16	False	-0.47	False	3.86	False
290	17-10-2025 19:14:24	20.69	-0.04	3.08	80.0	58.0	97.0	20.69004	90.11077	7.91	78.33333	20.69	False	-0.04	False	3.08	False
291	17-10-2025 19:14:24	18.81	1.5	3.46	92.0	69.0	97.0	18.86971	85.44061	7.92333	86.0	18.81	False	1.5	False	3.46	False
292	17-10-2025 19:14:24	18.75	2.45	3.06	87.0	60.0	96.0	18.90939	82.55553	8.08667	81.0	18.75	False	2.45	False	3.06	False
293	17-10-2025 19:14:24	19.03	1.83	3.19	86.0	58.0	87.0	19.11779	84.5071	8.01667	77.0	19.03	False	1.83	False	3.19	False
294	17-10-2025 19:14:24	18.82	1.69	5.66	88.0	82.0	87.0	18.89573	84.86871	8.72333	85.66667	18.82	False	1.69	False	5.66	False
295	17-10-2025 19:14:24	18.29	1.97	5.54	85.0	69.0	96.0	18.39579	83.85242	8.6	83.33333	18.29	False	1.97	False	5.54	False
296	17-10-2025 19:14:24	17.14	3.91	4.39	89.0	77.0	98.0	17.58032	77.14951	8.48	88.0	17.14	False	3.91	False	4.39	False
297	17-10-2025 19:14:24	19.57	2.43	3.39	91.0	81.0	98.0	19.72029	82.92183	8.46333	90.0	19.57	False	2.43	False	3.39	False
298	17-10-2025 19:14:24	19.64	2.58	2.7	91.0	71.0	96.0	19.80874	82.51622	8.30667	86.0	19.64	False	2.58	False	2.7	False
299	17-10-2025 19:14:24	18.05	6.44	2.49	89.0	77.0	96.0	19.16445	70.36428	8.99333	87.33333	18.05	False	6.44	False	2.49	False
300	17-10-2025 19:14:25	17.72	7.34	2.35	89.0	63.0	94.0	19.18004	67.49963	9.13667	82.0	17.72	False	7.34	False	2.35	False
301	17-10-2025 19:14:25	18.59	5.35	3.29	57.0	71.0	85.0	19.34452	73.94476	9.07667	71.0	18.59	False	5.35	False	3.29	False
302	17-10-2025 19:14:25	23.59	-5.0	4.21	80.0	75.0	90.0	24.11406	101.96698	7.6	81.66667	23.59	False	-5.0	False	4.21	False
303	17-10-2025 19:14:25	22.08	-3.39	2.96	87.0	80.0	94.0	22.33872	98.72861	7.21667	87.0	22.08	False	-3.39	False	2.96	False
304	17-10-2025 19:14:25	21.59	-2.02	1.77	90.0	83.0	91.0	21.68429	95.34514	7.11333	88.0	21.59	False	-2.02	False	1.77	False
305	17-10-2025 19:14:25	22.04	-0.77	1.0	88.0	71.0	96.0	22.05345	92.0009	7.42333	85.0	22.04	False	-0.77	False	1.0	False
306	17-10-2025 19:14:25	22.51	0.51	1.24	92.0	77.0	92.0	22.51578	88.70209	8.08667	87.0	22.51	False	0.51	False	1.24	False
307	17-10-2025 19:14:25	22.25	4.53	2.1	89.0	68.0	97.0	22.70646	78.49212	9.62667	84.66667	22.25	False	4.53	False	2.1	False
308	17-10-2025 19:14:25	23.12	2.53	3.19	90.0	66.0	83.0	23.25802	83.75502	9.61333	79.66667	23.12	False	2.53	False	3.19	False
309	17-10-2025 19:14:25	21.01	2.5	3.78	89.0	67.0	90.0	21.15822	83.21423	9.09667	82.0	21.01	False	2.5	False	3.78	False
310	17-10-2025 19:14:25	19.58	8.62	2.88	90.0	70.0	91.0	21.39348	66.23874	10.36	83.66667	19.58	False	8.62	False	2.88	False
311	17-10-2025 19:14:25	18.72	4.56	2.53	90.0	66.0	92.0	19.26738	76.30995	8.60333	82.66667	18.72	False	4.56	False	2.53	False
