Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)	V1/X/E(cm/s)_clean	V1/X/E(cm/s)_is_spike	V2/Y/N(cm/s)_clean	V2/Y/N(cm/s)_is_spike	V3/Z/U(cm/s)_clean	V3/Z/U(cm/s)_is_spike
14228	17-10-2025 2:54:10	18.85	2.75	1.5	90.0	91.0	96.0	19.04954	81.69975	7.7	92.33333	18.85	False	2.75	False	1.5	False
14229	17-10-2025 2:54:10	17.98	2.85	0.76	96.0	88.0	97.0	18.20448	80.99301	7.19667	93.66667	17.98	False	2.85	False	0.76	False
14230	17-10-2025 2:54:10	16.14	3.82	0.21	94.0	83.0	94.0	16.5859	76.68432	6.72333	90.33333	16.14	False	3.82	False	0.21	False
14231	17-10-2025 2:54:10	17.0	3.51	0.75	93.0	86.0	94.0	17.35857	78.33404	7.08667	91.0	17.0	False	3.51	False	0.75	False
14232	17-10-2025 2:54:10	18.5	2.69	0.96	93.0	88.0	97.0	18.69455	81.72686	7.38333	92.66667	18.5	False	2.69	False	0.96	False
14233	17-10-2025 2:54:10	18.38	2.56	1.11	96.0	93.0	98.0	18.55742	82.07075	7.35	95.66667	18.38	False	2.56	False	1.11	False
14234	17-10-2025 2:54:10	18.98	1.52	0.65	95.0	89.0	97.0	19.04077	85.42128	7.05	93.66667	18.98	False	1.52	False	0.65	False
14235	17-10-2025 2:54:10	18.31	1.55	1.01	87.0	90.0	97.0	18.37549	85.16127	6.95667	91.33333	18.31	False	1.55	False	1.01	False
14236	17-10-2025 2:54:10	18.36	3.73	0.78	94.0	87.0	98.0	18.73506	78.51613	7.62333	93.0	18.36	False	3.73	False	0.78	False
14237	17-10-2025 2:54:10	18.69	1.49	0.46	96.0	77.0	98.0	18.7493	85.44192	6.88	90.33333	18.69	False	1.49	False	0.46	False
14238	17-10-2025 2:54:10	18.3	3.38	1.3	95.0	88.0	95.0	18.60952	79.53543	7.66	92.66667	18.3	False	3.38	False	1.3	False
14239	17-10-2025 2:54:10	17.98	0.97	2.23	88.0	89.0	88.0	18.00615	86.91195	7.06	88.33333	17.98	False	0.97	False	2.23	False
14240	17-10-2025 2:54:10	16.63	-0.55	1.21	88.0	90.0	79.0	16.63909	91.89424	5.76333	85.66667	16.63	False	-0.55	False	1.21	False
14241	17-10-2025 2:54:10	18.58	-0.29	0.12	93.0	94.0	98.0	18.58226	90.89421	6.13667	95.0	18.58	False	-0.29	False	0.12	False
14242	17-10-2025 2:54:10	18.75	-0.04	-0.45	94.0	90.0	96.0	18.75004	90.12223	6.08667	93.33333	18.75	False	-0.04	False	-0.45	False
14243	17-10-2025 2:54:10	17.34	2.49	-0.48	93.0	83.0	95.0	17.51787	81.82827	6.45	90.33333	17.34	False	2.49	False	-0.48	False
14244	17-10-2025 2:54:10	17.74	1.01	-0.02	90.0	85.0	96.0	17.76873	86.74147	6.24333	90.33333	17.74	False	1.01	False	-0.02	False
14245	17-10-2025 2:54:10	20.22	0.09	0.64	85.0	89.0	95.0	20.2202	89.74498	6.98333	89.66667	20.22	False	0.09	False	0.64	False
14246	17-10-2025 2:54:10	19.84	-1.19	0.61	82.0	91.0	93.0	19.87566	93.43248	6.42	88.66667	19.84	False	-1.19	False	0.61	False
