Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)	V1/X/E(cm/s)_clean	V1/X/E(cm/s)_is_spike	V2/Y/N(cm/s)_clean	V2/Y/N(cm/s)_is_spike	V3/Z/U(cm/s)_clean	V3/Z/U(cm/s)_is_spike
1087	18-10-2025 21:25:53	19.18	10.17	0.75	93.0	86.0	93.0	21.70947	62.06568	10.03333	90.66667	19.18	False	10.17	False	0.75	False
1088	18-10-2025 21:25:53	21.05	4.69	0.79	86.0	82.0	87.0	21.56614	77.43949	8.84333	85.0	21.05	False	4.69	False	0.79	False
1089	18-10-2025 21:25:53	19.17	10.23	1.4	90.0	84.0	88.0	21.72882	61.91355	10.26667	87.33333	19.17	False	10.23	False	1.4	False
1090	18-10-2025 21:25:53	19.66	8.55	0.84	91.0	89.0	88.0	21.43871	66.49611	9.68333	89.33333	19.66	False	8.55	False	0.84	False
1091	18-10-2025 21:25:53	21.26	6.05	0.36	89.0	93.0	93.0	22.10407	74.11513	9.22333	91.66667	21.26	False	6.05	False	0.36	False
1092	18-10-2025 21:25:53	19.81	7.13	0.82	91.0	92.0	93.0	21.05405	70.20522	9.25333	92.0	19.81	False	7.13	False	0.82	False
1093	18-10-2025 21:25:53	18.55	7.96	0.82	87.0	82.0	92.0	20.18574	66.77532	9.11	87.0	18.55	False	7.96	False	0.82	False
1094	18-10-2025 21:25:53	19.7	5.73	1.02	90.0	89.0	94.0	20.51641	73.78224	8.81667	91.0	19.7	False	5.73	False	1.02	False
1095	18-10-2025 21:25:53	17.55	9.4	0.75	92.0	89.0	93.0	19.90886	61.82594	9.23333	91.33333	17.55	False	9.4	False	0.75	False
1096	18-10-2025 21:25:53	19.4	4.07	1.47	85.0	82.0	91.0	19.82233	78.15154	8.31333	86.0	19.4	False	4.07	False	1.47	False
