Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)	V1/X/E(cm/s)_clean	V1/X/E(cm/s)_is_spike	V2/Y/N(cm/s)_clean	V2/Y/N(cm/s)_is_spike	V3/Z/U(cm/s)_clean	V3/Z/U(cm/s)_is_spike
3111	18-10-2025 2:33:37	2.12	-0.92	-0.24	56.0	64.0	79.0	2.31102	113.45903	0.32	66.33333	2.12	False	-0.92	False	-0.24	False
3112	18-10-2025 2:33:37	1.67	-0.57	0.45	61.0	66.0	67.0	1.7646	108.84566	0.51667	64.66667	1.67	False	-0.57	False	0.45	False
3113	18-10-2025 2:33:37	0.38	-3.08	0.02	76.0	53.0	57.0	3.10335	172.96658	-0.89333	62.0	0.38	False	-3.08	False	0.01999999999999999	False
3114	18-10-2025 2:33:37	0.97	-3.16	-0.03	73.0	62.0	58.0	3.30553	162.9355	-0.74	64.33333	0.97	False	-3.16	False	-0.030000000000000027	False
3115	18-10-2025 2:33:37	2.23	3.23	0.29	62.0	57.0	58.0	3.92502	34.62129	1.91667	59.0	2.23	False	3.2300000000000004	False	0.29	False
3116	18-10-2025 2:33:37	5.03	-1.94	0.52	69.0	66.0	82.0	5.39115	111.09092	1.20333	72.33333	5.03	False	-1.94	False	0.52	False
3117	18-10-2025 2:33:37	1.7	-0.26	0.55	68.0	74.0	78.0	1.71977	98.6955	0.66333	73.33333	1.7	False	-0.26	False	0.55	False
3118	18-10-2025 2:33:37	2.66	0.66	0.62	65.0	70.0	62.0	2.74066	76.06516	1.31333	65.66667	2.66	False	0.6600000000000001	False	0.62	False
3119	18-10-2025 2:33:37	5.59	-2.25	0.52	54.0	69.0	82.0	6.02583	111.92501	1.28667	68.33333	5.59	False	-2.25	False	0.52	False
3120	18-10-2025 2:33:37	2.13	0.86	0.88	58.0	53.0	65.0	2.29706	68.01332	1.29	58.66667	2.13	False	0.8599999999999999	False	0.88	False
3121	18-10-2025 2:33:37	1.41	-1.67	0.13	61.0	73.0	76.0	2.18563	139.82522	-0.04333	70.0	1.41	False	-1.67	False	0.13	False
3122	18-10-2025 2:33:37	4.73	2.4	0.64	67.0	65.0	75.0	5.30405	63.09678	2.59	69.0	4.73	False	2.4	False	0.64	False
3123	18-10-2025 2:33:37	3.18	-1.05	0.5	66.0	57.0	67.0	3.34887	108.27264	0.87667	63.33333	3.18	False	-1.05	False	0.5	False
3124	18-10-2025 2:33:37	1.36	1.71	0.63	52.0	62.0	59.0	2.18488	38.49599	1.23333	57.66667	1.36	False	1.71	False	0.63	False
3125	18-10-2025 2:33:37	0.32	-1.25	0.3	68.0	71.0	73.0	1.29031	165.64066	-0.21	70.66667	0.32000000000000006	False	-1.25	False	0.3	False
3126	18-10-2025 2:33:37	1.85	-3.45	-0.26	77.0	69.0	77.0	3.91472	151.79837	-0.62	74.33333	1.85	False	-3.45	False	-0.26	False
3127	18-10-2025 2:33:37	3.44	-2.7	0.3	65.0	66.0	69.0	4.37305	128.12779	0.34667	66.66667	3.44	False	-2.7	False	0.3	False
3128	18-10-2025 2:33:37	3.7	-2.12	0.16	73.0	71.0	63.0	4.26432	119.81154	0.58	69.0	3.7	False	-2.12	False	0.16	False
3129	18-10-2025 2:33:37	2.22	-1.96	1.66	65.0	62.0	69.0	2.96142	131.44073	0.64	65.33333	2.22	False	-1.96	False	0.5317926932880189	True
3130	18-10-2025 2:33:37	2.32	-4.67	1.29	55.0	74.0	56.0	5.21453	153.58237	-0.35333	61.66667	2.32	False	-4.67	False	1.29	False
3131	18-10-2025 2:33:37	3.06	-1.7	0.74	62.0	69.0	42.0	3.50051	119.05461	0.7	57.66667	3.06	False	-1.7	False	0.74	False
3132	18-10-2025 2:33:37	-2.0	2.31	0.85	56.0	73.0	75.0	3.0555	319.11396	0.38667	68.0	-2.0	False	2.31	False	0.85	False
3133	18-10-2025 2:33:37	5.61	2.31	0.73	62.0	52.0	55.0	6.06698	67.61986	2.88333	56.33333	5.609999999999999	False	2.31	False	0.73	False
3134	18-10-2025 2:33:37	4.15	-1.66	0.59	74.0	70.0	80.0	4.46969	111.80141	1.02667	74.66667	4.15	False	-1.66	False	0.59	False
3135	18-10-2025 2:33:37	4.56	-3.64	0.8	60.0	69.0	73.0	5.83466	128.59846	0.57333	67.33333	4.56	False	-3.64	False	0.8	False
3136	18-10-2025 2:33:37	1.3	-0.91	0.02	66.0	54.0	70.0	1.58685	124.99202	0.13667	63.33333	1.3	False	-0.91	False	0.01999999999999999	False
3137	18-10-2025 2:33:37	3.49	-1.57	0.32	65.0	71.0	77.0	3.82688	114.22092	0.74667	71.0	3.49	False	-1.57	False	0.32	False
3138	18-10-2025 2:33:37	5.3	-2.22	0.26	64.0	56.0	69.0	5.74616	112.72725	1.11333	63.0	5.299999999999999	False	-2.22	False	0.26	False
3139	18-10-2025 2:33:37	8.64	0.34	0.08	43.0	54.0	48.0	8.64669	87.74647	3.02	48.33333	3.317023363687549	True	0.3400000000000001	False	0.08000000000000002	False
3140	18-10-2025 2:33:37	4.59	-2.06	0.47	60.0	49.0	82.0	5.03107	114.17063	1.0	63.66667	4.59	False	-2.06	False	0.47	False
3141	18-10-2025 2:33:38	7.1	2.22	0.17	66.0	86.0	30.0	7.43898	72.63679	3.16333	60.66667	3.1543985074118805	True	2.22	False	0.17	False
3142	18-10-2025 2:33:38	5.07	-3.35	0.25	42.0	72.0	44.0	6.07679	123.45471	0.65667	52.66667	5.07	False	-3.35	False	0.25	False
3143	18-10-2025 2:33:38	4.26	-2.7	1.32	49.0	56.0	58.0	5.04357	122.36664	0.96	54.33333	4.26	False	-2.7	False	1.3199999999999998	False
3144	18-10-2025 2:33:38	2.17	-3.48	0.46	65.0	71.0	68.0	4.10113	148.05385	-0.28333	68.0	2.17	False	-3.48	False	0.46	False
3145	18-10-2025 2:33:38	-0.61	-2.92	-0.01	69.0	52.0	64.0	2.98304	191.79963	-1.18	61.66667	-0.6099999999999999	False	-2.92	False	-0.010000000000000009	False
