Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)	V1/X/E(cm/s)_clean	V1/X/E(cm/s)_is_spike	V2/Y/N(cm/s)_clean	V2/Y/N(cm/s)_is_spike	V3/Z/U(cm/s)_clean	V3/Z/U(cm/s)_is_spike
445	17-10-2025 23:36:36	2.57	1.92	0.25	18.0	81.0	58.0	3.20801	53.23726	1.58	52.33333	2.5699999999999994	False	1.92	False	0.25	False
446	17-10-2025 23:36:36	7.63	1.16	1.03	26.0	87.0	83.0	7.71767	81.35544	3.27333	65.33333	7.63	False	1.1599999999999997	False	1.03	False
447	17-10-2025 23:36:36	3.94	2.89	0.17	50.0	93.0	71.0	4.88628	53.73986	2.33333	71.33333	3.94	False	2.89	False	0.17	False
448	17-10-2025 23:36:36	5.68	2.12	-0.02	54.0	91.0	75.0	6.06274	69.53244	2.59333	73.33333	5.68	False	2.12	False	-0.020000000000000018	False
449	17-10-2025 23:36:36	6.86	2.4	0.49	49.0	88.0	80.0	7.26771	70.71739	3.25	72.33333	6.86	False	2.4	False	0.49	False
450	17-10-2025 23:36:36	3.83	2.78	0.59	45.0	75.0	76.0	4.73258	54.02603	2.4	65.33333	3.83	False	2.78	False	0.59	False
451	17-10-2025 23:36:36	3.58	2.18	-0.19	44.0	87.0	81.0	4.19152	58.66115	1.85667	70.66667	3.58	False	2.18	False	-0.19000000000000006	False
452	17-10-2025 23:36:36	8.39	2.38	0.38	61.0	87.0	81.0	8.72104	74.1629	3.71667	76.33333	8.39	False	2.38	False	0.38	False
453	17-10-2025 23:36:36	-0.58	2.45	-0.21	42.0	87.0	74.0	2.51772	346.6813	0.55333	67.66667	-0.5800000000000001	False	2.45	False	-0.20999999999999996	False
454	17-10-2025 23:36:36	2.22	2.72	0.1	38.0	90.0	76.0	3.51095	39.22051	1.68	68.0	2.2199999999999998	False	2.72	False	0.09999999999999998	False
455	17-10-2025 23:36:36	4.05	1.92	0.19	53.0	90.0	80.0	4.48206	64.63558	2.05333	74.33333	4.05	False	1.92	False	0.19	False
456	17-10-2025 23:36:36	5.38	2.61	0.44	31.0	81.0	63.0	5.97967	64.12058	2.81	58.33333	5.38	False	2.61	False	0.44	False
457	17-10-2025 23:36:36	7.91	2.65	0.89	33.0	84.0	76.0	8.3421	71.47817	3.81667	64.33333	7.91	False	2.65	False	0.89	False
458	17-10-2025 23:36:36	0.21	1.94	-0.34	16.0	84.0	76.0	1.95133	6.17806	0.60333	58.66667	0.20999999999999996	False	1.94	False	-0.33999999999999997	False
459	17-10-2025 23:36:36	2.78	4.23	0.13	26.0	84.0	75.0	5.06175	33.31333	2.38	61.66667	2.78	False	4.23	False	0.13	False
460	17-10-2025 23:36:36	5.38	3.64	0.05	57.0	87.0	73.0	6.49569	55.91851	3.02333	72.33333	5.38	False	3.64	False	0.04999999999999999	False
461	17-10-2025 23:36:37	0.35	1.36	0.18	66.0	89.0	66.0	1.40431	14.43206	0.63	73.66667	0.34999999999999964	False	1.36	False	0.18	False
