Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)	V1/X/E(cm/s)_clean	V1/X/E(cm/s)_is_spike	V2/Y/N(cm/s)_clean	V2/Y/N(cm/s)_is_spike	V3/Z/U(cm/s)_clean	V3/Z/U(cm/s)_is_spike
79	17-10-2025 18:53:57	22.65	1.49	-1.94	96.0	91.0	92.0	22.69896	86.2363	7.4	93.0	22.65	False	1.49	False	-1.94	False
80	17-10-2025 18:53:57	20.57	0.23	-2.22	89.0	87.0	88.0	20.57129	89.35938	6.19333	88.0	20.57	False	0.23	False	-2.22	False
81	17-10-2025 18:53:57	20.23	0.69	-1.65	96.0	82.0	94.0	20.24176	88.04653	6.42333	90.66667	20.23	False	0.69	False	-1.65	False
82	17-10-2025 18:53:57	20.68	1.18	-2.14	95.0	71.0	94.0	20.71364	86.73425	6.57333	86.66667	20.68	False	1.18	False	-2.14	False
83	17-10-2025 18:53:57	19.44	-0.13	-2.02	94.0	83.0	89.0	19.44043	90.38315	5.76333	88.66667	19.44	False	-0.13	False	-2.02	False
84	17-10-2025 18:53:57	19.23	0.14	-2.61	88.0	66.0	89.0	19.23051	89.58288	5.58667	81.0	19.23	False	0.14	False	-2.61	False
85	17-10-2025 18:53:57	17.83	4.48	-3.12	97.0	74.0	92.0	18.38421	75.89573	6.39667	87.66667	17.83	False	4.48	False	-3.12	False
86	17-10-2025 18:53:57	14.17	6.06	-1.5	95.0	58.0	87.0	15.41144	66.84534	6.24333	80.0	14.17	False	6.06	False	-1.5	False
87	17-10-2025 18:53:57	8.95	12.57	-0.94	79.0	33.0	85.0	15.43073	35.45135	6.86	65.66667	8.95	False	12.57	False	-0.94	False
88	17-10-2025 18:53:57	18.43	4.56	-1.14	89.0	39.0	81.0	18.98575	76.10282	7.28333	69.66667	18.43	False	4.56	False	-1.14	False
89	17-10-2025 18:53:57	17.52	8.62	-0.2	89.0	74.0	90.0	19.52575	63.80239	8.64667	84.33333	17.52	False	8.62	False	-0.2	False
90	17-10-2025 18:53:57	20.35	2.73	2.33	80.0	93.0	94.0	20.5323	82.35926	8.47	89.0	20.35	False	2.73	False	2.33	False
91	17-10-2025 18:53:57	20.08	0.12	0.57	90.0	77.0	78.0	20.08036	89.6576	6.92333	81.66667	20.08	False	0.12	False	0.57	False
92	17-10-2025 18:53:57	19.08	-6.27	0.92	78.0	82.0	89.0	20.08381	108.19137	4.57667	83.0	19.08	False	-6.27	False	0.92	False
93	17-10-2025 18:53:57	21.78	-5.26	0.56	90.0	89.0	94.0	22.40616	103.57729	5.69333	91.0	21.78	False	-5.26	False	0.56	False
94	17-10-2025 18:53:57	20.69	-0.91	-0.43	90.0	85.0	92.0	20.71	92.51839	6.45	89.0	20.69	False	-0.91	False	-0.43	False
95	17-10-2025 18:53:57	20.96	-0.78	-0.71	89.0	75.0	93.0	20.97451	92.13121	6.49	85.66667	20.96	False	-0.78	False	-0.71	False
96	17-10-2025 18:53:57	19.73	-0.21	-0.5	91.0	75.0	95.0	19.73112	90.60982	6.34	87.0	19.73	False	-0.21	False	-0.5	False
97	17-10-2025 18:53:57	19.75	-0.44	-1.62	93.0	86.0	94.0	19.7549	91.27625	5.89667	91.0	19.75	False	-0.44	False	-1.62	False
98	17-10-2025 18:53:57	19.96	0.59	-0.74	91.0	76.0	93.0	19.96872	88.30688	6.60333	86.66667	19.96	False	0.59	False	-0.74	False
99	17-10-2025 18:53:57	21.35	0.3	0.14	86.0	87.0	88.0	21.35211	89.19496	7.26333	87.0	21.35	False	0.3	False	0.14	False
100	17-10-2025 18:53:58	20.81	-1.1	0.59	92.0	87.0	96.0	20.83905	93.02579	6.76667	91.66667	20.81	False	-1.1	False	0.59	False
101	17-10-2025 18:53:58	20.38	-2.27	-0.04	90.0	83.0	92.0	20.50603	96.35562	6.02333	88.33333	20.38	False	-2.27	False	-0.04	False
102	17-10-2025 18:53:58	19.97	3.06	-0.53	94.0	79.0	84.0	20.20308	81.28834	7.5	85.66667	19.97	False	3.06	False	-0.53	False
103	17-10-2025 18:53:58	21.06	2.92	-0.74	92.0	84.0	96.0	21.26147	82.10618	7.74667	90.66667	21.06	False	2.92	False	-0.74	False
104	17-10-2025 18:53:58	20.95	1.02	-1.15	94.0	91.0	92.0	20.97482	87.21262	6.94	92.33333	20.95	False	1.02	False	-1.15	False
