Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)	V1/X/E(cm/s)_clean	V1/X/E(cm/s)_is_spike	V2/Y/N(cm/s)_clean	V2/Y/N(cm/s)_is_spike	V3/Z/U(cm/s)_clean	V3/Z/U(cm/s)_is_spike
319	17-10-2025 23:14:22	21.06	3.42	2.18	88.0	90.0	98.0	21.33589	80.77608	8.88667	92.0	21.06	False	3.42	False	2.18	False
320	17-10-2025 23:14:22	19.91	3.91	1.98	93.0	93.0	97.0	20.2903	78.88943	8.6	94.33333	19.91	False	3.91	False	1.98	False
321	17-10-2025 23:14:22	20.93	3.91	2.13	91.0	94.0	90.0	21.29209	79.41836	8.99	91.66667	20.93	False	3.91	False	2.13	False
322	17-10-2025 23:14:22	21.13	1.92	2.36	92.0	90.0	95.0	21.21705	84.80802	8.47	92.33333	21.13	False	1.92	False	2.36	False
323	17-10-2025 23:14:22	22.07	1.94	3.23	89.0	93.0	97.0	22.1551	84.97649	9.08	93.0	22.07	False	1.94	False	3.23	False
324	17-10-2025 23:14:22	22.94	-0.94	2.43	88.0	90.0	96.0	22.95925	92.34647	8.14333	91.33333	22.94	False	-0.94	False	2.43	False
325	17-10-2025 23:14:22	20.67	-0.34	1.88	87.0	88.0	94.0	20.6728	90.94237	7.40333	89.66667	20.67	False	-0.34	False	1.88	False
326	17-10-2025 23:14:22	19.65	2.84	1.04	91.0	94.0	97.0	19.85417	81.77603	7.84333	94.0	19.65	False	2.84	False	1.04	False
327	17-10-2025 23:14:22	21.28	3.91	0.63	90.0	94.0	92.0	21.63623	79.58857	8.60667	92.0	21.28	False	3.91	False	0.63	False
328	17-10-2025 23:14:22	19.71	1.72	0.23	90.0	79.0	94.0	19.78491	85.0127	7.22	87.66667	19.71	False	1.72	False	0.23	False
329	17-10-2025 23:14:22	20.88	2.76	-0.41	93.0	87.0	96.0	21.06162	82.47007	7.74333	92.0	20.88	False	2.76	False	-0.41	False
330	17-10-2025 23:14:22	20.91	2.28	0.23	95.0	89.0	92.0	21.03394	83.77712	7.80667	92.0	20.91	False	2.28	False	0.23	False
331	17-10-2025 23:14:22	19.07	4.1	0.37	93.0	87.0	97.0	19.50577	77.86626	7.84667	92.33333	19.07	False	4.1	False	0.37	False
332	17-10-2025 23:14:22	19.34	2.63	0.3	93.0	87.0	96.0	19.518	82.25599	7.42333	92.0	19.34	False	2.63	False	0.3	False
333	17-10-2025 23:14:22	16.75	4.6	0.4	95.0	91.0	97.0	17.37016	74.64363	7.25	94.33333	16.75	False	4.6	False	0.4	False
334	17-10-2025 23:14:22	17.55	4.29	0.79	88.0	87.0	95.0	18.06673	76.26373	7.54333	90.0	17.55	False	4.29	False	0.79	False
335	17-10-2025 23:14:22	17.43	4.52	1.42	94.0	84.0	99.0	18.00653	75.46212	7.79	92.33333	17.43	False	4.52	False	1.42	False
336	17-10-2025 23:14:22	17.28	5.99	1.84	93.0	91.0	94.0	18.28875	70.88146	8.37	92.66667	17.28	False	5.99	False	1.84	False
337	17-10-2025 23:14:22	18.01	5.25	1.09	90.0	91.0	96.0	18.7596	73.74835	8.11667	92.33333	18.01	False	5.25	False	1.09	False
338	17-10-2025 23:14:22	17.84	4.87	1.08	92.0	92.0	92.0	18.49277	74.73129	7.93	92.0	17.84	False	4.87	False	1.08	False
339	17-10-2025 23:14:22	17.35	3.93	1.34	91.0	82.0	94.0	17.78953	77.23713	7.54	89.0	17.35	False	3.93	False	1.34	False
340	17-10-2025 23:14:22	17.22	4.13	1.02	92.0	83.0	96.0	17.70834	76.51308	7.45667	90.33333	17.22	False	4.13	False	1.02	False
341	17-10-2025 23:14:23	16.4	5.24	2.24	84.0	85.0	82.0	17.21678	72.28069	7.96	83.66667	16.4	False	5.24	False	2.24	False
342	17-10-2025 23:14:23	18.63	2.95	2.06	88.0	80.0	94.0	18.86211	81.00211	7.88	87.33333	18.63	False	2.95	False	2.06	False
343	17-10-2025 23:14:23	16.57	4.92	2.65	87.0	83.0	96.0	17.285	73.46268	8.04667	88.66667	16.57	False	4.92	False	2.65	False
344	17-10-2025 23:14:23	16.1	3.74	2.53	92.0	90.0	93.0	16.52869	76.92224	7.45667	91.66667	16.1	False	3.74	False	2.53	False
345	17-10-2025 23:14:23	15.71	3.09	2.52	93.0	87.0	93.0	16.011	78.87254	7.10667	91.0	15.71	False	3.09	False	2.52	False
346	17-10-2025 23:14:23	17.17	3.43	2.26	94.0	92.0	98.0	17.50925	78.7029	7.62	94.66667	17.17	False	3.43	False	2.26	False
347	17-10-2025 23:14:23	17.74	4.19	2.49	89.0	91.0	94.0	18.2281	76.71088	8.14	91.33333	17.74	False	4.19	False	2.49	False
348	17-10-2025 23:14:23	18.61	1.86	1.65	93.0	90.0	98.0	18.70272	84.29246	7.37333	93.66667	18.61	False	1.86	False	1.65	False
349	17-10-2025 23:14:23	18.02	3.24	1.27	95.0	90.0	94.0	18.30896	79.80711	7.51	93.0	18.02	False	3.24	False	1.27	False
350	17-10-2025 23:14:23	18.01	5.48	0.77	97.0	75.0	95.0	18.82526	73.07628	8.08667	89.0	18.01	False	5.48	False	0.77	False
351	17-10-2025 23:14:23	17.58	4.75	0.82	96.0	87.0	95.0	18.21041	74.8801	7.71667	92.66667	17.58	False	4.75	False	0.82	False
352	17-10-2025 23:14:23	17.87	5.48	0.5	94.0	92.0	94.0	18.69137	72.95136	7.95	93.33333	17.87	False	5.48	False	0.5	False
353	17-10-2025 23:14:23	17.37	2.28	1.27	95.0	93.0	95.0	17.519	82.52206	6.97333	94.33333	17.37	False	2.28	False	1.27	False
354	17-10-2025 23:14:23	17.54	1.76	1.01	89.0	88.0	95.0	17.62808	84.27	6.77	90.66667	17.54	False	1.76	False	1.01	False
355	17-10-2025 23:14:23	16.51	3.32	0.72	95.0	86.0	96.0	16.8405	78.63002	6.85	92.33333	16.51	False	3.32	False	0.72	False
356	17-10-2025 23:14:23	16.33	2.25	1.53	91.0	88.0	94.0	16.48428	82.155	6.70333	91.0	16.33	False	2.25	False	1.53	False
357	17-10-2025 23:14:23	18.59	3.2	1.29	89.0	93.0	85.0	18.86341	80.23307	7.69333	89.0	18.59	False	3.2	False	1.29	False
358	17-10-2025 23:14:23	18.49	7.15	0.01	96.0	91.0	93.0	19.82429	68.85874	8.55	93.33333	18.49	False	7.15	False	0.01	False
359	17-10-2025 23:14:23	21.15	4.63	-0.73	95.0	89.0	95.0	21.65085	77.65203	8.35	93.0	21.15	False	4.63	False	-0.73	False
360	17-10-2025 23:14:23	20.19	4.33	-0.49	87.0	74.0	89.0	20.64909	77.89555	8.01	83.33333	20.19	False	4.33	False	-0.49	False
361	17-10-2025 23:14:23	19.56	6.63	0.95	93.0	81.0	96.0	20.6531	71.27555	9.04667	90.0	19.56	False	6.63	False	0.95	False
362	17-10-2025 23:14:23	21.39	4.96	1.46	94.0	91.0	97.0	21.95754	76.94475	9.27	94.0	21.39	False	4.96	False	1.46	False
363	17-10-2025 23:14:23	21.46	4.38	1.85	89.0	93.0	90.0	21.90242	78.46433	9.23	90.66667	21.46	False	4.38	False	1.85	False
364	17-10-2025 23:14:23	21.72	3.01	1.34	92.0	94.0	94.0	21.92757	82.11009	8.69	93.33333	21.72	False	3.01	False	1.34	False
365	17-10-2025 23:14:23	20.63	4.05	1.18	93.0	94.0	91.0	21.02378	78.89317	8.62	92.66667	20.63	False	4.05	False	1.18	False
366	17-10-2025 23:14:23	20.87	4.32	1.3	91.0	90.0	97.0	21.31242	78.30518	8.83	92.66667	20.87	False	4.32	False	1.3	False
367	17-10-2025 23:14:23	21.43	3.99	1.0	94.0	84.0	98.0	21.79828	79.453	8.80667	92.0	21.43	False	3.99	False	1.0	False
368	17-10-2025 23:14:23	21.37	3.54	-0.1	98.0	85.0	95.0	21.66122	80.59421	8.27	92.66667	21.37	False	3.54	False	-0.1	False
369	17-10-2025 23:14:23	19.39	3.91	-0.65	93.0	84.0	94.0	19.7803	78.59918	7.55	90.33333	19.39	False	3.91	False	-0.65	False
370	17-10-2025 23:14:23	19.85	0.79	-0.79	97.0	88.0	90.0	19.86571	87.72092	6.61667	91.66667	19.85	False	0.79	False	-0.79	False
371	17-10-2025 23:14:23	19.02	2.41	-0.88	94.0	88.0	93.0	19.17208	82.77861	6.85	91.66667	19.02	False	2.41	False	-0.88	False
372	17-10-2025 23:14:23	17.85	2.8	0.06	90.0	85.0	96.0	18.06827	81.08507	6.90333	90.33333	17.85	False	2.8	False	0.06	False
373	17-10-2025 23:14:23	18.98	3.11	1.63	88.0	90.0	89.0	19.23311	80.6944	7.90667	89.0	18.98	False	3.11	False	1.63	False
374	17-10-2025 23:14:23	20.33	3.21	3.07	83.0	92.0	94.0	20.58186	81.02737	8.87	89.66667	20.33	False	3.21	False	3.07	False
375	17-10-2025 23:14:23	19.09	4.34	3.33	89.0	91.0	98.0	19.57712	77.19184	8.92	92.66667	19.09	False	4.34	False	3.33	False
376	17-10-2025 23:14:23	21.22	2.45	2.64	87.0	94.0	96.0	21.36097	83.41396	8.77	92.33333	21.22	False	2.45	False	2.64	False
377	17-10-2025 23:14:23	21.21	4.48	1.48	91.0	94.0	99.0	21.67797	78.07323	9.05667	94.66667	21.21	False	4.48	False	1.48	False
378	17-10-2025 23:14:23	21.13	3.53	1.33	92.0	92.0	94.0	21.42283	80.51569	8.66333	92.66667	21.13	False	3.53	False	1.33	False
379	17-10-2025 23:14:23	20.35	4.72	1.2	93.0	91.0	92.0	20.89021	76.94165	8.75667	92.0	20.35	False	4.72	False	1.2	False
380	17-10-2025 23:14:23	19.31	5.73	1.16	93.0	88.0	97.0	20.14222	73.47241	8.73333	92.66667	19.31	False	5.73	False	1.16	False
381	17-10-2025 23:14:24	19.88	5.03	0.54	93.0	89.0	95.0	20.50647	75.80112	8.48333	92.33333	19.88	False	5.03	False	0.54	False
382	17-10-2025 23:14:24	20.1	5.33	0.06	93.0	87.0	97.0	20.79468	75.14845	8.49667	92.33333	20.1	False	5.33	False	0.06	False
383	17-10-2025 23:14:24	20.31	4.13	0.65	96.0	89.0	98.0	20.72566	78.50573	8.36333	94.33333	20.31	False	4.13	False	0.65	False
384	17-10-2025 23:14:24	20.77	3.47	0.32	95.0	78.0	95.0	21.05787	80.51531	8.18667	89.33333	20.77	False	3.47	False	0.32	False
385	17-10-2025 23:14:24	21.39	3.85	-0.65	89.0	82.0	95.0	21.73372	79.79655	8.19667	88.66667	21.39	False	3.85	False	-0.65	False
386	17-10-2025 23:14:24	21.11	4.46	-1.05	94.0	86.0	96.0	21.576	78.07031	8.17333	92.0	21.11	False	4.46	False	-1.05	False
387	17-10-2025 23:14:24	19.6	4.13	-0.52	90.0	90.0	91.0	20.0304	78.10103	7.73667	90.33333	19.6	False	4.13	False	-0.52	False
388	17-10-2025 23:14:24	19.87	2.38	0.56	94.0	89.0	94.0	20.01203	83.16973	7.60333	92.33333	19.87	False	2.38	False	0.56	False
389	17-10-2025 23:14:24	20.2	1.61	0.27	95.0	89.0	90.0	20.26406	85.44299	7.36	91.33333	20.2	False	1.61	False	0.27	False
390	17-10-2025 23:14:24	19.09	2.67	0.03	96.0	88.0	95.0	19.27581	82.03804	7.26333	93.0	19.09	False	2.67	False	0.03	False
391	17-10-2025 23:14:24	19.58	1.95	-0.61	92.0	78.0	94.0	19.67686	84.31259	6.97333	88.0	19.58	False	1.95	False	-0.61	False
392	17-10-2025 23:14:24	18.4	3.17	-0.23	87.0	85.0	94.0	18.67107	80.22489	7.11333	88.66667	18.4	False	3.17	False	-0.23	False
393	17-10-2025 23:14:24	17.47	3.86	-0.65	93.0	80.0	95.0	17.89135	77.54066	6.89333	89.33333	17.47	False	3.86	False	-0.65	False
394	17-10-2025 23:14:24	16.0	4.29	-0.93	94.0	75.0	95.0	16.56515	74.9906	6.45333	88.0	16.0	False	4.29	False	-0.93	False
395	17-10-2025 23:14:24	16.38	0.51	0.32	91.0	81.0	95.0	16.38794	88.21664	5.73667	89.0	16.38	False	0.51	False	0.32	False
396	17-10-2025 23:14:24	16.12	1.11	0.49	98.0	86.0	96.0	16.15817	86.06091	5.90667	93.33333	16.12	False	1.11	False	0.49	False
397	17-10-2025 23:14:24	16.48	1.85	0.46	95.0	86.0	94.0	16.58351	83.59495	6.26333	91.66667	16.48	False	1.85	False	0.46	False
398	17-10-2025 23:14:24	17.41	2.58	0.19	92.0	84.0	97.0	17.60013	81.57065	6.72667	91.0	17.41	False	2.58	False	0.19	False
399	17-10-2025 23:14:24	16.56	3.67	-0.38	96.0	94.0	95.0	16.9618	77.50417	6.61667	95.0	16.56	False	3.67	False	-0.38	False
400	17-10-2025 23:14:24	17.79	3.54	0.04	78.0	90.0	88.0	18.13879	78.74582	7.12333	85.33333	17.79	False	3.54	False	0.04	False
401	17-10-2025 23:14:24	17.06	0.75	0.69	92.0	91.0	96.0	17.07648	87.48276	6.16667	93.0	17.06	False	0.75	False	0.69	False
402	17-10-2025 23:14:24	17.61	0.31	0.63	93.0	86.0	95.0	17.61273	88.99149	6.18333	91.33333	17.61	False	0.31	False	0.63	False
403	17-10-2025 23:14:24	17.25	1.51	-0.08	94.0	90.0	92.0	17.31596	84.9973	6.22667	92.0	17.25	False	1.51	False	-0.08	False
404	17-10-2025 23:14:24	16.21	4.44	-0.45	92.0	85.0	96.0	16.80707	74.68209	6.73333	91.0	16.21	False	4.44	False	-0.45	False
405	17-10-2025 23:14:24	15.98	3.89	0.02	96.0	88.0	89.0	16.44666	76.31863	6.63	91.0	15.98	False	3.89	False	0.02	False
406	17-10-2025 23:14:24	17.14	0.2	0.58	94.0	96.0	93.0	17.14117	89.33147	5.97333	94.33333	17.14	False	0.2	False	0.58	False
407	17-10-2025 23:14:24	16.41	2.15	0.66	97.0	91.0	98.0	16.55025	82.53576	6.40667	95.33333	16.41	False	2.15	False	0.66	False
408	17-10-2025 23:14:24	16.39	1.75	0.48	95.0	92.0	97.0	16.48316	83.90548	6.20667	94.66667	16.39	False	1.75	False	0.48	False
409	17-10-2025 23:14:24	17.2	0.52	0.51	95.0	91.0	96.0	17.20786	88.26833	6.07667	94.0	17.2	False	0.52	False	0.51	False
410	17-10-2025 23:14:24	17.86	1.89	0.13	90.0	92.0	94.0	17.95972	83.95927	6.62667	92.0	17.86	False	1.89	False	0.13	False
411	17-10-2025 23:14:24	17.33	0.46	0.8	89.0	92.0	87.0	17.3361	88.47952	6.19667	89.33333	17.33	False	0.46	False	0.8	False
412	17-10-2025 23:14:24	18.2	0.03	0.55	95.0	89.0	96.0	18.20002	89.90556	6.26	93.33333	18.2	False	0.03	False	0.55	False
