Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)	V1/X/E(cm/s)_clean	V1/X/E(cm/s)_is_spike	V2/Y/N(cm/s)_clean	V2/Y/N(cm/s)_is_spike	V3/Z/U(cm/s)_clean	V3/Z/U(cm/s)_is_spike
444	18-10-2025 2:38:00	2.11	-1.17	0.42	72.0	78.0	88.0	2.41267	119.00847	0.45333	79.33333	2.11	False	-1.17	False	0.42	False
445	18-10-2025 2:38:00	2.65	0.74	0.45	81.0	82.0	81.0	2.75138	74.39786	1.28	81.33333	2.65	False	0.74	False	0.45	False
446	18-10-2025 2:38:00	1.49	0.1	0.01	78.0	78.0	89.0	1.49335	86.1604	0.53333	81.66667	1.49	False	0.1	False	0.01	False
447	18-10-2025 2:38:00	1.62	-0.85	-0.03	72.0	75.0	85.0	1.82945	117.68561	0.24667	77.33333	1.62	False	-0.85	False	-0.03	False
448	18-10-2025 2:38:00	1.96	-3.03	-0.18	75.0	72.0	91.0	3.60867	147.1026	-0.41667	79.33333	1.96	False	-3.03	False	-0.18	False
449	18-10-2025 2:38:00	3.91	-1.15	0.01	68.0	61.0	80.0	4.07561	106.38954	0.92333	69.66667	3.91	False	-1.15	False	0.01	False
450	18-10-2025 2:38:00	2.65	-0.64	0.61	68.0	85.0	92.0	2.72619	103.57748	0.87333	81.66667	2.65	False	-0.64	False	0.61	False
451	18-10-2025 2:38:00	5.8	-0.96	0.11	79.0	82.0	87.0	5.87891	99.39823	1.65	82.66667	5.8	False	-0.96	False	0.11	False
452	18-10-2025 2:38:00	0.78	-2.02	0.15	68.0	85.0	83.0	2.16536	158.8865	-0.36333	78.66667	0.78	False	-2.02	False	0.15	False
453	18-10-2025 2:38:00	1.16	-0.52	0.06	75.0	84.0	85.0	1.27122	114.14554	0.23333	81.33333	1.16	False	-0.52	False	0.06	False
454	18-10-2025 2:38:00	2.58	0.53	0.32	75.0	71.0	86.0	2.63388	78.39143	1.14333	77.33333	2.58	False	0.53	False	0.32	False
455	18-10-2025 2:38:00	0.69	1.84	-0.06	63.0	71.0	79.0	1.96512	20.55604	0.82333	71.0	0.69	False	1.84	False	-0.06	False
456	18-10-2025 2:38:00	0.72	-1.8	0.38	84.0	84.0	88.0	1.93866	158.19859	-0.23333	85.33333	0.72	False	-1.8	False	0.38	False
457	18-10-2025 2:38:00	-0.57	0.7	0.42	75.0	70.0	86.0	0.90272	320.84457	0.18333	77.0	-0.57	False	0.7	False	0.42	False
458	18-10-2025 2:38:00	2.09	-1.01	0.87	71.0	71.0	79.0	2.32125	115.79232	0.65	73.66667	2.09	False	-1.01	False	0.87	False
459	18-10-2025 2:38:00	2.25	-1.79	0.32	68.0	83.0	84.0	2.87517	128.5042	0.26	78.33333	2.25	False	-1.79	False	0.32	False
460	18-10-2025 2:38:00	2.04	-2.14	0.26	71.0	72.0	84.0	2.95655	136.37045	0.05333	75.66667	2.04	False	-2.14	False	0.26	False
461	18-10-2025 2:38:01	-2.1	-2.22	0.03	69.0	71.0	82.0	3.05588	223.40886	-1.43	74.0	-2.1	False	-2.22	False	0.03	False
462	18-10-2025 2:38:01	1.36	-2.69	0.29	71.0	80.0	84.0	3.01425	153.17993	-0.34667	78.33333	1.36	False	-2.69	False	0.29	False
463	18-10-2025 2:38:01	2.06	-2.22	-0.05	74.0	83.0	73.0	3.02853	137.1409	-0.07	76.66667	2.06	False	-2.22	False	-0.05	False
464	18-10-2025 2:38:01	2.15	-2.82	0.69	63.0	73.0	90.0	3.54611	142.67769	0.00667	75.33333	2.15	False	-2.82	False	0.69	False
465	18-10-2025 2:38:01	2.56	-3.07	0.42	66.0	62.0	85.0	3.99731	140.17608	-0.03	71.0	2.56	False	-3.07	False	0.42	False
466	18-10-2025 2:38:01	1.39	-1.47	0.49	71.0	76.0	91.0	2.02312	136.60226	0.13667	79.33333	1.39	False	-1.47	False	0.49	False
467	18-10-2025 2:38:01	2.46	0.57	-0.25	59.0	81.0	83.0	2.52517	76.95436	0.92667	74.33333	2.46	False	0.57	False	-0.25	False
468	18-10-2025 2:38:01	0.96	-1.87	0.32	81.0	66.0	88.0	2.10202	152.82544	-0.19667	78.33333	0.96	False	-1.87	False	0.32	False
469	18-10-2025 2:38:01	0.34	-0.24	0.43	59.0	77.0	79.0	0.41617	125.21759	0.17667	71.66667	0.34	False	-0.24	False	0.43	False
470	18-10-2025 2:38:01	2.6	-2.77	0.32	73.0	72.0	85.0	3.79907	136.81323	0.05	76.66667	2.6	False	-2.77	False	0.32	False
471	18-10-2025 2:38:01	0.56	-2.29	-0.06	80.0	75.0	91.0	2.35748	166.25849	-0.59667	82.0	0.56	False	-2.29	False	-0.06	False
