Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)	V1/X/E(cm/s)_clean	V1/X/E(cm/s)_is_spike	V2/Y/N(cm/s)_clean	V2/Y/N(cm/s)_is_spike	V3/Z/U(cm/s)_clean	V3/Z/U(cm/s)_is_spike
286	17-10-2025 21:19:00	18.09	-1.64	-1.48	91.0	85.0	92.0	18.16419	95.18015	4.99	89.33333	18.09	False	-1.64	False	-1.48	False
287	17-10-2025 21:19:00	18.22	-1.76	-0.98	93.0	83.0	91.0	18.30481	95.51749	5.16	89.0	18.22	False	-1.76	False	-0.98	False
288	17-10-2025 21:19:00	17.7	-2.71	-0.66	91.0	93.0	93.0	17.90626	98.70481	4.77667	92.33333	17.7	False	-2.71	False	-0.66	False
289	17-10-2025 21:19:00	16.44	-1.3	-1.59	98.0	89.0	96.0	16.49132	94.52128	4.51667	94.33333	16.44	False	-1.3	False	-1.59	False
290	17-10-2025 21:19:00	15.76	0.51	-1.76	96.0	92.0	93.0	15.76825	88.14653	4.83667	93.66667	15.76	False	0.51	False	-1.76	False
291	17-10-2025 21:19:00	16.47	-0.12	-2.17	96.0	80.0	93.0	16.47044	90.41745	4.72667	89.66667	16.47	False	-0.12	False	-2.17	False
292	17-10-2025 21:19:00	16.52	-1.79	-1.54	87.0	87.0	87.0	16.61669	96.18407	4.39667	87.0	16.52	False	-1.79	False	-1.54	False
293	17-10-2025 21:19:00	17.73	-3.27	-1.7	87.0	80.0	90.0	18.02903	100.44981	4.25333	85.66667	17.73	False	-3.27	False	-1.7	False
294	17-10-2025 21:19:00	15.76	-1.05	-0.3	93.0	83.0	94.0	15.79494	93.81166	4.80333	90.0	15.76	False	-1.05	False	-0.3	False
295	17-10-2025 21:19:00	16.92	-1.12	-1.24	86.0	89.0	91.0	16.95703	93.7871	4.85333	88.66667	16.92	False	-1.12	False	-1.24	False
296	17-10-2025 21:19:00	16.89	1.07	-2.08	94.0	75.0	89.0	16.92386	86.37509	5.29333	86.0	16.89	False	1.07	False	-2.08	False
297	17-10-2025 21:19:00	15.61	0.03	-1.53	89.0	83.0	94.0	15.61003	89.88989	4.70333	88.66667	15.61	False	0.03	False	-1.53	False
298	17-10-2025 21:19:00	17.23	-4.58	-1.43	93.0	92.0	93.0	17.82833	104.88587	3.74	92.66667	17.23	False	-4.58	False	-1.43	False
299	17-10-2025 21:19:00	13.16	-3.29	-1.79	97.0	87.0	91.0	13.56502	104.03624	2.69333	91.66667	13.16	False	-3.29	False	-1.79	False
300	17-10-2025 21:19:01	13.28	-2.07	-1.95	97.0	86.0	97.0	13.44036	98.8596	3.08667	93.33333	13.28	False	-2.07	False	-1.95	False
301	17-10-2025 21:19:01	13.85	-2.28	-1.25	94.0	91.0	94.0	14.03641	99.34824	3.44	93.0	13.85	False	-2.28	False	-1.25	False
302	17-10-2025 21:19:01	13.9	-1.6	-0.83	96.0	82.0	92.0	13.99178	96.5663	3.82333	90.0	13.9	False	-1.6	False	-0.83	False
303	17-10-2025 21:19:01	17.0	1.75	0.57	84.0	89.0	90.0	17.08984	84.12261	6.44	87.66667	17.0	False	1.75	False	0.57	False
304	17-10-2025 21:19:01	15.07	0.95	1.59	93.0	78.0	97.0	15.09991	86.3929	5.87	89.33333	15.07	False	0.95	False	1.59	False
305	17-10-2025 21:19:01	13.27	2.4	2.52	95.0	81.0	95.0	13.48528	79.74836	6.06333	90.33333	13.27	False	2.4	False	2.52	False
306	17-10-2025 21:19:01	11.58	5.25	2.72	97.0	85.0	97.0	12.71452	65.61199	6.51667	93.0	11.58	False	5.25	False	2.72	False
307	17-10-2025 21:19:01	10.79	4.45	3.4	92.0	88.0	97.0	11.67162	67.58782	6.21333	92.33333	10.79	False	4.45	False	3.4	False
308	17-10-2025 21:19:01	13.42	2.88	3.75	92.0	83.0	96.0	13.72555	77.88775	6.68333	90.33333	13.42	False	2.88	False	3.75	False
309	17-10-2025 21:19:01	13.16	4.31	4.88	89.0	91.0	93.0	13.84781	71.86599	7.45	91.0	13.16	False	4.31	False	4.88	False
310	17-10-2025 21:19:01	14.72	2.4	5.04	88.0	90.0	91.0	14.91437	80.73978	7.38667	89.66667	14.72	False	2.4	False	5.04	False
311	17-10-2025 21:19:01	16.55	-1.09	4.53	89.0	72.0	91.0	16.58586	93.76812	6.66333	84.0	16.55	False	-1.09	False	4.53	False
312	17-10-2025 21:19:01	18.22	-2.43	2.67	87.0	85.0	90.0	18.38133	97.5967	6.15333	87.33333	18.22	False	-2.43	False	2.67	False
313	17-10-2025 21:19:01	15.27	0.02	0.69	89.0	89.0	89.0	15.27001	89.92496	5.32667	89.0	15.27	False	0.02	False	0.69	False
314	17-10-2025 21:19:01	14.29	3.04	1.42	85.0	88.0	95.0	14.60978	77.99015	6.25	89.33333	14.29	False	3.04	False	1.42	False
315	17-10-2025 21:19:01	13.31	4.15	1.13	95.0	91.0	96.0	13.94197	72.68275	6.19667	94.0	13.31	False	4.15	False	1.13	False
316	17-10-2025 21:19:01	12.77	5.75	0.47	95.0	82.0	96.0	14.00484	65.7592	6.33	91.0	12.77	False	5.75	False	0.47	False
317	17-10-2025 21:19:01	12.85	4.66	1.25	86.0	86.0	88.0	13.66887	70.06703	6.25333	86.66667	12.85	False	4.66	False	1.25	False
318	17-10-2025 21:19:01	13.26	3.89	1.67	87.0	90.0	91.0	13.81882	73.65024	6.27333	89.33333	13.26	False	3.89	False	1.67	False
319	17-10-2025 21:19:01	14.34	1.2	1.29	93.0	92.0	94.0	14.39012	85.21652	5.61	93.0	14.34	False	1.2	False	1.29	False
320	17-10-2025 21:19:01	12.59	3.15	0.83	93.0	77.0	94.0	12.97808	75.95305	5.52333	88.0	12.59	False	3.15	False	0.83	False
321	17-10-2025 21:19:01	14.43	2.33	0.86	91.0	91.0	87.0	14.6169	80.82767	5.87333	89.66667	14.43	False	2.33	False	0.86	False
322	17-10-2025 21:19:01	13.9	1.52	-0.15	92.0	95.0	95.0	13.98286	83.75936	5.09	94.0	13.9	False	1.52	False	-0.15	False
323	17-10-2025 21:19:01	14.49	2.78	0.25	90.0	87.0	90.0	14.75427	79.13941	5.84	89.0	14.49	False	2.78	False	0.25	False
324	17-10-2025 21:19:01	14.25	3.85	0.86	92.0	92.0	93.0	14.76093	74.88106	6.32	92.33333	14.25	False	3.85	False	0.86	False
325	17-10-2025 21:19:01	15.13	0.86	1.56	84.0	97.0	98.0	15.15442	86.74677	5.85	93.0	15.13	False	0.86	False	1.56	False
326	17-10-2025 21:19:01	16.52	-0.17	1.4	84.0	95.0	96.0	16.52087	90.58958	5.91667	91.66667	16.52	False	-0.17	False	1.4	False
327	17-10-2025 21:19:01	15.78	3.16	0.28	93.0	90.0	95.0	16.09329	78.6761	6.40667	92.66667	15.78	False	3.16	False	0.28	False
328	17-10-2025 21:19:01	15.29	2.59	-0.18	97.0	89.0	94.0	15.50781	80.38583	5.9	93.33333	15.29	False	2.59	False	-0.18	False
329	17-10-2025 21:19:01	19.04	-0.7	0.14	91.0	84.0	95.0	19.05286	92.10551	6.16	90.0	19.04	False	-0.7	False	0.14	False
330	17-10-2025 21:19:01	18.19	-2.57	-0.07	91.0	89.0	95.0	18.37066	98.04189	5.18333	91.66667	18.19	False	-2.57	False	-0.07	False
331	17-10-2025 21:19:01	17.13	-3.91	-1.58	93.0	83.0	96.0	17.57057	102.85774	3.88	90.66667	17.13	False	-3.91	False	-1.58	False
332	17-10-2025 21:19:01	14.54	0.19	-2.25	92.0	77.0	91.0	14.54124	89.25134	4.16	86.66667	14.54	False	0.19	False	-2.25	False
333	17-10-2025 21:19:01	13.15	4.6	-2.2	95.0	74.0	92.0	13.93135	70.71966	5.18333	87.0	13.15	False	4.6	False	-2.2	False
334	17-10-2025 21:19:01	13.05	4.82	-0.48	94.0	92.0	90.0	13.91168	69.72836	5.79667	92.0	13.05	False	4.82	False	-0.48	False
335	17-10-2025 21:19:01	15.43	3.65	-0.02	88.0	90.0	85.0	15.85583	76.6912	6.35333	87.66667	15.43	False	3.65	False	-0.02	False
336	17-10-2025 21:19:01	14.74	0.71	2.28	80.0	89.0	86.0	14.75709	87.24229	5.91	85.0	14.74	False	0.71	False	2.28	False
337	17-10-2025 21:19:01	13.78	1.82	2.42	85.0	89.0	88.0	13.89967	82.47618	6.00667	87.33333	13.78	False	1.82	False	2.42	False
338	17-10-2025 21:19:01	15.16	0.62	2.2	86.0	92.0	92.0	15.17267	87.65807	5.99333	90.0	15.16	False	0.62	False	2.2	False
339	17-10-2025 21:19:01	15.83	0.06	1.57	91.0	93.0	97.0	15.83011	89.78283	5.82	93.66667	15.83	False	0.06	False	1.57	False
340	17-10-2025 21:19:01	14.91	1.28	0.83	82.0	91.0	94.0	14.96484	85.09328	5.67333	89.0	14.91	False	1.28	False	0.83	False
341	17-10-2025 21:19:02	13.55	3.78	-0.6	95.0	85.0	94.0	14.06737	74.41266	5.57667	91.33333	13.55	False	3.78	False	-0.6	False
