Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)	V1/X/E(cm/s)_clean	V1/X/E(cm/s)_is_spike	V2/Y/N(cm/s)_clean	V2/Y/N(cm/s)_is_spike	V3/Z/U(cm/s)_clean	V3/Z/U(cm/s)_is_spike
323	18-10-2025 2:53:37	6.21	-13.29	4.47	88.0	86.0	93.0	14.66929	154.95479	-0.87	89.0	6.21	False	-13.29	False	4.47	False
324	18-10-2025 2:53:37	7.22	-13.02	4.19	92.0	89.0	96.0	14.88787	150.99025	-0.53667	92.33333	7.22	False	-13.02	False	4.19	False
325	18-10-2025 2:53:37	7.15	-12.8	4.51	86.0	80.0	93.0	14.6616	150.81255	-0.38	86.33333	7.15	False	-12.8	False	4.51	False
326	18-10-2025 2:53:37	8.59	-14.78	5.08	85.0	86.0	86.0	17.09493	149.83524	-0.37	85.66667	8.59	False	-14.78	False	5.08	False
327	18-10-2025 2:53:37	5.95	-16.8	5.04	96.0	72.0	90.0	17.82253	160.49755	-1.93667	86.0	5.95	False	-16.8	False	5.04	False
328	18-10-2025 2:53:37	6.52	-15.7	4.95	92.0	74.0	89.0	17.00001	157.44754	-1.41	85.0	6.52	False	-15.7	False	4.95	False
329	18-10-2025 2:53:37	8.88	-16.89	5.02	93.0	90.0	90.0	19.0821	152.26663	-0.99667	91.0	8.88	False	-16.89	False	5.02	False
330	18-10-2025 2:53:37	9.57	-19.6	4.16	86.0	86.0	92.0	21.81158	153.97535	-1.95667	88.0	9.57	False	-19.6	False	4.16	False
331	18-10-2025 2:53:37	10.33	-20.99	2.24	92.0	54.0	87.0	23.39421	153.7964	-2.80667	77.66667	10.33	False	-20.99	False	2.24	False
332	18-10-2025 2:53:37	6.41	-14.51	2.47	90.0	73.0	82.0	15.86279	156.16587	-1.87667	81.66667	6.41	False	-16.70187910102391	True	2.47	False
333	18-10-2025 2:53:37	7.18	-9.29	2.51	72.0	68.0	82.0	11.74123	142.30049	0.13333	74.0	7.18	False	-16.377069060532083	True	2.51	False
334	18-10-2025 2:53:37	6.37	-10.5	4.74	79.0	85.0	77.0	12.28116	148.75621	0.20333	80.33333	6.37	False	-10.5	False	4.74	False
335	18-10-2025 2:53:37	8.17	-13.27	5.49	87.0	83.0	89.0	15.58338	148.38045	0.13	86.33333	8.17	False	-13.27	False	5.49	False
336	18-10-2025 2:53:37	11.83	-15.26	5.86	89.0	86.0	95.0	19.30846	142.21611	0.81	90.0	11.83	False	-15.26	False	5.86	False
337	18-10-2025 2:53:37	12.67	-17.12	5.11	84.0	91.0	88.0	21.29843	143.49597	0.22	87.66667	12.67	False	-17.12	False	5.11	False
338	18-10-2025 2:53:37	11.95	-15.54	3.22	82.0	91.0	91.0	19.60342	142.44032	-0.12333	88.0	11.95	False	-15.54	False	3.22	False
339	18-10-2025 2:53:37	10.72	-14.6	2.81	81.0	88.0	95.0	18.11293	143.71215	-0.35667	88.0	10.72	False	-14.6	False	2.81	False
340	18-10-2025 2:53:37	8.89	-11.73	2.29	83.0	77.0	92.0	14.71819	142.84203	-0.18333	84.0	8.89	False	-11.73	False	2.29	False
341	18-10-2025 2:53:38	8.47	-12.81	1.81	86.0	71.0	90.0	15.35698	146.52723	-0.84333	82.33333	8.47	False	-12.81	False	1.81	False
342	18-10-2025 2:53:38	7.88	-12.34	3.74	88.0	88.0	92.0	14.64138	147.43877	-0.24	89.33333	7.88	False	-12.34	False	3.74	False
343	18-10-2025 2:53:38	8.15	-15.44	3.67	91.0	79.0	91.0	17.45898	152.17268	-1.20667	87.0	8.15	False	-15.44	False	3.67	False
344	18-10-2025 2:53:38	7.91	-15.06	3.29	96.0	88.0	94.0	17.01093	152.29009	-1.28667	92.66667	7.91	False	-15.06	False	3.29	False
345	18-10-2025 2:53:38	7.5	-12.6	2.21	88.0	74.0	85.0	14.66322	149.23728	-0.96333	82.33333	7.5	False	-12.6	False	2.21	False
346	18-10-2025 2:53:38	7.3	-7.1	2.49	85.0	53.0	91.0	10.18332	134.20428	0.89667	76.33333	11.840641948149393	True	-13.941268054375602	True	2.49	False
347	18-10-2025 2:53:38	13.46	-13.16	4.69	74.0	69.0	87.0	18.82438	134.35432	1.66333	76.66667	12.36741590309039	True	-13.16	False	4.69	False
348	18-10-2025 2:53:38	15.94	-17.62	4.77	77.0	78.0	90.0	23.76022	137.86581	1.03	81.66667	15.94	False	-17.62	False	1.8084803759773864	True
349	18-10-2025 2:53:38	15.31	-15.42	1.72	74.0	71.0	72.0	21.72953	135.20509	0.53667	72.33333	15.31	False	-15.42	False	1.686527867580483	True
350	18-10-2025 2:53:38	13.97	-13.24	-1.01	94.0	84.0	92.0	19.2473	133.46322	-0.09333	90.0	13.97	False	-13.24	False	1.582513416858478	True
351	18-10-2025 2:53:38	15.31	-14.66	-0.31	95.0	84.0	95.0	21.19697	133.75754	0.11333	91.33333	15.31	False	-14.66	False	-0.31000000000000005	False
352	18-10-2025 2:53:38	15.02	-13.8	-0.15	89.0	71.0	96.0	20.39707	132.57602	0.35667	85.33333	15.02	False	-13.8	False	-0.1499999999999999	False
353	18-10-2025 2:53:38	14.33	-10.54	0.35	95.0	76.0	94.0	17.78877	126.33522	1.38	88.33333	14.33	False	-10.54	False	0.3500000000000001	False
354	18-10-2025 2:53:38	14.48	-12.12	0.79	97.0	79.0	97.0	18.88292	129.92989	1.05	91.0	14.48	False	-12.12	False	0.79	False
355	18-10-2025 2:53:38	14.31	-13.14	1.91	83.0	79.0	94.0	19.4277	132.55936	1.02667	85.33333	14.31	False	-13.14	False	1.91	False
356	18-10-2025 2:53:38	12.24	-16.12	1.55	85.0	69.0	87.0	20.24036	142.79041	-0.77667	80.33333	12.24	False	-16.12	False	1.55	False
357	18-10-2025 2:53:38	11.78	-16.32	1.76	81.0	84.0	91.0	20.12736	144.17773	-0.92667	85.33333	11.78	False	-16.32	False	1.76	False
358	18-10-2025 2:53:38	12.89	-16.86	2.72	89.0	78.0	90.0	21.2229	142.60095	-0.41667	85.66667	12.89	False	-16.86	False	2.72	False
359	18-10-2025 2:53:38	11.79	-14.39	1.63	95.0	66.0	97.0	18.60312	140.67159	-0.32333	86.0	11.79	False	-14.39	False	1.63	False
360	18-10-2025 2:53:38	11.83	-17.78	1.64	93.0	81.0	94.0	21.35597	146.36202	-1.43667	89.33333	11.83	False	-17.78	False	1.64	False
361	18-10-2025 2:53:38	13.22	-17.92	0.94	92.0	76.0	93.0	22.2687	143.58294	-1.25333	87.0	13.22	False	-17.92	False	0.94	False
362	18-10-2025 2:53:38	10.88	-15.57	1.13	92.0	76.0	93.0	18.99472	145.05493	-1.18667	87.0	10.88	False	-15.57	False	1.13	False
363	18-10-2025 2:53:38	12.77	-15.73	1.43	88.0	71.0	91.0	20.26094	140.92946	-0.51	83.33333	12.77	False	-15.73	False	1.43	False
364	18-10-2025 2:53:38	14.01	-16.66	1.6	88.0	77.0	91.0	21.76777	139.9383	-0.35	85.33333	14.01	False	-16.66	False	1.6	False
365	18-10-2025 2:53:38	12.46	-16.4	0.75	89.0	72.0	90.0	20.5964	142.77403	-1.06333	83.66667	12.46	False	-16.4	False	0.75	False
366	18-10-2025 2:53:38	13.29	-15.63	0.68	96.0	84.0	92.0	20.51636	139.62589	-0.55333	90.66667	13.29	False	-15.63	False	0.6800000000000002	False
367	18-10-2025 2:53:38	12.37	-16.35	0.83	92.0	81.0	93.0	20.50218	142.88976	-1.05	88.66667	12.37	False	-16.35	False	0.8300000000000001	False
368	18-10-2025 2:53:38	13.59	-17.35	-0.26	94.0	78.0	95.0	22.03884	141.92892	-1.34	89.0	13.59	False	-17.35	False	-0.2599999999999998	False
369	18-10-2025 2:53:38	12.53	-16.76	-0.38	96.0	76.0	96.0	20.92603	143.21772	-1.53667	89.33333	12.53	False	-16.76	False	-0.3799999999999999	False
370	18-10-2025 2:53:38	11.18	-13.49	-0.21	95.0	67.0	95.0	17.52063	140.34935	-0.84	85.66667	11.18	False	-13.49	False	-0.20999999999999996	False
371	18-10-2025 2:53:38	12.3	-11.83	0.79	93.0	87.0	95.0	17.06572	133.88414	0.42	91.66667	12.3	False	-11.83	False	0.79	False
372	18-10-2025 2:53:38	14.4	-16.77	1.83	84.0	75.0	89.0	22.10414	139.3481	-0.18	82.66667	14.4	False	-16.77	False	1.83	False
373	18-10-2025 2:53:38	11.13	-15.79	1.83	80.0	71.0	91.0	19.31841	144.82089	-0.94333	80.66667	11.13	False	-15.79	False	1.83	False
374	18-10-2025 2:53:38	12.74	-15.3	2.05	90.0	79.0	84.0	19.90974	140.21654	-0.17	84.33333	12.74	False	-15.3	False	2.05	False
375	18-10-2025 2:53:38	12.72	-16.67	2.46	90.0	87.0	94.0	20.96872	142.65465	-0.49667	90.33333	12.72	False	-16.67	False	2.46	False
376	18-10-2025 2:53:38	10.84	-14.16	1.34	92.0	81.0	87.0	17.83287	142.56462	-0.66	86.66667	10.84	False	-14.16	False	1.34	False
377	18-10-2025 2:53:38	11.95	-14.17	1.21	94.0	68.0	94.0	18.53622	139.85803	-0.33667	85.33333	11.95	False	-14.17	False	1.21	False
378	18-10-2025 2:53:38	12.11	-13.5	1.73	95.0	66.0	93.0	18.13566	138.10672	0.11333	84.66667	12.11	False	-13.5	False	1.73	False
379	18-10-2025 2:53:38	10.21	-10.84	2.06	95.0	76.0	94.0	14.89126	136.71428	0.47667	88.33333	10.21	False	-10.84	False	2.06	False
380	18-10-2025 2:53:38	12.52	-12.41	2.77	88.0	81.0	94.0	17.62834	134.74719	0.96	87.66667	12.52	False	-12.41	False	2.77	False
381	18-10-2025 2:53:39	14.19	-13.1	2.48	90.0	82.0	91.0	19.31233	132.71274	1.19	87.66667	14.19	False	-13.1	False	2.48	False
382	18-10-2025 2:53:39	13.99	-13.13	1.77	87.0	83.0	90.0	19.18638	133.18371	0.87667	86.66667	13.99	False	-13.13	False	1.77	False
383	18-10-2025 2:53:39	12.44	-13.22	0.73	94.0	69.0	93.0	18.15274	136.74111	-0.01667	85.33333	12.44	False	-13.22	False	0.73	False
384	18-10-2025 2:53:39	11.92	-12.05	0.46	91.0	62.0	94.0	16.9496	135.31074	0.11	82.33333	11.92	False	-12.05	False	0.45999999999999996	False
385	18-10-2025 2:53:39	9.38	-13.56	2.36	87.0	78.0	89.0	16.48812	145.32682	-0.60667	84.66667	9.38	False	-13.56	False	2.36	False
386	18-10-2025 2:53:39	13.1	-15.02	3.22	84.0	66.0	92.0	19.93014	138.90602	0.43333	80.66667	13.1	False	-15.02	False	3.22	False
387	18-10-2025 2:53:39	13.09	-15.94	3.89	92.0	81.0	93.0	20.626	140.60701	0.34667	88.66667	13.09	False	-15.94	False	3.89	False
388	18-10-2025 2:53:39	11.34	-16.79	3.03	91.0	87.0	90.0	20.26079	145.96483	-0.80667	89.33333	11.34	False	-16.79	False	3.03	False
389	18-10-2025 2:53:39	12.11	-16.12	2.57	93.0	85.0	93.0	20.16201	143.08463	-0.48	90.33333	12.11	False	-16.12	False	2.57	False
390	18-10-2025 2:53:39	10.13	-14.58	2.61	94.0	83.0	93.0	17.75368	145.20891	-0.61333	90.0	10.13	False	-14.58	False	2.61	False
391	18-10-2025 2:53:39	10.52	-14.89	2.55	87.0	84.0	91.0	18.23136	144.75824	-0.60667	87.33333	10.52	False	-14.89	False	2.55	False
392	18-10-2025 2:53:39	11.01	-14.41	2.42	94.0	78.0	93.0	18.13472	142.61826	-0.32667	88.33333	11.01	False	-14.41	False	2.42	False
393	18-10-2025 2:53:39	9.47	-14.17	3.06	91.0	77.0	93.0	17.04317	146.24466	-0.54667	87.0	9.47	False	-14.17	False	3.06	False
394	18-10-2025 2:53:39	10.87	-13.79	3.43	88.0	87.0	93.0	17.55907	141.75297	0.17	89.33333	10.87	False	-13.79	False	3.43	False
395	18-10-2025 2:53:39	9.46	-13.44	2.78	94.0	85.0	91.0	16.43549	144.85947	-0.4	90.0	9.46	False	-13.44	False	2.78	False
396	18-10-2025 2:53:39	8.7	-13.31	3.22	92.0	86.0	91.0	15.90114	146.82961	-0.46333	89.66667	8.7	False	-13.31	False	3.22	False
