Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)	V1/X/E(cm/s)_clean	V1/X/E(cm/s)_is_spike	V2/Y/N(cm/s)_clean	V2/Y/N(cm/s)_is_spike	V3/Z/U(cm/s)_clean	V3/Z/U(cm/s)_is_spike
124	17-10-2025 18:59:53	20.21	1.94	0.46	87.0	91.0	96.0	20.3029	84.51686	7.53667	91.33333	20.21	False	1.94	False	0.46	False
125	17-10-2025 18:59:53	21.09	1.78	-0.21	90.0	85.0	92.0	21.16498	85.17566	7.55333	89.0	21.09	False	1.78	False	-0.21000000000000008	False
126	17-10-2025 18:59:53	19.06	3.3	0.8	94.0	92.0	95.0	19.34357	80.17733	7.72	93.66667	19.06	False	3.3	False	0.8	False
127	17-10-2025 18:59:53	20.07	3.5	1.29	91.0	93.0	96.0	20.3729	80.10769	8.28667	93.33333	20.07	False	3.5	False	1.29	False
128	17-10-2025 18:59:53	20.51	4.17	0.47	89.0	86.0	91.0	20.92962	78.50753	8.38333	88.66667	20.51	False	4.17	False	0.47	False
129	17-10-2025 18:59:53	20.56	6.21	0.21	91.0	92.0	89.0	21.47738	73.19344	8.99333	90.66667	20.56	False	6.21	False	0.20999999999999996	False
130	17-10-2025 18:59:53	20.88	3.38	0.45	87.0	84.0	72.0	21.1518	80.80487	8.23667	81.0	20.88	False	3.38	False	0.45	False
131	17-10-2025 18:59:53	21.17	0.92	0.82	88.0	86.0	96.0	21.18998	87.51162	7.63667	90.0	21.17	False	0.9199999999999999	False	0.82	False
132	17-10-2025 18:59:53	20.64	2.17	0.42	94.0	83.0	95.0	20.75376	83.99822	7.74333	90.66667	20.64	False	2.17	False	0.42000000000000004	False
133	17-10-2025 18:59:53	19.12	5.89	0.84	91.0	91.0	96.0	20.00666	72.87832	8.61667	92.66667	19.12	False	5.89	False	0.84	False
134	17-10-2025 18:59:53	21.91	6.96	1.14	92.0	81.0	93.0	22.9889	72.37686	10.00333	88.66667	21.91	False	6.96	False	1.14	False
135	17-10-2025 18:59:53	21.92	8.06	0.61	91.0	88.0	92.0	23.35487	69.81149	10.19667	90.33333	21.92	False	8.06	False	0.61	False
136	17-10-2025 18:59:53	24.74	7.1	0.17	88.0	88.0	95.0	25.73864	73.98733	10.67	90.33333	24.74	False	7.1	False	0.17000000000000004	False
137	17-10-2025 18:59:53	26.05	6.63	0.02	93.0	92.0	86.0	26.88047	75.72078	10.9	90.33333	26.05	False	6.63	False	0.020000000000000018	False
138	17-10-2025 18:59:53	26.58	5.95	0.99	87.0	88.0	90.0	27.23782	77.38221	11.17333	88.33333	26.58	False	5.95	False	0.99	False
139	17-10-2025 18:59:53	26.38	7.07	1.73	88.0	86.0	97.0	27.31097	74.99696	11.72667	90.33333	26.38	False	7.07	False	1.73	False
