Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)
167	17-10-2025 23:21:22	22.23000	-1.87000	0.50000	93.00000	84.00000	96.00000	22.30851	94.80843	6.95333	91.00000
168	17-10-2025 23:21:22	20.33000	0.70000	0.46000	91.00000	80.00000	92.00000	20.34205	88.02798	7.16333	87.66667
169	17-10-2025 23:21:22	18.74000	2.89000	0.86000	93.00000	88.00000	94.00000	18.96153	81.23316	7.49667	91.66667
170	17-10-2025 23:21:22	20.11000	1.97000	1.23000	92.00000	85.00000	94.00000	20.20626	84.40509	7.77000	90.33333
171	17-10-2025 23:21:22	22.22000	1.53000	2.11000	87.00000	91.00000	89.00000	22.27261	86.06101	8.62000	89.00000
172	17-10-2025 23:21:22	21.50000	0.50000	1.63000	88.00000	88.00000	96.00000	21.50581	88.66778	7.87667	90.66667
173	17-10-2025 23:21:22	21.85000	0.91000	0.10000	87.00000	70.00000	95.00000	21.86894	87.61515	7.62000	84.00000
174	17-10-2025 23:21:22	19.43000	5.00000	-0.39000	86.00000	75.00000	93.00000	20.06302	75.56895	8.01333	84.66667
175	17-10-2025 23:21:22	20.01000	2.07000	2.04000	83.00000	89.00000	85.00000	20.11678	84.09386	8.04000	85.66667
176	17-10-2025 23:21:22	20.17000	3.60000	1.99000	90.00000	87.00000	97.00000	20.48875	79.88024	8.58667	91.33333
177	17-10-2025 23:21:22	18.72000	2.65000	1.98000	92.00000	84.00000	97.00000	18.90664	81.94275	7.78333	91.00000
178	17-10-2025 23:21:22	20.49000	1.50000	2.10000	93.00000	94.00000	97.00000	20.54483	85.81305	8.03000	94.66667
179	17-10-2025 23:21:22	19.73000	3.33000	2.28000	88.00000	87.00000	95.00000	20.00904	80.41999	8.44667	90.00000
180	17-10-2025 23:21:22	21.31000	2.73000	2.51000	88.00000	90.00000	99.00000	21.48416	82.69967	8.85000	92.33333
181	17-10-2025 23:21:23	20.34000	1.77000	1.96000	92.00000	88.00000	92.00000	20.41687	85.02661	8.02333	90.66667
182	17-10-2025 23:21:23	20.24000	2.74000	2.73000	83.00000	92.00000	97.00000	20.42462	82.29042	8.57000	90.66667
183	17-10-2025 23:21:23	22.85000	2.02000	3.54000	92.00000	76.00000	97.00000	22.93911	84.94804	9.47000	88.33333
