Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)
300	17-10-2025 19:27:31	12.65000	-3.01000	4.64000	91.00000	88.00000	93.00000	13.00318	103.38433	4.76000	90.66667
301	17-10-2025 19:27:32	14.40000	-6.45000	5.28000	94.00000	92.00000	92.00000	15.77854	114.12840	4.41000	92.66667
302	17-10-2025 19:27:32	13.87000	-5.75000	4.67000	92.00000	89.00000	97.00000	15.01464	112.51713	4.26333	92.66667
303	17-10-2025 19:27:32	12.81000	-8.03000	3.15000	90.00000	91.00000	89.00000	15.11876	122.08171	2.64333	90.00000
304	17-10-2025 19:27:32	13.26000	-7.22000	2.09000	90.00000	89.00000	90.00000	15.09821	118.56806	2.71000	89.66667
305	17-10-2025 19:27:32	14.63000	-5.52000	0.79000	93.00000	89.00000	94.00000	15.63673	110.67184	3.30000	92.00000
306	17-10-2025 19:27:32	16.84000	-5.81000	0.68000	87.00000	85.00000	96.00000	17.81409	109.03504	3.90333	89.33333
307	17-10-2025 19:27:32	19.74000	-6.77000	0.26000	90.00000	81.00000	97.00000	20.86865	108.92984	4.41000	89.33333
308	17-10-2025 19:27:32	17.50000	-4.84000	-0.94000	87.00000	72.00000	93.00000	18.15697	105.45992	3.90667	84.00000
309	17-10-2025 19:27:32	16.66000	-1.27000	-3.00000	82.00000	74.00000	87.00000	16.70834	94.35925	4.13000	81.00000
310	17-10-2025 19:27:32	19.51000	-7.26000	-0.53000	80.00000	81.00000	88.00000	20.81700	110.41108	3.90667	83.00000
311	17-10-2025 19:27:32	17.14000	-5.80000	-1.64000	86.00000	71.00000	90.00000	18.09474	108.69529	3.23333	82.33333
312	17-10-2025 19:27:32	19.47000	-3.65000	-2.45000	93.00000	65.00000	87.00000	19.80917	100.61788	4.45667	81.66667
313	17-10-2025 19:27:32	16.13000	0.02000	0.05000	83.00000	59.00000	86.00000	16.13001	89.92896	5.40000	76.00000
314	17-10-2025 19:27:32	15.99000	-4.09000	1.59000	87.00000	77.00000	97.00000	16.50479	104.34777	4.49667	87.00000
315	17-10-2025 19:27:32	15.03000	-3.55000	3.10000	94.00000	80.00000	95.00000	15.44355	103.28938	4.86000	89.66667
316	17-10-2025 19:27:32	16.05000	-6.18000	4.24000	93.00000	92.00000	90.00000	17.19869	111.05904	4.70333	91.66667
317	17-10-2025 19:27:32	16.45000	-6.68000	4.68000	89.00000	90.00000	98.00000	17.75457	112.10104	4.81667	92.33333
318	17-10-2025 19:27:32	14.52000	-5.57000	4.80000	87.00000	87.00000	94.00000	15.55170	110.98725	4.58333	89.33333
319	17-10-2025 19:27:32	14.18000	-4.06000	4.03000	92.00000	88.00000	94.00000	14.74978	105.97741	4.71667	91.33333
320	17-10-2025 19:27:32	14.93000	-3.89000	3.36000	93.00000	83.00000	96.00000	15.42845	104.60369	4.80000	90.66667
321	17-10-2025 19:27:32	16.01000	-1.37000	4.91000	83.00000	77.00000	92.00000	16.06851	94.89097	6.51667	84.00000
322	17-10-2025 19:27:32	16.56000	-5.29000	6.36000	95.00000	90.00000	94.00000	17.38441	107.71579	5.87667	93.00000
323	17-10-2025 19:27:32	17.25000	-4.77000	5.77000	87.00000	91.00000	94.00000	17.89736	105.45728	6.08333	90.66667
324	17-10-2025 19:27:32	17.72000	-5.49000	5.39000	90.00000	91.00000	95.00000	18.55097	107.21400	5.87333	92.00000
325	17-10-2025 19:27:32	16.17000	-6.57000	5.08000	90.00000	92.00000	97.00000	17.45376	112.11230	4.89333	93.00000
326	17-10-2025 19:27:32	14.96000	-6.01000	3.58000	88.00000	92.00000	95.00000	16.12209	111.88720	4.17667	91.66667
327	17-10-2025 19:27:32	12.83000	-3.65000	2.80000	93.00000	91.00000	95.00000	13.33909	105.88050	3.99333	93.00000
328	17-10-2025 19:27:32	13.13000	-1.43000	2.54000	90.00000	85.00000	97.00000	13.20764	96.21564	4.74667	90.66667
329	17-10-2025 19:27:32	16.62000	-3.19000	4.46000	86.00000	81.00000	85.00000	16.92337	100.86507	5.96333	84.00000
330	17-10-2025 19:27:32	19.36000	-4.04000	5.61000	87.00000	89.00000	91.00000	19.77704	101.78720	6.97667	89.00000
331	17-10-2025 19:27:32	20.41000	-7.75000	4.45000	88.00000	73.00000	91.00000	21.83187	110.79256	5.70333	84.00000
332	17-10-2025 19:27:32	21.74000	-13.12000	2.93000	51.00000	78.00000	90.00000	25.39216	121.11081	3.85000	73.00000
333	17-10-2025 19:27:32	15.65000	-8.21000	-0.94000	74.00000	56.00000	83.00000	17.67276	117.68153	2.16667	71.00000
334	17-10-2025 19:27:32	13.99000	-4.08000	-0.58000	88.00000	85.00000	94.00000	14.57280	106.25863	3.11000	89.00000
335	17-10-2025 19:27:32	19.61000	-7.95000	-0.96000	94.00000	83.00000	95.00000	21.16021	112.06790	3.56667	90.66667
336	17-10-2025 19:27:32	18.65000	-6.21000	-1.48000	94.00000	85.00000	96.00000	19.65672	108.41651	3.65333	91.66667
337	17-10-2025 19:27:32	18.59000	-4.28000	-1.38000	94.00000	81.00000	96.00000	19.07633	102.96535	4.31000	90.33333
