Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)
1087	18-10-2025 21:25:53	19.18000	10.17000	0.75000	93.00000	86.00000	93.00000	21.70947	62.06568	10.03333	90.66667
1088	18-10-2025 21:25:53	21.05000	4.69000	0.79000	86.00000	82.00000	87.00000	21.56614	77.43949	8.84333	85.00000
1089	18-10-2025 21:25:53	19.17000	10.23000	1.40000	90.00000	84.00000	88.00000	21.72882	61.91355	10.26667	87.33333
1090	18-10-2025 21:25:53	19.66000	8.55000	0.84000	91.00000	89.00000	88.00000	21.43871	66.49611	9.68333	89.33333
1091	18-10-2025 21:25:53	21.26000	6.05000	0.36000	89.00000	93.00000	93.00000	22.10407	74.11513	9.22333	91.66667
1092	18-10-2025 21:25:53	19.81000	7.13000	0.82000	91.00000	92.00000	93.00000	21.05405	70.20522	9.25333	92.00000
1093	18-10-2025 21:25:53	18.55000	7.96000	0.82000	87.00000	82.00000	92.00000	20.18574	66.77532	9.11000	87.00000
1094	18-10-2025 21:25:53	19.70000	5.73000	1.02000	90.00000	89.00000	94.00000	20.51641	73.78224	8.81667	91.00000
1095	18-10-2025 21:25:53	17.55000	9.40000	0.75000	92.00000	89.00000	93.00000	19.90886	61.82594	9.23333	91.33333
1096	18-10-2025 21:25:53	19.40000	4.07000	1.47000	85.00000	82.00000	91.00000	19.82233	78.15154	8.31333	86.00000
1097	18-10-2025 21:25:53	20.87000	0.44000	1.56000	88.00000	88.00000	96.00000	20.87464	88.79222	7.62333	90.66667
1098	18-10-2025 21:25:53	19.99000	2.00000	0.87000	89.00000	78.00000	91.00000	20.08980	84.28657	7.62000	86.00000
1099	18-10-2025 21:25:53	20.42000	-1.15000	1.22000	91.00000	78.00000	96.00000	20.45236	93.22334	6.83000	88.33333
1100	18-10-2025 21:25:53	21.58000	1.37000	1.36000	93.00000	85.00000	94.00000	21.62344	86.36747	8.10333	90.66667
1101	18-10-2025 21:25:54	20.26000	1.90000	1.10000	90.00000	89.00000	94.00000	20.34890	84.64242	7.75333	91.00000
1102	18-10-2025 21:25:54	20.33000	3.05000	0.96000	87.00000	89.00000	92.00000	20.55751	81.46786	8.11333	89.33333
1103	18-10-2025 21:25:54	18.19000	3.60000	1.26000	93.00000	79.00000	92.00000	18.54282	78.80520	7.68333	88.00000
1104	18-10-2025 21:25:54	16.89000	8.30000	1.04000	93.00000	79.00000	88.00000	18.81919	63.82980	8.74333	86.66667
1105	18-10-2025 21:25:54	19.50000	3.47000	0.99000	90.00000	64.00000	93.00000	19.80633	79.90991	7.98667	82.33333
1106	18-10-2025 21:25:54	15.49000	7.54000	0.71000	92.00000	83.00000	95.00000	17.22764	64.04477	7.91333	90.00000
1107	18-10-2025 21:25:54	14.02000	12.58000	0.60000	92.00000	78.00000	91.00000	18.83658	48.09870	9.06667	87.00000
1108	18-10-2025 21:25:54	20.72000	3.00000	1.66000	75.00000	80.00000	78.00000	20.93606	81.76153	8.46000	77.66667
1109	18-10-2025 21:25:54	25.51000	-9.26000	2.82000	86.00000	54.00000	89.00000	27.13868	109.95064	6.35667	76.33333
1110	18-10-2025 21:25:54	23.58000	-5.35000	2.73000	83.00000	75.00000	90.00000	24.17931	102.78326	6.98667	82.66667
1111	18-10-2025 21:25:54	21.54000	-0.03000	2.23000	89.00000	69.00000	91.00000	21.54002	90.07980	7.91333	83.00000
1112	18-10-2025 21:25:54	23.68000	-1.09000	2.61000	80.00000	63.00000	92.00000	23.70507	92.63549	8.40000	78.33333
1113	18-10-2025 21:25:54	27.06000	-5.49000	2.35000	79.00000	72.00000	95.00000	27.61130	101.46865	7.97333	82.00000
1114	18-10-2025 21:25:54	26.63000	-5.71000	2.29000	82.00000	66.00000	94.00000	27.23529	102.10210	7.73667	80.66667
1115	18-10-2025 21:25:54	27.10000	-3.07000	2.34000	85.00000	78.00000	95.00000	27.27334	96.46315	8.79000	86.00000
1116	18-10-2025 21:25:54	20.21000	4.25000	1.75000	80.00000	75.00000	80.00000	20.65204	78.12420	8.73667	78.33333
1117	18-10-2025 21:25:54	21.30000	6.54000	1.11000	83.00000	86.00000	82.00000	22.28142	72.93130	9.65000	83.66667
1118	18-10-2025 21:25:54	21.93000	2.43000	1.66000	85.00000	73.00000	88.00000	22.06422	83.67701	8.67333	82.00000
1119	18-10-2025 21:25:54	22.32000	4.40000	2.04000	78.00000	64.00000	92.00000	22.74956	78.84812	9.58667	78.00000
1120	18-10-2025 21:25:54	24.58000	-0.80000	2.55000	77.00000	67.00000	90.00000	24.59302	91.86414	8.77667	78.00000
1121	18-10-2025 21:25:54	25.24000	-1.46000	2.26000	83.00000	67.00000	87.00000	25.28219	93.31057	8.68000	79.00000
1122	18-10-2025 21:25:54	25.04000	-2.66000	2.45000	75.00000	75.00000	89.00000	25.18089	96.06379	8.27667	79.66667
1123	18-10-2025 21:25:54	26.17000	-6.91000	1.39000	86.00000	60.00000	90.00000	27.06690	104.79097	6.88333	78.66667
1124	18-10-2025 21:25:54	21.98000	0.79000	1.87000	82.00000	66.00000	92.00000	21.99419	87.94157	8.21333	80.00000
1125	18-10-2025 21:25:54	22.45000	-0.33000	1.72000	85.00000	72.00000	91.00000	22.45243	90.84215	7.94667	82.66667
1126	18-10-2025 21:25:54	23.43000	-1.90000	1.67000	84.00000	80.00000	93.00000	23.50691	94.63612	7.73333	85.66667
1127	18-10-2025 21:25:54	19.81000	7.78000	0.70000	77.00000	79.00000	92.00000	21.28296	68.55853	9.43000	82.66667
1128	18-10-2025 21:25:54	19.43000	8.80000	0.62000	80.00000	67.00000	87.00000	21.32991	65.63385	9.61667	78.00000
1129	18-10-2025 21:25:54	20.38000	5.79000	1.58000	80.00000	76.00000	90.00000	21.18652	74.14004	9.25000	82.00000
1130	18-10-2025 21:25:54	17.43000	12.87000	0.89000	91.00000	84.00000	89.00000	21.66661	53.55850	10.39667	88.00000
1131	18-10-2025 21:25:54	19.13000	9.46000	0.71000	87.00000	76.00000	80.00000	21.34124	63.68709	9.76667	81.00000
1132	18-10-2025 21:25:54	22.37000	7.47000	0.71000	92.00000	88.00000	89.00000	23.58427	71.53432	10.18333	89.66667
1133	18-10-2025 21:25:54	22.84000	6.16000	1.63000	78.00000	81.00000	90.00000	23.65610	74.90633	10.21000	83.00000
1134	18-10-2025 21:25:54	20.75000	5.57000	0.98000	89.00000	89.00000	92.00000	21.48458	74.97410	9.10000	90.00000
1135	18-10-2025 21:25:54	21.49000	4.25000	0.53000	85.00000	76.00000	90.00000	21.90622	78.81317	8.75667	83.66667
1136	18-10-2025 21:25:54	22.46000	0.17000	1.35000	82.00000	82.00000	91.00000	22.46064	89.56634	7.99333	85.00000
1137	18-10-2025 21:25:54	20.39000	5.83000	1.14000	91.00000	79.00000	92.00000	21.20710	74.04347	9.12000	87.33333
1138	18-10-2025 21:25:54	18.62000	10.60000	1.23000	88.00000	74.00000	91.00000	21.42579	60.34799	10.15000	84.33333
1139	18-10-2025 21:25:54	19.50000	9.32000	1.24000	86.00000	88.00000	91.00000	21.61278	64.45459	10.02000	88.33333
