Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)
77	17-10-2025 21:25:42	16.82000	2.92000	2.93000	86.00000	90.00000	96.00000	17.07158	80.15144	7.55667	90.66667
78	17-10-2025 21:25:42	18.37000	0.79000	2.90000	87.00000	93.00000	88.00000	18.38698	87.53752	7.35333	89.33333
79	17-10-2025 21:25:42	19.42000	0.36000	2.21000	89.00000	73.00000	93.00000	19.42334	88.93800	7.33000	85.00000
80	17-10-2025 21:25:42	19.06000	3.76000	0.45000	87.00000	70.00000	95.00000	19.42733	78.84045	7.75667	84.00000
81	17-10-2025 21:25:42	19.82000	2.60000	0.64000	88.00000	90.00000	92.00000	19.98981	82.52658	7.68667	90.00000
82	17-10-2025 21:25:42	19.52000	1.83000	0.95000	92.00000	92.00000	96.00000	19.60559	84.64417	7.43333	93.33333
83	17-10-2025 21:25:42	20.01000	-0.34000	0.17000	89.00000	89.00000	95.00000	20.01289	90.97345	6.61333	91.00000
84	17-10-2025 21:25:42	20.32000	2.25000	-0.12000	91.00000	87.00000	95.00000	20.44419	83.68147	7.48333	91.00000
85	17-10-2025 21:25:42	18.68000	2.39000	-0.17000	90.00000	86.00000	96.00000	18.83227	82.70894	6.96667	90.66667
86	17-10-2025 21:25:42	17.92000	2.69000	-0.23000	97.00000	91.00000	96.00000	18.12077	81.46298	6.79333	94.66667
87	17-10-2025 21:25:42	18.63000	1.41000	-0.26000	92.00000	88.00000	95.00000	18.68328	85.67186	6.59333	91.66667
88	17-10-2025 21:25:42	18.05000	-0.73000	-0.68000	93.00000	86.00000	92.00000	18.06476	92.31596	5.54667	90.33333
89	17-10-2025 21:25:42	19.01000	0.86000	-1.12000	96.00000	85.00000	95.00000	19.02944	87.40974	6.25000	92.00000
90	17-10-2025 21:25:42	20.11000	-0.04000	-0.92000	92.00000	86.00000	94.00000	20.11004	90.11396	6.38333	90.66667
91	17-10-2025 21:25:42	21.09000	1.42000	-1.22000	93.00000	79.00000	97.00000	21.13775	86.14806	7.09667	89.66667
92	17-10-2025 21:25:42	19.33000	3.22000	-1.19000	92.00000	83.00000	93.00000	19.59636	80.54248	7.12000	89.33333
93	17-10-2025 21:25:42	17.42000	3.28000	-1.46000	94.00000	77.00000	94.00000	17.72610	79.33666	6.41333	88.33333
