Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)
319	17-10-2025 23:14:22	21.06000	3.42000	2.18000	88.00000	90.00000	98.00000	21.33589	80.77608	8.88667	92.00000
320	17-10-2025 23:14:22	19.91000	3.91000	1.98000	93.00000	93.00000	97.00000	20.29030	78.88943	8.60000	94.33333
321	17-10-2025 23:14:22	20.93000	3.91000	2.13000	91.00000	94.00000	90.00000	21.29209	79.41836	8.99000	91.66667
322	17-10-2025 23:14:22	21.13000	1.92000	2.36000	92.00000	90.00000	95.00000	21.21705	84.80802	8.47000	92.33333
323	17-10-2025 23:14:22	22.07000	1.94000	3.23000	89.00000	93.00000	97.00000	22.15510	84.97649	9.08000	93.00000
324	17-10-2025 23:14:22	22.94000	-0.94000	2.43000	88.00000	90.00000	96.00000	22.95925	92.34647	8.14333	91.33333
325	17-10-2025 23:14:22	20.67000	-0.34000	1.88000	87.00000	88.00000	94.00000	20.67280	90.94237	7.40333	89.66667
326	17-10-2025 23:14:22	19.65000	2.84000	1.04000	91.00000	94.00000	97.00000	19.85417	81.77603	7.84333	94.00000
327	17-10-2025 23:14:22	21.28000	3.91000	0.63000	90.00000	94.00000	92.00000	21.63623	79.58857	8.60667	92.00000
328	17-10-2025 23:14:22	19.71000	1.72000	0.23000	90.00000	79.00000	94.00000	19.78491	85.01270	7.22000	87.66667
329	17-10-2025 23:14:22	20.88000	2.76000	-0.41000	93.00000	87.00000	96.00000	21.06162	82.47007	7.74333	92.00000
330	17-10-2025 23:14:22	20.91000	2.28000	0.23000	95.00000	89.00000	92.00000	21.03394	83.77712	7.80667	92.00000
331	17-10-2025 23:14:22	19.07000	4.10000	0.37000	93.00000	87.00000	97.00000	19.50577	77.86626	7.84667	92.33333
332	17-10-2025 23:14:22	19.34000	2.63000	0.30000	93.00000	87.00000	96.00000	19.51800	82.25599	7.42333	92.00000
333	17-10-2025 23:14:22	16.75000	4.60000	0.40000	95.00000	91.00000	97.00000	17.37016	74.64363	7.25000	94.33333
334	17-10-2025 23:14:22	17.55000	4.29000	0.79000	88.00000	87.00000	95.00000	18.06673	76.26373	7.54333	90.00000
335	17-10-2025 23:14:22	17.43000	4.52000	1.42000	94.00000	84.00000	99.00000	18.00653	75.46212	7.79000	92.33333
336	17-10-2025 23:14:22	17.28000	5.99000	1.84000	93.00000	91.00000	94.00000	18.28875	70.88146	8.37000	92.66667
337	17-10-2025 23:14:22	18.01000	5.25000	1.09000	90.00000	91.00000	96.00000	18.75960	73.74835	8.11667	92.33333
338	17-10-2025 23:14:22	17.84000	4.87000	1.08000	92.00000	92.00000	92.00000	18.49277	74.73129	7.93000	92.00000
339	17-10-2025 23:14:22	17.35000	3.93000	1.34000	91.00000	82.00000	94.00000	17.78953	77.23713	7.54000	89.00000
340	17-10-2025 23:14:22	17.22000	4.13000	1.02000	92.00000	83.00000	96.00000	17.70834	76.51308	7.45667	90.33333
341	17-10-2025 23:14:23	16.40000	5.24000	2.24000	84.00000	85.00000	82.00000	17.21678	72.28069	7.96000	83.66667
342	17-10-2025 23:14:23	18.63000	2.95000	2.06000	88.00000	80.00000	94.00000	18.86211	81.00211	7.88000	87.33333
343	17-10-2025 23:14:23	16.57000	4.92000	2.65000	87.00000	83.00000	96.00000	17.28500	73.46268	8.04667	88.66667
344	17-10-2025 23:14:23	16.10000	3.74000	2.53000	92.00000	90.00000	93.00000	16.52869	76.92224	7.45667	91.66667
345	17-10-2025 23:14:23	15.71000	3.09000	2.52000	93.00000	87.00000	93.00000	16.01100	78.87254	7.10667	91.00000
346	17-10-2025 23:14:23	17.17000	3.43000	2.26000	94.00000	92.00000	98.00000	17.50925	78.70290	7.62000	94.66667
347	17-10-2025 23:14:23	17.74000	4.19000	2.49000	89.00000	91.00000	94.00000	18.22810	76.71088	8.14000	91.33333
348	17-10-2025 23:14:23	18.61000	1.86000	1.65000	93.00000	90.00000	98.00000	18.70272	84.29246	7.37333	93.66667
