Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)
76	17-10-2025 18:47:35	23.03000	2.71000	0.50000	86.00000	59.00000	88.00000	23.18890	83.28872	8.74667	77.66667
77	17-10-2025 18:47:35	21.37000	3.60000	0.07000	89.00000	64.00000	92.00000	21.67111	80.43771	8.34667	81.66667
78	17-10-2025 18:47:35	24.52000	2.43000	2.01000	81.00000	65.00000	85.00000	24.64011	84.34031	9.65333	77.00000
79	17-10-2025 18:47:35	26.46000	1.66000	-0.10000	89.00000	41.00000	93.00000	26.51202	86.41019	9.34000	74.33333
80	17-10-2025 18:47:35	24.28000	6.84000	-1.18000	89.00000	55.00000	88.00000	25.22507	74.26676	9.98000	77.33333
81	17-10-2025 18:47:35	24.92000	3.99000	1.05000	78.00000	59.00000	81.00000	25.23740	80.90345	9.98667	72.66667
82	17-10-2025 18:47:35	24.12000	4.14000	1.03000	88.00000	73.00000	92.00000	24.47272	80.26055	9.76333	84.33333
83	17-10-2025 18:47:35	23.00000	2.55000	0.02000	87.00000	42.00000	92.00000	23.14093	83.67348	8.52333	73.66667
84	17-10-2025 18:47:35	22.98000	3.09000	0.94000	76.00000	71.00000	86.00000	23.18682	82.34167	9.00333	77.66667
85	17-10-2025 18:47:35	23.93000	-0.93000	1.34000	82.00000	58.00000	93.00000	23.94806	92.22559	8.11333	77.66667
86	17-10-2025 18:47:35	22.96000	1.48000	2.11000	88.00000	74.00000	88.00000	23.00765	86.31182	8.85000	83.33333
87	17-10-2025 18:47:35	20.76000	1.89000	0.05000	83.00000	59.00000	87.00000	20.84586	84.79811	7.56667	76.33333
88	17-10-2025 18:47:35	20.00000	2.24000	-0.94000	88.00000	45.00000	92.00000	20.12505	83.60951	7.10000	75.00000
89	17-10-2025 18:47:35	20.18000	3.60000	-1.96000	89.00000	62.00000	89.00000	20.49860	79.88516	7.27333	80.00000
90	17-10-2025 18:47:35	19.91000	4.69000	-1.52000	94.00000	67.00000	94.00000	20.45493	76.74505	7.69333	85.00000
91	17-10-2025 18:47:35	21.13000	3.81000	-0.91000	91.00000	55.00000	88.00000	21.47075	79.77869	8.01000	78.00000
92	17-10-2025 18:47:35	21.59000	3.32000	-1.44000	93.00000	71.00000	90.00000	21.84378	81.25783	7.82333	84.66667
93	17-10-2025 18:47:35	20.44000	6.49000	-2.77000	93.00000	47.00000	90.00000	21.44560	72.38459	8.05333	76.66667
94	17-10-2025 18:47:35	21.35000	5.79000	-2.02000	96.00000	44.00000	88.00000	22.12118	74.82666	8.37333	76.00000
95	17-10-2025 18:47:35	23.03000	2.12000	-2.50000	90.00000	48.00000	81.00000	23.12737	84.74053	7.55000	73.00000
96	17-10-2025 18:47:35	20.97000	8.56000	-1.36000	88.00000	52.00000	88.00000	22.64982	67.79461	9.39000	76.00000
97	17-10-2025 18:47:35	24.39000	5.63000	-1.97000	87.00000	60.00000	85.00000	25.03136	77.00195	9.35000	77.33333
98	17-10-2025 18:47:35	27.51000	3.56000	-1.38000	88.00000	52.00000	89.00000	27.73939	82.62647	9.89667	76.33333
99	17-10-2025 18:47:35	23.54000	7.87000	-0.39000	90.00000	50.00000	89.00000	24.82073	71.51395	10.34000	76.33333
100	17-10-2025 18:47:36	23.33000	4.95000	-0.78000	92.00000	63.00000	91.00000	23.84935	78.02102	9.16667	82.00000
101	17-10-2025 18:47:36	23.27000	1.12000	-1.13000	85.00000	39.00000	90.00000	23.29694	87.24444	7.75333	71.33333
102	17-10-2025 18:47:36	21.48000	5.52000	-0.87000	91.00000	67.00000	88.00000	22.17793	75.58781	8.71000	82.00000
103	17-10-2025 18:47:36	20.72000	5.38000	0.40000	88.00000	65.00000	90.00000	21.40707	75.44443	8.83333	81.00000
104	17-10-2025 18:47:36	19.59000	4.49000	1.64000	86.00000	33.00000	93.00000	20.09796	77.09085	8.57333	70.66667
105	17-10-2025 18:47:36	22.71000	-0.61000	1.75000	87.00000	46.00000	93.00000	22.71819	91.53862	7.95000	75.33333
106	17-10-2025 18:47:36	22.75000	-2.48000	2.28000	86.00000	48.00000	88.00000	22.88478	96.22130	7.51667	74.00000
