Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)
697	18-10-2025 21:18:27	-0.60000	-1.96000	-0.13000	71.00000	42.00000	77.00000	2.04978	197.02053	-0.89667	63.33333
698	18-10-2025 21:18:27	1.99000	-1.60000	-0.38000	67.00000	53.00000	86.00000	2.55345	128.79998	0.00333	68.66667
699	18-10-2025 21:18:27	4.12000	-2.48000	-0.03000	66.00000	49.00000	80.00000	4.80883	121.04549	0.53667	65.00000
700	18-10-2025 21:18:28	2.40000	-0.16000	0.17000	56.00000	44.00000	78.00000	2.40533	93.81407	0.80333	59.33333
701	18-10-2025 21:18:28	-3.04000	1.56000	-0.06000	66.00000	57.00000	81.00000	3.41690	297.16498	-0.51333	68.00000
702	18-10-2025 21:18:28	0.60000	-2.12000	-0.45000	50.00000	69.00000	92.00000	2.20327	164.19749	-0.65667	70.33333
703	18-10-2025 21:18:28	1.33000	0.17000	0.28000	66.00000	55.00000	89.00000	1.34082	82.71598	0.59333	70.00000
704	18-10-2025 21:18:28	2.33000	1.95000	0.54000	60.00000	66.00000	84.00000	3.03832	50.07370	1.60667	70.00000
705	18-10-2025 21:18:28	-0.80000	-0.07000	-0.51000	72.00000	50.00000	83.00000	0.80306	264.99936	-0.46000	68.33333
706	18-10-2025 21:18:28	2.09000	-1.80000	0.32000	51.00000	48.00000	84.00000	2.75828	130.73648	0.20333	61.00000
707	18-10-2025 21:18:28	5.75000	-1.83000	-0.40000	51.00000	51.00000	67.00000	6.03419	107.65424	1.17333	56.33333
708	18-10-2025 21:18:28	2.76000	2.02000	0.48000	62.00000	71.00000	62.00000	3.42023	53.80020	1.75333	65.00000
709	18-10-2025 21:18:28	1.96000	0.22000	0.48000	47.00000	59.00000	85.00000	1.97231	83.59565	0.88667	63.66667
710	18-10-2025 21:18:28	2.73000	-4.86000	0.11000	43.00000	57.00000	76.00000	5.57427	150.67584	-0.67333	58.66667
711	18-10-2025 21:18:28	1.13000	-1.41000	0.25000	64.00000	58.00000	79.00000	1.80693	141.29067	-0.01000	67.00000
712	18-10-2025 21:18:28	0.28000	0.20000	0.08000	60.00000	59.00000	65.00000	0.34409	54.46232	0.18667	61.33333
713	18-10-2025 21:18:28	-0.84000	-0.71000	0.02000	61.00000	38.00000	78.00000	1.09986	229.79423	-0.51000	59.00000
714	18-10-2025 21:18:28	2.60000	-0.80000	-0.11000	58.00000	54.00000	64.00000	2.72029	107.10273	0.56333	58.66667
715	18-10-2025 21:18:28	4.16000	-3.45000	0.00000	63.00000	60.00000	76.00000	5.40445	129.66983	0.23667	66.33333
716	18-10-2025 21:18:28	0.53000	-0.24000	0.07000	42.00000	51.00000	85.00000	0.58181	114.36245	0.12000	59.33333
717	18-10-2025 21:18:28	-0.69000	2.09000	-0.01000	52.00000	58.00000	75.00000	2.20095	341.72969	0.46333	61.66667
718	18-10-2025 21:18:28	2.67000	0.76000	0.71000	53.00000	40.00000	61.00000	2.77606	74.11130	1.38000	51.33333
719	18-10-2025 21:18:28	0.08000	1.56000	0.12000	48.00000	61.00000	69.00000	1.56205	2.93567	0.58667	59.33333
720	18-10-2025 21:18:28	0.11000	0.38000	-0.17000	66.00000	65.00000	77.00000	0.39560	16.14434	0.10667	69.33333
721	18-10-2025 21:18:28	-1.21000	-0.28000	0.37000	59.00000	60.00000	82.00000	1.24197	256.97081	-0.37333	67.00000
722	18-10-2025 21:18:28	1.79000	-1.09000	0.34000	47.00000	49.00000	85.00000	2.09576	121.33885	0.34667	60.33333
723	18-10-2025 21:18:28	3.72000	-1.33000	0.28000	58.00000	63.00000	75.00000	3.95061	109.67334	0.89000	65.33333
724	18-10-2025 21:18:28	1.62000	-2.44000	0.11000	43.00000	56.00000	76.00000	2.92882	146.41845	-0.23667	58.33333
