Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)
194	17-10-2025 2:36:22	19.83000	-0.29000	0.35000	93.00000	84.00000	97.00000	19.83212	90.83785	6.63000	91.33333
195	17-10-2025 2:36:22	18.48000	0.19000	0.73000	94.00000	93.00000	97.00000	18.48098	89.41094	6.46667	94.66667
196	17-10-2025 2:36:22	18.33000	-0.15000	0.65000	96.00000	92.00000	99.00000	18.33061	90.46886	6.27667	95.66667
197	17-10-2025 2:36:22	17.60000	-0.71000	0.75000	94.00000	89.00000	97.00000	17.61432	92.31011	5.88000	93.33333
198	17-10-2025 2:36:22	19.01000	-0.88000	0.82000	88.00000	94.00000	98.00000	19.03036	92.65041	6.31667	93.33333
199	17-10-2025 2:36:22	20.07000	-1.50000	0.39000	93.00000	91.00000	97.00000	20.12598	94.27425	6.32000	93.66667
200	17-10-2025 2:36:22	19.80000	-2.09000	-0.58000	93.00000	81.00000	95.00000	19.91000	96.02558	5.71000	89.66667
201	17-10-2025 2:36:22	17.10000	2.33000	-0.34000	92.00000	73.00000	94.00000	17.25801	82.24082	6.36333	86.33333
202	17-10-2025 2:36:22	17.79000	-0.35000	0.52000	86.00000	85.00000	89.00000	17.79344	91.12709	5.98667	86.66667
203	17-10-2025 2:36:22	19.48000	-3.74000	1.50000	92.00000	93.00000	98.00000	19.83578	100.86807	5.74667	94.33333
204	17-10-2025 2:36:22	19.34000	-4.24000	0.10000	90.00000	88.00000	92.00000	19.79932	102.36559	5.06667	90.00000
205	17-10-2025 2:36:22	17.31000	1.70000	-0.97000	95.00000	63.00000	97.00000	17.39328	84.39102	6.01333	85.00000
206	17-10-2025 2:36:22	16.31000	1.13000	-0.71000	90.00000	81.00000	91.00000	16.34910	86.03673	5.57667	87.33333
207	17-10-2025 2:36:22	17.47000	-2.69000	1.05000	89.00000	78.00000	94.00000	17.67589	98.75356	5.27667	87.00000
