Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)
79	17-10-2025 18:53:57	22.65000	1.49000	-1.94000	96.00000	91.00000	92.00000	22.69896	86.23630	7.40000	93.00000
80	17-10-2025 18:53:57	20.57000	0.23000	-2.22000	89.00000	87.00000	88.00000	20.57129	89.35938	6.19333	88.00000
81	17-10-2025 18:53:57	20.23000	0.69000	-1.65000	96.00000	82.00000	94.00000	20.24176	88.04653	6.42333	90.66667
82	17-10-2025 18:53:57	20.68000	1.18000	-2.14000	95.00000	71.00000	94.00000	20.71364	86.73425	6.57333	86.66667
83	17-10-2025 18:53:57	19.44000	-0.13000	-2.02000	94.00000	83.00000	89.00000	19.44043	90.38315	5.76333	88.66667
84	17-10-2025 18:53:57	19.23000	0.14000	-2.61000	88.00000	66.00000	89.00000	19.23051	89.58288	5.58667	81.00000
85	17-10-2025 18:53:57	17.83000	4.48000	-3.12000	97.00000	74.00000	92.00000	18.38421	75.89573	6.39667	87.66667
86	17-10-2025 18:53:57	14.17000	6.06000	-1.50000	95.00000	58.00000	87.00000	15.41144	66.84534	6.24333	80.00000
87	17-10-2025 18:53:57	8.95000	12.57000	-0.94000	79.00000	33.00000	85.00000	15.43073	35.45135	6.86000	65.66667
88	17-10-2025 18:53:57	18.43000	4.56000	-1.14000	89.00000	39.00000	81.00000	18.98575	76.10282	7.28333	69.66667
89	17-10-2025 18:53:57	17.52000	8.62000	-0.20000	89.00000	74.00000	90.00000	19.52575	63.80239	8.64667	84.33333
90	17-10-2025 18:53:57	20.35000	2.73000	2.33000	80.00000	93.00000	94.00000	20.53230	82.35926	8.47000	89.00000
91	17-10-2025 18:53:57	20.08000	0.12000	0.57000	90.00000	77.00000	78.00000	20.08036	89.65760	6.92333	81.66667
92	17-10-2025 18:53:57	19.08000	-6.27000	0.92000	78.00000	82.00000	89.00000	20.08381	108.19137	4.57667	83.00000
93	17-10-2025 18:53:57	21.78000	-5.26000	0.56000	90.00000	89.00000	94.00000	22.40616	103.57729	5.69333	91.00000
94	17-10-2025 18:53:57	20.69000	-0.91000	-0.43000	90.00000	85.00000	92.00000	20.71000	92.51839	6.45000	89.00000
95	17-10-2025 18:53:57	20.96000	-0.78000	-0.71000	89.00000	75.00000	93.00000	20.97451	92.13121	6.49000	85.66667
96	17-10-2025 18:53:57	19.73000	-0.21000	-0.50000	91.00000	75.00000	95.00000	19.73112	90.60982	6.34000	87.00000
97	17-10-2025 18:53:57	19.75000	-0.44000	-1.62000	93.00000	86.00000	94.00000	19.75490	91.27625	5.89667	91.00000
98	17-10-2025 18:53:57	19.96000	0.59000	-0.74000	91.00000	76.00000	93.00000	19.96872	88.30688	6.60333	86.66667
99	17-10-2025 18:53:57	21.35000	0.30000	0.14000	86.00000	87.00000	88.00000	21.35211	89.19496	7.26333	87.00000
100	17-10-2025 18:53:58	20.81000	-1.10000	0.59000	92.00000	87.00000	96.00000	20.83905	93.02579	6.76667	91.66667
101	17-10-2025 18:53:58	20.38000	-2.27000	-0.04000	90.00000	83.00000	92.00000	20.50603	96.35562	6.02333	88.33333
102	17-10-2025 18:53:58	19.97000	3.06000	-0.53000	94.00000	79.00000	84.00000	20.20308	81.28834	7.50000	85.66667
103	17-10-2025 18:53:58	21.06000	2.92000	-0.74000	92.00000	84.00000	96.00000	21.26147	82.10618	7.74667	90.66667
104	17-10-2025 18:53:58	20.95000	1.02000	-1.15000	94.00000	91.00000	92.00000	20.97482	87.21262	6.94000	92.33333
