Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)
1198	17-10-2025 22:57:42	18.37000	2.64000	1.29000	96.00000	84.00000	98.00000	18.55873	81.82187	7.43333	92.66667
1199	17-10-2025 22:57:42	17.80000	2.46000	1.35000	90.00000	93.00000	97.00000	17.96919	82.13144	7.20333	93.33333
1200	17-10-2025 22:57:42	17.95000	1.34000	1.92000	91.00000	95.00000	97.00000	17.99995	85.73069	7.07000	94.33333
1201	17-10-2025 22:57:42	18.33000	-0.34000	2.20000	92.00000	89.00000	95.00000	18.33315	91.06265	6.73000	92.00000
1202	17-10-2025 22:57:42	17.82000	2.09000	1.99000	93.00000	91.00000	97.00000	17.94214	83.31068	7.30000	93.66667
1203	17-10-2025 22:57:42	19.06000	-0.05000	1.13000	96.00000	93.00000	97.00000	19.06006	90.15030	6.71333	95.33333
1204	17-10-2025 22:57:42	16.91000	1.71000	0.77000	94.00000	93.00000	93.00000	16.99624	84.22567	6.46333	93.33333
1205	17-10-2025 22:57:42	17.29000	1.93000	1.32000	87.00000	91.00000	93.00000	17.39739	83.63071	6.84667	90.33333
1206	17-10-2025 22:57:42	16.94000	1.54000	1.37000	93.00000	87.00000	96.00000	17.00986	84.80557	6.61667	92.00000
1207	17-10-2025 22:57:42	17.72000	2.29000	1.68000	87.00000	89.00000	95.00000	17.86736	82.63634	7.23000	90.33333
1208	17-10-2025 22:57:42	18.11000	0.46000	3.31000	84.00000	86.00000	95.00000	18.11584	88.54498	7.29333	88.33333
1209	17-10-2025 22:57:42	18.24000	-0.35000	2.63000	93.00000	87.00000	96.00000	18.24336	91.09929	6.84000	92.00000
1210	17-10-2025 22:57:42	17.92000	1.67000	2.84000	91.00000	89.00000	99.00000	17.99765	84.67587	7.47667	93.00000
1211	17-10-2025 22:57:42	16.52000	2.39000	2.76000	92.00000	84.00000	98.00000	16.69199	81.76796	7.22333	91.33333
1212	17-10-2025 22:57:42	17.21000	3.49000	3.79000	84.00000	89.00000	95.00000	17.56030	78.53649	8.16333	89.33333
1213	17-10-2025 22:57:42	19.61000	1.21000	3.67000	90.00000	94.00000	98.00000	19.64729	86.46914	8.16333	94.00000
1214	17-10-2025 22:57:42	18.98000	1.16000	3.08000	91.00000	89.00000	98.00000	19.01541	86.50261	7.74000	92.66667
1215	17-10-2025 22:57:42	19.00000	1.73000	2.63000	91.00000	91.00000	98.00000	19.07860	84.79741	7.78667	93.33333
1216	17-10-2025 22:57:42	17.43000	2.90000	2.59000	94.00000	95.00000	99.00000	17.66960	80.55367	7.64000	96.00000
1217	17-10-2025 22:57:42	18.53000	3.64000	3.27000	93.00000	84.00000	97.00000	18.88413	78.88643	8.48000	91.33333
1218	17-10-2025 22:57:42	19.28000	1.46000	3.48000	88.00000	92.00000	95.00000	19.33520	85.66948	8.07333	91.66667
1219	17-10-2025 22:57:42	18.48000	1.57000	3.40000	92.00000	88.00000	98.00000	18.54657	85.14400	7.81667	92.66667
1220	17-10-2025 22:57:42	18.34000	2.14000	3.92000	92.00000	95.00000	97.00000	18.46443	83.34455	8.13333	94.66667
1221	17-10-2025 22:57:43	17.87000	3.10000	3.34000	94.00000	80.00000	95.00000	18.13689	80.15855	8.10333	89.66667
1222	17-10-2025 22:57:43	17.62000	0.88000	3.88000	90.00000	89.00000	94.00000	17.64196	87.14084	7.46000	91.00000
1223	17-10-2025 22:57:43	18.73000	0.34000	4.03000	89.00000	89.00000	97.00000	18.73309	88.96004	7.70000	91.66667
1224	17-10-2025 22:57:43	18.03000	1.44000	2.60000	91.00000	94.00000	99.00000	18.08741	85.43366	7.35667	94.66667
1225	17-10-2025 22:57:43	18.65000	3.13000	2.46000	94.00000	87.00000	98.00000	18.91083	80.47293	8.08000	93.00000
1226	17-10-2025 22:57:43	19.32000	1.46000	3.15000	86.00000	89.00000	91.00000	19.37509	85.67841	7.97667	88.66667
1227	17-10-2025 22:57:43	18.46000	3.54000	2.74000	91.00000	91.00000	98.00000	18.79636	79.14441	8.24667	93.33333
1228	17-10-2025 22:57:43	19.02000	3.45000	3.25000	91.00000	88.00000	97.00000	19.33036	79.71901	8.57333	92.00000
1229	17-10-2025 22:57:43	19.33000	0.94000	3.15000	90.00000	89.00000	97.00000	19.35284	87.21595	7.80667	92.00000
1230	17-10-2025 22:57:43	19.32000	0.97000	2.88000	93.00000	87.00000	98.00000	19.34434	87.12576	7.72333	92.66667
1231	17-10-2025 22:57:43	18.96000	1.05000	3.10000	94.00000	89.00000	98.00000	18.98905	86.83021	7.70333	93.66667
1232	17-10-2025 22:57:43	20.71000	0.08000	3.04000	91.00000	93.00000	94.00000	20.71015	89.77868	7.94333	92.66667
1233	17-10-2025 22:57:43	18.75000	3.04000	2.81000	90.00000	88.00000	94.00000	18.99484	80.79058	8.20000	90.66667
1234	17-10-2025 22:57:43	20.44000	3.06000	3.13000	87.00000	86.00000	98.00000	20.66778	81.48568	8.87667	90.33333
1235	17-10-2025 22:57:43	19.11000	3.13000	3.58000	89.00000	89.00000	98.00000	19.36463	80.69820	8.60667	92.00000
1236	17-10-2025 22:57:43	17.60000	5.34000	4.10000	87.00000	87.00000	98.00000	18.39227	73.12173	9.01333	90.66667
1237	17-10-2025 22:57:43	18.36000	5.31000	4.47000	90.00000	89.00000	98.00000	19.11245	73.86930	9.38000	92.33333
1238	17-10-2025 22:57:43	19.60000	2.19000	4.74000	92.00000	85.00000	95.00000	19.72197	83.62452	8.84333	90.66667
1239	17-10-2025 22:57:43	19.60000	2.21000	4.91000	93.00000	90.00000	97.00000	19.72420	83.56678	8.90667	93.33333
1240	17-10-2025 22:57:43	21.08000	0.97000	3.90000	93.00000	87.00000	97.00000	21.10231	87.36538	8.65000	92.33333
1241	17-10-2025 22:57:43	21.63000	3.74000	3.13000	86.00000	93.00000	94.00000	21.95096	80.19010	9.50000	91.00000
1242	17-10-2025 22:57:43	22.23000	5.09000	2.94000	86.00000	79.00000	96.00000	22.80528	77.10330	10.08667	87.00000
1243	17-10-2025 22:57:43	22.44000	3.27000	2.57000	90.00000	86.00000	95.00000	22.67700	81.70911	9.42667	90.33333
1244	17-10-2025 22:57:43	21.91000	3.89000	1.38000	89.00000	90.00000	95.00000	22.25264	79.93236	9.06000	91.33333
1245	17-10-2025 22:57:43	20.15000	5.75000	0.93000	91.00000	80.00000	96.00000	20.95436	74.07338	8.94333	89.00000
1246	17-10-2025 22:57:43	21.14000	6.44000	2.12000	82.00000	90.00000	91.00000	22.09917	73.05739	9.90000	87.66667
1247	17-10-2025 22:57:43	23.55000	3.64000	2.64000	92.00000	87.00000	92.00000	23.82965	81.21362	9.94333	90.33333
1248	17-10-2025 22:57:43	23.48000	4.17000	1.93000	94.00000	88.00000	95.00000	23.84742	79.92939	9.86000	92.33333
1249	17-10-2025 22:57:43	23.90000	4.42000	1.99000	90.00000	90.00000	98.00000	24.30527	79.52226	10.10333	92.66667
1250	17-10-2025 22:57:43	23.75000	2.90000	2.74000	88.00000	85.00000	95.00000	23.92640	83.03835	9.79667	89.33333
1251	17-10-2025 22:57:43	24.63000	2.81000	1.88000	90.00000	92.00000	96.00000	24.78978	83.49135	9.77333	92.66667
1252	17-10-2025 22:57:43	24.07000	5.00000	1.99000	87.00000	90.00000	97.00000	24.58383	78.26499	10.35333	91.33333
1253	17-10-2025 22:57:43	22.83000	4.12000	2.38000	91.00000	91.00000	96.00000	23.19878	79.77026	9.77667	92.66667
1254	17-10-2025 22:57:43	22.51000	3.62000	2.34000	92.00000	86.00000	97.00000	22.79922	80.86406	9.49000	91.66667
1255	17-10-2025 22:57:43	22.33000	3.47000	1.65000	94.00000	85.00000	97.00000	22.59800	81.16709	9.15000	92.00000
1256	17-10-2025 22:57:43	22.05000	6.01000	1.15000	92.00000	83.00000	97.00000	22.85438	74.75368	9.73667	90.66667
1257	17-10-2025 22:57:43	22.32000	5.06000	0.62000	92.00000	80.00000	94.00000	22.88637	77.22680	9.33333	88.66667
