Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)
286	17-10-2025 21:19:00	18.09000	-1.64000	-1.48000	91.00000	85.00000	92.00000	18.16419	95.18015	4.99000	89.33333
287	17-10-2025 21:19:00	18.22000	-1.76000	-0.98000	93.00000	83.00000	91.00000	18.30481	95.51749	5.16000	89.00000
288	17-10-2025 21:19:00	17.70000	-2.71000	-0.66000	91.00000	93.00000	93.00000	17.90626	98.70481	4.77667	92.33333
289	17-10-2025 21:19:00	16.44000	-1.30000	-1.59000	98.00000	89.00000	96.00000	16.49132	94.52128	4.51667	94.33333
290	17-10-2025 21:19:00	15.76000	0.51000	-1.76000	96.00000	92.00000	93.00000	15.76825	88.14653	4.83667	93.66667
291	17-10-2025 21:19:00	16.47000	-0.12000	-2.17000	96.00000	80.00000	93.00000	16.47044	90.41745	4.72667	89.66667
292	17-10-2025 21:19:00	16.52000	-1.79000	-1.54000	87.00000	87.00000	87.00000	16.61669	96.18407	4.39667	87.00000
293	17-10-2025 21:19:00	17.73000	-3.27000	-1.70000	87.00000	80.00000	90.00000	18.02903	100.44981	4.25333	85.66667
294	17-10-2025 21:19:00	15.76000	-1.05000	-0.30000	93.00000	83.00000	94.00000	15.79494	93.81166	4.80333	90.00000
295	17-10-2025 21:19:00	16.92000	-1.12000	-1.24000	86.00000	89.00000	91.00000	16.95703	93.78710	4.85333	88.66667
296	17-10-2025 21:19:00	16.89000	1.07000	-2.08000	94.00000	75.00000	89.00000	16.92386	86.37509	5.29333	86.00000
297	17-10-2025 21:19:00	15.61000	0.03000	-1.53000	89.00000	83.00000	94.00000	15.61003	89.88989	4.70333	88.66667
298	17-10-2025 21:19:00	17.23000	-4.58000	-1.43000	93.00000	92.00000	93.00000	17.82833	104.88587	3.74000	92.66667
299	17-10-2025 21:19:00	13.16000	-3.29000	-1.79000	97.00000	87.00000	91.00000	13.56502	104.03624	2.69333	91.66667
300	17-10-2025 21:19:01	13.28000	-2.07000	-1.95000	97.00000	86.00000	97.00000	13.44036	98.85960	3.08667	93.33333
301	17-10-2025 21:19:01	13.85000	-2.28000	-1.25000	94.00000	91.00000	94.00000	14.03641	99.34824	3.44000	93.00000
302	17-10-2025 21:19:01	13.90000	-1.60000	-0.83000	96.00000	82.00000	92.00000	13.99178	96.56630	3.82333	90.00000
303	17-10-2025 21:19:01	17.00000	1.75000	0.57000	84.00000	89.00000	90.00000	17.08984	84.12261	6.44000	87.66667
304	17-10-2025 21:19:01	15.07000	0.95000	1.59000	93.00000	78.00000	97.00000	15.09991	86.39290	5.87000	89.33333
305	17-10-2025 21:19:01	13.27000	2.40000	2.52000	95.00000	81.00000	95.00000	13.48528	79.74836	6.06333	90.33333
