Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)
1928	17-10-2025 19:06:50	21.70000	8.52000	-0.52000	94.00000	85.00000	93.00000	23.31267	68.56370	9.90000	90.66667
1929	17-10-2025 19:06:50	20.71000	11.84000	0.11000	89.00000	71.00000	90.00000	23.85560	60.24320	10.88667	83.33333
1930	17-10-2025 19:06:50	19.58000	10.50000	0.37000	91.00000	63.00000	95.00000	22.21771	61.79706	10.15000	83.00000
1931	17-10-2025 19:06:50	21.82000	6.22000	0.27000	90.00000	78.00000	94.00000	22.68922	74.08929	9.43667	87.33333
1932	17-10-2025 19:06:50	20.65000	9.08000	0.57000	98.00000	80.00000	95.00000	22.55812	66.26445	10.10000	91.00000
1933	17-10-2025 19:06:50	19.84000	8.65000	1.69000	91.00000	70.00000	93.00000	21.64366	66.44338	10.06000	84.66667
1934	17-10-2025 19:06:50	20.58000	7.79000	2.37000	87.00000	70.00000	90.00000	22.00501	69.26720	10.24667	82.33333
1935	17-10-2025 19:06:50	18.37000	9.23000	1.56000	87.00000	78.00000	87.00000	20.55845	63.32278	9.72000	84.00000
1936	17-10-2025 19:06:50	18.52000	4.60000	2.49000	75.00000	86.00000	90.00000	19.08273	76.05114	8.53667	83.66667
1937	17-10-2025 19:06:50	20.13000	7.08000	2.71000	88.00000	89.00000	97.00000	21.33877	70.62252	9.97333	91.33333
1938	17-10-2025 19:06:50	24.43000	6.03000	2.38000	92.00000	77.00000	95.00000	25.16318	76.13495	10.94667	88.00000
1939	17-10-2025 19:06:50	22.77000	6.11000	2.53000	89.00000	77.00000	96.00000	23.57552	74.97935	10.47000	87.33333
1940	17-10-2025 19:06:50	20.61000	6.22000	2.67000	91.00000	84.00000	96.00000	21.52813	73.20644	9.83333	90.33333
1941	17-10-2025 19:06:51	20.24000	5.51000	2.30000	92.00000	84.00000	95.00000	20.97660	74.77123	9.35000	90.33333
1942	17-10-2025 19:06:51	20.89000	5.43000	1.77000	91.00000	91.00000	95.00000	21.58418	75.42938	9.36333	92.33333
1943	17-10-2025 19:06:51	21.45000	8.23000	1.56000	88.00000	85.00000	96.00000	22.97467	69.00904	10.41333	89.66667
1944	17-10-2025 19:06:51	21.13000	7.40000	1.86000	92.00000	72.00000	95.00000	22.38832	70.69908	10.13000	86.33333
1945	17-10-2025 19:06:51	22.62000	6.03000	2.62000	88.00000	70.00000	94.00000	23.40994	75.07331	10.42333	84.00000
1946	17-10-2025 19:06:51	23.81000	1.19000	1.96000	87.00000	75.00000	95.00000	23.83972	87.13879	8.98667	85.66667
1947	17-10-2025 19:06:51	24.05000	2.13000	1.09000	85.00000	81.00000	93.00000	24.14414	84.93878	9.09000	86.33333
1948	17-10-2025 19:06:51	21.70000	4.03000	-0.57000	91.00000	72.00000	92.00000	22.07104	79.47922	8.38667	85.00000
1949	17-10-2025 19:06:51	18.37000	4.64000	0.15000	92.00000	77.00000	90.00000	18.94694	75.82440	7.72000	86.33333
1950	17-10-2025 19:06:51	17.46000	4.81000	0.31000	89.00000	75.00000	94.00000	18.11043	74.59782	7.52667	86.00000
1951	17-10-2025 19:06:51	19.27000	5.80000	1.38000	88.00000	78.00000	93.00000	20.12394	73.24894	8.81667	86.33333
1952	17-10-2025 19:06:51	23.47000	-1.17000	2.86000	84.00000	69.00000	93.00000	23.49914	92.85388	8.38667	82.00000
1953	17-10-2025 19:06:51	20.35000	1.11000	1.77000	80.00000	81.00000	90.00000	20.38025	86.87787	7.74333	83.66667
1954	17-10-2025 19:06:51	20.83000	3.15000	0.25000	90.00000	91.00000	86.00000	21.06683	81.40065	8.07667	89.00000
1955	17-10-2025 19:06:51	18.48000	3.26000	0.57000	89.00000	76.00000	95.00000	18.76534	79.99556	7.43667	86.66667
1956	17-10-2025 19:06:51	19.72000	3.58000	0.58000	91.00000	87.00000	94.00000	20.04233	79.71050	7.96000	90.66667
1957	17-10-2025 19:06:51	18.48000	3.60000	1.15000	93.00000	69.00000	98.00000	18.82738	78.97654	7.74333	86.66667
1958	17-10-2025 19:06:51	18.88000	3.49000	1.01000	91.00000	82.00000	95.00000	19.19986	79.52700	7.79333	89.33333
1959	17-10-2025 19:06:51	17.38000	5.78000	0.40000	94.00000	84.00000	95.00000	18.31592	71.60462	7.85333	91.00000
1960	17-10-2025 19:06:51	19.08000	4.54000	2.48000	86.00000	74.00000	91.00000	19.61270	76.61562	8.70000	83.66667
1961	17-10-2025 19:06:51	20.23000	2.74000	3.32000	86.00000	83.00000	97.00000	20.41471	82.28666	8.76333	88.66667
1962	17-10-2025 19:06:51	19.91000	1.56000	2.63000	91.00000	79.00000	97.00000	19.97102	85.51988	8.03333	89.00000
1963	17-10-2025 19:06:51	17.78000	3.60000	1.80000	90.00000	84.00000	97.00000	18.14079	78.55380	7.72667	90.33333
1964	17-10-2025 19:06:51	18.06000	1.41000	2.41000	88.00000	79.00000	97.00000	18.11496	85.53580	7.29333	88.00000
1965	17-10-2025 19:06:51	20.45000	-1.00000	1.95000	89.00000	83.00000	96.00000	20.47444	92.79952	7.13333	89.33333
1966	17-10-2025 19:06:51	19.92000	2.03000	0.40000	92.00000	82.00000	97.00000	20.02317	84.18121	7.45000	90.33333
1967	17-10-2025 19:06:51	17.74000	2.19000	-0.12000	88.00000	77.00000	93.00000	17.87467	82.96245	6.60333	86.00000
1968	17-10-2025 19:06:51	16.41000	4.39000	-0.42000	93.00000	68.00000	88.00000	16.98706	75.02296	6.79333	83.00000
1969	17-10-2025 19:06:51	17.18000	1.37000	0.14000	90.00000	70.00000	93.00000	17.23454	85.44066	6.23000	84.33333
1970	17-10-2025 19:06:51	19.34000	1.27000	0.69000	92.00000	82.00000	94.00000	19.38165	86.24295	7.10000	89.33333
1971	17-10-2025 19:06:51	19.31000	-1.22000	0.98000	86.00000	73.00000	95.00000	19.34850	93.61512	6.35667	84.66667
1972	17-10-2025 19:06:51	18.39000	1.27000	0.83000	93.00000	75.00000	96.00000	18.43380	86.04947	6.83000	88.00000
1973	17-10-2025 19:06:51	17.86000	1.24000	1.25000	86.00000	77.00000	96.00000	17.90299	86.02839	6.78333	86.33333
1974	17-10-2025 19:06:51	20.38000	-0.67000	1.74000	92.00000	74.00000	93.00000	20.39101	91.88294	7.15000	86.33333
1975	17-10-2025 19:06:51	19.17000	2.18000	0.74000	94.00000	61.00000	97.00000	19.29356	83.51223	7.36333	84.00000
1976	17-10-2025 19:06:51	21.14000	-1.96000	0.23000	88.00000	66.00000	94.00000	21.23067	95.29705	6.47000	82.66667
1977	17-10-2025 19:06:51	19.57000	0.93000	-0.62000	87.00000	63.00000	88.00000	19.59209	87.27925	6.62667	79.33333
1978	17-10-2025 19:06:51	19.52000	-0.09000	0.93000	91.00000	75.00000	90.00000	19.52021	90.26417	6.78667	85.33333
1979	17-10-2025 19:06:51	19.59000	-0.49000	1.73000	91.00000	84.00000	94.00000	19.59613	91.43283	6.94333	89.66667
1980	17-10-2025 19:06:51	21.02000	0.21000	1.37000	88.00000	81.00000	94.00000	21.02105	89.42761	7.53333	87.66667
1981	17-10-2025 19:06:52	21.06000	1.48000	1.39000	87.00000	82.00000	94.00000	21.11194	85.98012	7.97667	87.66667
1982	17-10-2025 19:06:52	21.78000	1.16000	-0.27000	87.00000	77.00000	95.00000	21.81087	86.95131	7.55667	86.33333
1983	17-10-2025 19:06:52	21.29000	-1.32000	-1.35000	92.00000	69.00000	91.00000	21.33088	93.54785	6.20667	84.00000
1984	17-10-2025 19:06:52	23.68000	-0.45000	-0.55000	85.00000	78.00000	88.00000	23.68428	91.08868	7.56000	83.66667
1985	17-10-2025 19:06:52	25.32000	-1.10000	-0.05000	87.00000	79.00000	93.00000	25.34388	92.48759	8.05667	86.33333
1986	17-10-2025 19:06:52	22.73000	-0.61000	-1.08000	82.00000	64.00000	89.00000	22.73818	91.53727	7.01333	78.33333
