Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)
323	18-10-2025 2:53:37	6.21000	-13.29000	4.47000	88.00000	86.00000	93.00000	14.66929	154.95479	-0.87000	89.00000
324	18-10-2025 2:53:37	7.22000	-13.02000	4.19000	92.00000	89.00000	96.00000	14.88787	150.99025	-0.53667	92.33333
325	18-10-2025 2:53:37	7.15000	-12.80000	4.51000	86.00000	80.00000	93.00000	14.66160	150.81255	-0.38000	86.33333
326	18-10-2025 2:53:37	8.59000	-14.78000	5.08000	85.00000	86.00000	86.00000	17.09493	149.83524	-0.37000	85.66667
327	18-10-2025 2:53:37	5.95000	-16.80000	5.04000	96.00000	72.00000	90.00000	17.82253	160.49755	-1.93667	86.00000
328	18-10-2025 2:53:37	6.52000	-15.70000	4.95000	92.00000	74.00000	89.00000	17.00001	157.44754	-1.41000	85.00000
329	18-10-2025 2:53:37	8.88000	-16.89000	5.02000	93.00000	90.00000	90.00000	19.08210	152.26663	-0.99667	91.00000
330	18-10-2025 2:53:37	9.57000	-19.60000	4.16000	86.00000	86.00000	92.00000	21.81158	153.97535	-1.95667	88.00000
331	18-10-2025 2:53:37	10.33000	-20.99000	2.24000	92.00000	54.00000	87.00000	23.39421	153.79640	-2.80667	77.66667
332	18-10-2025 2:53:37	6.41000	-14.51000	2.47000	90.00000	73.00000	82.00000	15.86279	156.16587	-1.87667	81.66667
333	18-10-2025 2:53:37	7.18000	-9.29000	2.51000	72.00000	68.00000	82.00000	11.74123	142.30049	0.13333	74.00000
334	18-10-2025 2:53:37	6.37000	-10.50000	4.74000	79.00000	85.00000	77.00000	12.28116	148.75621	0.20333	80.33333
335	18-10-2025 2:53:37	8.17000	-13.27000	5.49000	87.00000	83.00000	89.00000	15.58338	148.38045	0.13000	86.33333
336	18-10-2025 2:53:37	11.83000	-15.26000	5.86000	89.00000	86.00000	95.00000	19.30846	142.21611	0.81000	90.00000
337	18-10-2025 2:53:37	12.67000	-17.12000	5.11000	84.00000	91.00000	88.00000	21.29843	143.49597	0.22000	87.66667
