Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)
92	17-10-2025 23:03:22	19.11000	2.54000	2.07000	91.00000	88.00000	98.00000	19.27806	82.42892	7.90667	92.33333
93	17-10-2025 23:03:22	18.93000	2.49000	1.82000	90.00000	96.00000	94.00000	19.09306	82.50649	7.74667	93.33333
94	17-10-2025 23:03:22	17.74000	1.37000	1.54000	91.00000	93.00000	97.00000	17.79282	85.58401	6.88333	93.66667
95	17-10-2025 23:03:22	17.85000	2.76000	1.07000	96.00000	84.00000	95.00000	18.06212	81.21043	7.22667	91.66667
96	17-10-2025 23:03:22	18.28000	1.25000	0.96000	90.00000	91.00000	93.00000	18.32269	86.08816	6.83000	91.33333
97	17-10-2025 23:03:22	17.17000	2.18000	1.45000	94.00000	94.00000	94.00000	17.30784	82.76412	6.93333	94.00000
98	17-10-2025 23:03:22	15.92000	4.01000	0.91000	93.00000	87.00000	96.00000	16.41726	75.86218	6.94667	92.00000
99	17-10-2025 23:03:22	16.49000	3.38000	0.78000	95.00000	91.00000	97.00000	16.83284	78.41638	6.88333	94.33333
100	17-10-2025 23:03:22	15.84000	2.64000	1.45000	95.00000	91.00000	95.00000	16.05849	80.53768	6.64333	93.66667
101	17-10-2025 23:03:23	16.30000	2.81000	1.16000	89.00000	93.00000	93.00000	16.54044	80.21877	6.75667	91.66667
102	17-10-2025 23:03:23	16.71000	2.06000	1.50000	92.00000	95.00000	97.00000	16.83650	82.97207	6.75667	94.66667
103	17-10-2025 23:03:23	18.27000	3.05000	1.19000	94.00000	91.00000	98.00000	18.52283	80.52242	7.50333	94.33333
104	17-10-2025 23:03:23	18.52000	4.63000	0.62000	93.00000	84.00000	97.00000	19.08998	75.96376	7.92333	91.33333
105	17-10-2025 23:03:23	19.16000	3.78000	0.41000	94.00000	89.00000	95.00000	19.52931	78.83966	7.78333	92.66667
106	17-10-2025 23:03:23	19.30000	4.21000	1.10000	92.00000	87.00000	94.00000	19.75384	77.69456	8.20333	91.00000
107	17-10-2025 23:03:23	20.43000	5.35000	2.46000	88.00000	89.00000	95.00000	21.11889	75.32548	9.41333	90.66667
108	17-10-2025 23:03:23	20.12000	2.71000	3.68000	88.00000	87.00000	96.00000	20.30169	82.32889	8.83667	90.33333
109	17-10-2025 23:03:23	20.77000	5.33000	3.14000	90.00000	90.00000	91.00000	21.44299	75.60732	9.74667	90.33333
110	17-10-2025 23:03:23	19.96000	4.13000	1.84000	92.00000	94.00000	90.00000	20.38280	78.30968	8.64333	92.00000
111	17-10-2025 23:03:23	20.49000	4.61000	1.51000	90.00000	95.00000	97.00000	21.00219	77.32028	8.87000	94.00000
112	17-10-2025 23:03:23	19.90000	3.12000	2.39000	89.00000	95.00000	96.00000	20.14310	81.08948	8.47000	93.33333
113	17-10-2025 23:03:23	19.76000	4.68000	2.03000	87.00000	93.00000	97.00000	20.30665	76.67547	8.82333	92.33333
114	17-10-2025 23:03:23	21.70000	3.05000	1.68000	89.00000	94.00000	95.00000	21.91329	81.99932	8.81000	92.66667
115	17-10-2025 23:03:23	21.31000	2.87000	1.05000	96.00000	93.00000	93.00000	21.50240	82.32964	8.41000	94.00000
