Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)
103	17-10-2025 21:38:59	16.49000	-1.52000	0.74000	91.00000	83.00000	97.00000	16.55991	95.26648	5.23667	90.33333
104	17-10-2025 21:38:59	17.35000	-0.99000	1.09000	93.00000	93.00000	98.00000	17.37822	93.26579	5.81667	94.66667
105	17-10-2025 21:38:59	17.14000	-0.71000	1.22000	90.00000	86.00000	98.00000	17.15470	92.37204	5.88333	91.33333
106	17-10-2025 21:38:59	17.81000	-0.11000	1.31000	94.00000	80.00000	97.00000	17.81034	90.35387	6.33667	90.33333
107	17-10-2025 21:38:59	18.41000	-1.57000	0.90000	91.00000	85.00000	97.00000	18.47682	94.87438	5.91333	91.00000
108	17-10-2025 21:38:59	17.77000	-0.38000	0.57000	95.00000	91.00000	97.00000	17.77406	91.22505	5.98667	94.33333
109	17-10-2025 21:38:59	15.09000	-1.36000	1.19000	94.00000	92.00000	95.00000	15.15116	95.14992	4.97333	93.66667
110	17-10-2025 21:38:59	17.45000	-2.02000	1.75000	95.00000	86.00000	97.00000	17.56653	96.60313	5.72667	92.66667
111	17-10-2025 21:38:59	17.33000	-1.52000	1.36000	89.00000	91.00000	96.00000	17.39653	95.01254	5.72333	92.00000
112	17-10-2025 21:38:59	18.51000	-1.00000	1.29000	93.00000	91.00000	98.00000	18.53699	93.09239	6.26667	94.00000
113	17-10-2025 21:38:59	19.38000	-1.86000	1.38000	92.00000	94.00000	96.00000	19.46905	95.48218	6.30000	94.00000
114	17-10-2025 21:38:59	18.98000	-1.28000	0.91000	93.00000	82.00000	98.00000	19.02311	93.85815	6.20333	91.00000
115	17-10-2025 21:38:59	18.65000	1.14000	1.01000	91.00000	83.00000	93.00000	18.68481	86.50209	6.93333	89.00000
116	17-10-2025 21:38:59	18.23000	0.55000	1.57000	96.00000	84.00000	92.00000	18.23830	88.27191	6.78333	90.66667
117	17-10-2025 21:38:59	16.29000	-1.77000	2.86000	92.00000	88.00000	95.00000	16.38588	96.20118	5.79333	91.66667
118	17-10-2025 21:38:59	17.16000	-1.93000	2.40000	89.00000	87.00000	94.00000	17.26819	96.41714	5.87667	90.00000
119	17-10-2025 21:38:59	18.48000	-3.02000	1.78000	93.00000	92.00000	96.00000	18.72514	99.28123	5.74667	93.66667
120	17-10-2025 21:38:59	19.77000	-3.90000	1.22000	92.00000	89.00000	98.00000	20.15100	101.15938	5.69667	93.00000
121	17-10-2025 21:38:59	19.34000	-3.24000	-0.42000	90.00000	89.00000	94.00000	19.60952	99.51036	5.22667	91.00000
122	17-10-2025 21:38:59	13.81000	2.36000	-0.80000	92.00000	78.00000	95.00000	14.01020	80.30236	5.12333	88.33333
123	17-10-2025 21:38:59	16.34000	-2.11000	-0.69000	95.00000	83.00000	92.00000	16.47567	97.35794	4.51333	90.00000
124	17-10-2025 21:38:59	15.71000	-0.67000	-0.26000	95.00000	75.00000	98.00000	15.72428	92.44207	4.92667	89.33333
125	17-10-2025 21:38:59	16.57000	-2.02000	-0.09000	90.00000	85.00000	95.00000	16.69267	96.95046	4.82000	90.00000
126	17-10-2025 21:38:59	17.61000	-2.64000	-0.06000	90.00000	90.00000	98.00000	17.80679	98.52599	4.97000	92.66667
127	17-10-2025 21:38:59	18.49000	-3.53000	-0.70000	93.00000	85.00000	98.00000	18.82395	100.80850	4.75333	92.00000
128	17-10-2025 21:38:59	17.42000	-4.53000	-1.47000	94.00000	89.00000	88.00000	17.99937	104.57668	3.80667	90.33333
129	17-10-2025 21:38:59	17.08000	-4.91000	-1.46000	92.00000	88.00000	95.00000	17.77173	106.03839	3.57000	91.66667
130	17-10-2025 21:38:59	14.88000	-3.07000	-0.75000	86.00000	78.00000	90.00000	15.19340	101.65753	3.68667	84.66667
131	17-10-2025 21:38:59	14.48000	-2.20000	-0.26000	92.00000	90.00000	91.00000	14.64617	98.63909	4.00667	91.00000
132	17-10-2025 21:38:59	13.85000	-2.35000	0.57000	95.00000	89.00000	96.00000	14.04795	99.62995	4.02333	93.33333
133	17-10-2025 21:38:59	16.23000	-3.72000	0.36000	97.00000	89.00000	95.00000	16.65087	102.90950	4.29000	93.66667
134	17-10-2025 21:38:59	16.08000	-5.10000	0.44000	94.00000	90.00000	97.00000	16.86939	107.59716	3.80667	93.66667
135	17-10-2025 21:38:59	15.63000	-4.41000	0.20000	94.00000	82.00000	98.00000	16.24023	105.75640	3.80667	91.33333
136	17-10-2025 21:38:59	16.46000	-5.33000	-0.20000	93.00000	84.00000	97.00000	17.30146	107.94275	3.64333	91.33333
137	17-10-2025 21:38:59	15.59000	-4.55000	-0.75000	97.00000	85.00000	96.00000	16.24040	106.27008	3.43000	92.66667
138	17-10-2025 21:38:59	16.20000	-3.07000	-0.54000	95.00000	85.00000	97.00000	16.48833	100.73066	4.19667	92.33333
139	17-10-2025 21:38:59	16.41000	-2.92000	-0.40000	92.00000	78.00000	98.00000	16.66777	100.08962	4.36333	89.33333
140	17-10-2025 21:38:59	17.81000	-3.65000	1.02000	89.00000	88.00000	96.00000	18.18017	101.58188	5.06000	91.00000
141	17-10-2025 21:39:00	18.41000	-4.97000	1.09000	95.00000	92.00000	99.00000	19.06906	105.10754	4.84333	95.33333
142	17-10-2025 21:39:00	16.74000	-4.62000	0.42000	86.00000	85.00000	98.00000	17.36583	105.42874	4.18000	89.66667
143	17-10-2025 21:39:00	15.94000	-4.66000	1.18000	92.00000	86.00000	98.00000	16.60720	106.29608	4.15333	92.00000
144	17-10-2025 21:39:00	16.10000	-4.26000	1.23000	95.00000	92.00000	97.00000	16.65406	104.82061	4.35667	94.66667
145	17-10-2025 21:39:00	15.34000	-4.00000	0.76000	94.00000	88.00000	96.00000	15.85294	104.61479	4.03333	92.66667
146	17-10-2025 21:39:00	15.72000	-3.59000	1.23000	91.00000	90.00000	93.00000	16.12472	102.86412	4.45333	91.33333
147	17-10-2025 21:39:00	16.07000	-4.26000	1.57000	95.00000	89.00000	95.00000	16.62506	104.84706	4.46000	93.00000
148	17-10-2025 21:39:00	16.84000	-4.76000	0.61000	94.00000	87.00000	97.00000	17.49981	105.78349	4.23000	92.66667
149	17-10-2025 21:39:00	15.44000	-1.63000	0.71000	95.00000	85.00000	98.00000	15.52580	96.02639	4.84000	92.66667
150	17-10-2025 21:39:00	15.71000	-0.17000	0.66000	94.00000	83.00000	96.00000	15.71092	90.61998	5.40000	91.00000
151	17-10-2025 21:39:00	16.86000	-1.61000	1.91000	90.00000	94.00000	91.00000	16.93670	95.45477	5.72000	91.66667
152	17-10-2025 21:39:00	16.63000	-1.78000	2.70000	91.00000	82.00000	97.00000	16.72499	96.10942	5.85000	90.00000
153	17-10-2025 21:39:00	18.32000	-2.75000	1.92000	91.00000	86.00000	97.00000	18.52525	98.53688	5.83000	91.33333
154	17-10-2025 21:39:00	19.99000	-0.80000	1.31000	87.00000	90.00000	91.00000	20.00600	92.29175	6.83333	89.33333
155	17-10-2025 21:39:00	19.41000	2.68000	0.33000	93.00000	81.00000	93.00000	19.59415	82.13870	7.47333	89.00000
156	17-10-2025 21:39:00	18.30000	5.57000	-0.39000	94.00000	70.00000	92.00000	19.12890	73.07124	7.82667	85.33333
157	17-10-2025 21:39:00	18.51000	4.26000	0.57000	93.00000	77.00000	86.00000	18.99389	77.03930	7.78000	85.33333
158	17-10-2025 21:39:00	18.16000	2.60000	1.55000	95.00000	87.00000	95.00000	18.34518	81.85223	7.43667	92.33333
159	17-10-2025 21:39:00	17.83000	3.77000	1.81000	92.00000	80.00000	97.00000	18.22421	78.06115	7.80333	89.66667
160	17-10-2025 21:39:00	19.49000	1.69000	1.93000	91.00000	88.00000	95.00000	19.56313	85.04421	7.70333	91.33333
161	17-10-2025 21:39:00	19.22000	0.89000	1.25000	95.00000	91.00000	97.00000	19.24060	87.34876	7.12000	94.33333
162	17-10-2025 21:39:00	17.14000	1.18000	1.19000	92.00000	83.00000	93.00000	17.18057	86.06170	6.50333	89.33333
163	17-10-2025 21:39:00	18.86000	-2.03000	2.74000	86.00000	80.00000	92.00000	18.96894	96.14339	6.52333	86.00000
164	17-10-2025 21:39:00	21.82000	-3.12000	2.60000	84.00000	82.00000	93.00000	22.04193	98.13745	7.10000	86.33333
165	17-10-2025 21:39:00	22.09000	-3.06000	0.59000	91.00000	90.00000	97.00000	22.30093	97.88666	6.54000	92.66667
166	17-10-2025 21:39:00	22.18000	-4.09000	-0.03000	92.00000	93.00000	98.00000	22.55395	100.44799	6.02000	94.33333
167	17-10-2025 21:39:00	17.21000	-2.05000	-1.28000	96.00000	83.00000	94.00000	17.33166	96.79288	4.62667	91.00000
168	17-10-2025 21:39:00	17.00000	-3.27000	-0.44000	94.00000	86.00000	89.00000	17.31164	100.88803	4.43000	89.66667
