Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)
8731	17-10-2025 22:45:55	4.93000	-3.45000	0.56000	13.00000	79.00000	72.00000	6.01726	124.98422	0.68000	54.66667
8732	17-10-2025 22:45:55	44.79000	-1.76000	5.66000	8.00000	87.00000	73.00000	44.82457	92.25025	16.23000	56.00000
8733	17-10-2025 22:45:55	42.39000	-1.80000	5.32000	20.00000	82.00000	75.00000	42.42820	92.43148	15.30333	59.00000
8734	17-10-2025 22:45:55	37.60000	2.27000	5.05000	17.00000	81.00000	72.00000	37.66846	86.54511	14.97333	56.66667
8735	17-10-2025 22:45:55	16.53000	3.86000	1.93000	5.00000	84.00000	84.00000	16.97470	76.85612	7.44000	57.66667
8736	17-10-2025 22:45:55	6.66000	8.01000	1.18000	16.00000	62.00000	71.00000	10.41709	39.74219	5.28333	49.66667
8737	17-10-2025 22:45:55	25.57000	3.29000	4.55000	6.00000	79.00000	63.00000	25.78079	82.66824	11.13667	49.33333
8738	17-10-2025 22:45:55	45.79000	2.76000	6.99000	31.00000	89.00000	78.00000	45.87310	86.55066	18.51333	66.00000
8739	17-10-2025 22:45:55	19.14000	-0.85000	3.36000	43.00000	86.00000	72.00000	19.15887	92.54281	7.21667	67.00000
8740	17-10-2025 22:45:55	49.87000	-2.60000	6.86000	22.00000	87.00000	68.00000	49.93773	92.98445	18.04333	59.00000
8741	17-10-2025 22:45:56	20.17000	-1.81000	3.11000	40.00000	84.00000	69.00000	20.25105	95.12783	7.15667	64.33333
8742	17-10-2025 22:45:56	20.89000	-2.01000	2.82000	47.00000	86.00000	84.00000	20.98648	95.49598	7.23333	72.33333
8743	17-10-2025 22:45:56	48.07000	-0.95000	5.53000	10.00000	89.00000	81.00000	48.07939	91.13218	17.55000	60.00000
8744	17-10-2025 22:45:56	24.95000	-0.41000	2.05000	46.00000	87.00000	80.00000	24.95337	90.94145	8.86333	71.00000
8745	17-10-2025 22:45:56	51.71000	7.19000	5.49000	24.00000	79.00000	71.00000	52.20747	82.08408	21.46333	58.00000
8746	17-10-2025 22:45:56	13.13000	2.21000	1.04000	18.00000	81.00000	65.00000	13.31469	80.44571	5.46000	54.66667
8747	17-10-2025 22:45:56	52.16000	3.24000	5.68000	16.00000	81.00000	63.00000	52.26053	86.44555	20.36000	53.33333
