Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)
185	17-10-2025 21:33:18	16.67000	-2.34000	3.08000	67.00000	68.00000	81.00000	16.83343	97.99051	5.80333	72.00000
186	17-10-2025 21:33:18	20.34000	-10.29000	2.77000	72.00000	73.00000	76.00000	22.79473	116.83483	4.27333	73.66667
187	17-10-2025 21:33:18	17.64000	-6.50000	-0.16000	90.00000	91.00000	96.00000	18.79946	110.22787	3.66000	92.33333
188	17-10-2025 21:33:18	16.86000	1.79000	-0.70000	94.00000	76.00000	97.00000	16.95475	83.93970	5.98333	89.00000
189	17-10-2025 21:33:18	18.63000	0.21000	-0.73000	91.00000	74.00000	87.00000	18.63118	89.35418	6.03667	84.00000
190	17-10-2025 21:33:18	20.96000	-1.96000	0.68000	79.00000	95.00000	96.00000	21.05144	95.34228	6.56000	90.00000
191	17-10-2025 21:33:18	22.12000	-4.29000	1.50000	91.00000	80.00000	95.00000	22.53217	100.97581	6.44333	88.66667
192	17-10-2025 21:33:18	18.96000	-2.61000	0.71000	95.00000	77.00000	96.00000	19.13880	97.83797	5.68667	89.33333
193	17-10-2025 21:33:18	18.72000	-0.31000	1.35000	90.00000	85.00000	95.00000	18.72257	90.94872	6.58667	90.00000
194	17-10-2025 21:33:18	19.89000	-1.23000	1.92000	93.00000	80.00000	94.00000	19.92800	93.53867	6.86000	89.00000
195	17-10-2025 21:33:18	21.45000	-4.93000	2.60000	87.00000	93.00000	95.00000	22.00926	102.94389	6.37333	91.66667
196	17-10-2025 21:33:18	22.41000	-5.53000	2.31000	92.00000	91.00000	97.00000	23.08222	103.86165	6.39667	93.33333
197	17-10-2025 21:33:18	20.24000	-2.96000	2.09000	94.00000	87.00000	99.00000	20.45530	98.32024	6.45667	93.33333
198	17-10-2025 21:33:18	19.29000	-2.44000	1.66000	93.00000	90.00000	97.00000	19.44371	97.20908	6.17000	93.33333
199	17-10-2025 21:33:18	18.78000	-1.28000	1.66000	89.00000	90.00000	97.00000	18.82357	93.89911	6.38667	92.00000
200	17-10-2025 21:33:18	18.93000	-2.84000	1.79000	94.00000	94.00000	97.00000	19.14185	98.53225	5.96000	95.00000
201	17-10-2025 21:33:18	20.85000	-4.21000	1.66000	92.00000	92.00000	98.00000	21.27079	101.41559	6.10000	94.00000
202	17-10-2025 21:33:18	19.46000	-2.60000	1.65000	91.00000	86.00000	95.00000	19.63292	97.61007	6.17000	90.66667
203	17-10-2025 21:33:18	19.58000	-2.99000	1.37000	96.00000	87.00000	95.00000	19.80698	98.68238	5.98667	92.66667
