Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)
124	17-10-2025 18:59:53	20.21000	1.94000	0.46000	87.00000	91.00000	96.00000	20.30290	84.51686	7.53667	91.33333
125	17-10-2025 18:59:53	21.09000	1.78000	-0.21000	90.00000	85.00000	92.00000	21.16498	85.17566	7.55333	89.00000
126	17-10-2025 18:59:53	19.06000	3.30000	0.80000	94.00000	92.00000	95.00000	19.34357	80.17733	7.72000	93.66667
127	17-10-2025 18:59:53	20.07000	3.50000	1.29000	91.00000	93.00000	96.00000	20.37290	80.10769	8.28667	93.33333
128	17-10-2025 18:59:53	20.51000	4.17000	0.47000	89.00000	86.00000	91.00000	20.92962	78.50753	8.38333	88.66667
129	17-10-2025 18:59:53	20.56000	6.21000	0.21000	91.00000	92.00000	89.00000	21.47738	73.19344	8.99333	90.66667
130	17-10-2025 18:59:53	20.88000	3.38000	0.45000	87.00000	84.00000	72.00000	21.15180	80.80487	8.23667	81.00000
131	17-10-2025 18:59:53	21.17000	0.92000	0.82000	88.00000	86.00000	96.00000	21.18998	87.51162	7.63667	90.00000
132	17-10-2025 18:59:53	20.64000	2.17000	0.42000	94.00000	83.00000	95.00000	20.75376	83.99822	7.74333	90.66667
133	17-10-2025 18:59:53	19.12000	5.89000	0.84000	91.00000	91.00000	96.00000	20.00666	72.87832	8.61667	92.66667
134	17-10-2025 18:59:53	21.91000	6.96000	1.14000	92.00000	81.00000	93.00000	22.98890	72.37686	10.00333	88.66667
135	17-10-2025 18:59:53	21.92000	8.06000	0.61000	91.00000	88.00000	92.00000	23.35487	69.81149	10.19667	90.33333
136	17-10-2025 18:59:53	24.74000	7.10000	0.17000	88.00000	88.00000	95.00000	25.73864	73.98733	10.67000	90.33333
137	17-10-2025 18:59:53	26.05000	6.63000	0.02000	93.00000	92.00000	86.00000	26.88047	75.72078	10.90000	90.33333
138	17-10-2025 18:59:53	26.58000	5.95000	0.99000	87.00000	88.00000	90.00000	27.23782	77.38221	11.17333	88.33333
139	17-10-2025 18:59:53	26.38000	7.07000	1.73000	88.00000	86.00000	97.00000	27.31097	74.99696	11.72667	90.33333
140	17-10-2025 18:59:53	25.18000	6.49000	1.24000	93.00000	93.00000	97.00000	26.00293	75.54691	10.97000	94.33333
