Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)
12727	17-10-2025 2:52:54	18.68000	1.45000	-2.37000	92.00000	91.00000	87.00000	18.73619	85.56142	5.92000	90.00000
12728	17-10-2025 2:52:54	16.10000	6.39000	-2.88000	91.00000	73.00000	95.00000	17.32172	68.35215	6.53667	86.33333
12729	17-10-2025 2:52:54	15.14000	6.24000	-2.20000	85.00000	79.00000	88.00000	16.37551	67.60083	6.39333	84.00000
12730	17-10-2025 2:52:54	17.34000	4.51000	-2.00000	94.00000	73.00000	90.00000	17.91691	75.42083	6.61667	85.66667
12731	17-10-2025 2:52:54	17.70000	5.08000	-1.13000	92.00000	86.00000	97.00000	18.41457	73.98622	7.21667	91.66667
12732	17-10-2025 2:52:54	18.32000	2.79000	-0.83000	94.00000	85.00000	90.00000	18.53123	81.34081	6.76000	89.66667
12733	17-10-2025 2:52:54	17.61000	3.30000	-0.69000	94.00000	87.00000	96.00000	17.91653	79.38624	6.74000	92.33333
12734	17-10-2025 2:52:54	15.56000	6.91000	0.12000	96.00000	69.00000	98.00000	17.02532	66.05460	7.53000	87.66667
12735	17-10-2025 2:52:54	16.66000	3.32000	0.16000	93.00000	84.00000	96.00000	16.98758	78.72976	6.71333	91.00000
12736	17-10-2025 2:52:54	17.65000	2.30000	1.36000	87.00000	95.00000	94.00000	17.79923	82.57553	7.10333	92.00000
12737	17-10-2025 2:52:54	16.28000	2.59000	1.57000	94.00000	91.00000	98.00000	16.48474	80.96052	6.81333	94.33333
12738	17-10-2025 2:52:54	16.94000	1.77000	1.82000	94.00000	89.00000	98.00000	17.03222	84.03501	6.84333	93.66667
12739	17-10-2025 2:52:54	17.85000	-0.17000	2.31000	92.00000	94.00000	98.00000	17.85081	90.54566	6.66333	94.66667
12740	17-10-2025 2:52:54	16.97000	-0.77000	2.27000	94.00000	95.00000	95.00000	16.98746	92.59797	6.15667	94.66667
12741	17-10-2025 2:52:55	18.36000	-0.79000	1.63000	92.00000	95.00000	95.00000	18.37699	92.46382	6.40000	94.00000
12742	17-10-2025 2:52:55	18.11000	-0.19000	1.18000	88.00000	86.00000	96.00000	18.11100	90.60109	6.36667	90.00000
12743	17-10-2025 2:52:55	17.05000	-0.66000	1.29000	94.00000	87.00000	94.00000	17.06277	92.21679	5.89333	91.66667
12744	17-10-2025 2:52:55	16.48000	0.93000	0.42000	94.00000	79.00000	94.00000	16.50622	86.77011	5.94333	89.00000
12745	17-10-2025 2:52:55	16.10000	0.30000	-0.61000	92.00000	83.00000	95.00000	16.10279	88.93250	5.26333	90.00000
12746	17-10-2025 2:52:55	15.58000	-1.56000	0.87000	89.00000	89.00000	92.00000	15.65791	95.71788	4.96333	90.00000
12747	17-10-2025 2:52:55	13.63000	0.92000	1.78000	95.00000	68.00000	96.00000	13.66101	86.13850	5.44333	86.33333
12748	17-10-2025 2:52:55	14.70000	2.42000	2.94000	88.00000	86.00000	91.00000	14.89787	80.65149	6.68667	88.33333
12749	17-10-2025 2:52:55	15.00000	1.51000	4.02000	86.00000	87.00000	96.00000	15.07581	84.25159	6.84333	89.66667
12750	17-10-2025 2:52:55	17.93000	-1.46000	4.72000	93.00000	94.00000	94.00000	17.98934	94.65520	7.06333	93.66667
12751	17-10-2025 2:52:55	18.10000	-2.06000	3.94000	88.00000	94.00000	98.00000	18.21685	96.49302	6.66000	93.33333
12752	17-10-2025 2:52:55	18.33000	-1.58000	3.60000	91.00000	95.00000	98.00000	18.39797	94.92657	6.78333	94.66667
12753	17-10-2025 2:52:55	17.83000	-1.40000	3.73000	91.00000	93.00000	98.00000	17.88488	94.48962	6.72000	94.00000
12754	17-10-2025 2:52:55	18.57000	-0.54000	2.34000	93.00000	93.00000	96.00000	18.57785	91.66564	6.79000	94.00000
12755	17-10-2025 2:52:55	17.71000	1.83000	1.68000	94.00000	82.00000	98.00000	17.80430	84.10048	7.07333	91.33333
12756	17-10-2025 2:52:55	19.44000	3.30000	0.93000	95.00000	91.00000	98.00000	19.71810	80.36570	7.89000	94.66667
12757	17-10-2025 2:52:55	19.16000	-0.02000	0.75000	90.00000	89.00000	95.00000	19.16001	90.05981	6.63000	91.33333
12758	17-10-2025 2:52:55	19.79000	0.56000	-0.24000	93.00000	86.00000	94.00000	19.79792	88.37913	6.70333	91.00000
12759	17-10-2025 2:52:55	17.17000	3.61000	-1.02000	96.00000	81.00000	94.00000	17.54540	78.12648	6.58667	90.33333
12760	17-10-2025 2:52:55	17.58000	4.99000	0.52000	87.00000	85.00000	90.00000	18.27448	74.15366	7.69667	87.33333
12761	17-10-2025 2:52:55	17.93000	2.65000	0.65000	95.00000	92.00000	95.00000	18.12477	81.59272	7.07667	94.00000
12762	17-10-2025 2:52:55	18.84000	2.65000	1.15000	89.00000	96.00000	93.00000	19.02546	81.99341	7.54667	92.66667
12763	17-10-2025 2:52:55	18.70000	2.27000	1.68000	94.00000	93.00000	98.00000	18.83727	83.07871	7.55000	95.00000
12764	17-10-2025 2:52:55	18.84000	4.03000	1.28000	92.00000	86.00000	96.00000	19.26620	77.92601	8.05000	91.33333
12765	17-10-2025 2:52:55	18.72000	4.14000	1.64000	90.00000	96.00000	92.00000	19.17232	77.52954	8.16667	92.66667
12766	17-10-2025 2:52:55	19.61000	1.10000	3.53000	87.00000	91.00000	97.00000	19.64083	86.78942	8.08000	91.66667
